,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_assists_over,5.5,,,,,,1.0,,,,,,,1.0,
1,Alperen Sengun_fg3m_under,0.5,,,1.0,,,,,,,,1.0,,,
2,Alperen Sengun_points_under,20.5,,,,1.0,,1.0,,,,,,,,1.0
3,Alperen Sengun_rebounds_under,10.5,,,,,1.0,,1.0,,1.0,,,,,
4,Anthony Edwards_assists_under,4.5,,,,,,,,,,,1.0,,,
5,Anthony Edwards_points_under,25.5,,,,,,,,,1.0,,,,,
6,Brandin Podziemski_assists_under,3.5,,,,,1.0,,1.0,,,1.0,,1.0,,
7,Brandin Podziemski_fg3m_under,1.5,,,1.0,,,,,,,,,1.0,,
8,Brandin Podziemski_points_under,10.5,,1.0,,,,,,,,,,,1.0,
9,Brandin Podziemski_rebounds_under,5.5,,,,,,,,,,,1.0,1.0,1.0,
10,De'Aaron Fox_assists_over,5.5,,1.0,,,,,,,,,,,,
11,De'Aaron Fox_fg3m_under,2.5,,,,,1.0,1.0,,,,,,,,
12,De'Aaron Fox_points_over,24.5,,,,,,,,,,,,1.0,,
13,DeMar DeRozan_assists_over,3.5,,,,,,,,,,,,1.0,,
14,DeMar DeRozan_points_under,22.5,,,,,,1.0,,,,,,,,
15,Derrick Jones Jr._points_over,8.5,,,,,,,,,,1.0,1.0,,,
16,Derrick Jones Jr._rebounds_under,3.5,1.0,,,,,,,,,,,,1.0,
17,Dillon Brooks_assists_over,1.5,,1.0,,,,,1.0,,,,,,,
18,Dillon Brooks_points_under,13.5,,,,,,,,,,,,,,1.0
19,Dillon Brooks_rebounds_over,3.5,,,1.0,,,,,,,,,,,
20,Domantas Sabonis_fg3m_over,0.5,,,,,,,,,,,,1.0,,
21,Domantas Sabonis_points_over,19.5,,,,,,,,1.0,,,,,,1.0
22,Donte DiVincenzo_fg3m_under,2.5,,,,,1.0,,,,,,,,,
23,Draymond Green_assists_over,5.5,1.0,,,,,,,1.0,,,,,,
24,Draymond Green_rebounds_over,5.5,,,,,,,,,,,,,,1.0
25,Fred VanVleet_rebounds_over,3.5,,,,,1.0,1.0,,,,,,,,1.0
26,Ivica Zubac_points_under,13.5,,,,1.0,,,,,,,,,,
27,Jabari Smith Jr._assists_under,1.5,,,,,,1.0,,1.0,,,,,,
28,Jabari Smith Jr._fg3m_over,1.5,,,,,,,,,,,1.0,,1.0,
29,Jabari Smith Jr._points_over,11.5,,,,,,,,1.0,,,,,,
30,Jabari Smith Jr._rebounds_under,7.5,,,,1.0,,,,,,,,,,
31,Jaden McDaniels_assists_over,1.5,,,,1.0,,,,,,,,,,
32,Jaden McDaniels_points_over,9.5,,,,,,,,,,1.0,,,,1.0
33,Jalen Green_assists_under,2.5,,,,,,,,,,,,,1.0,
34,Jalen Green_fg3m_under,2.5,1.0,,,,1.0,,,,,,,,,
35,Jalen Green_points_under,19.5,,,,,,,,,1.0,,,,,1.0
36,Jalen Green_rebounds_under,5.5,,,,,,,,1.0,,,,,,
37,James Harden_rebounds_under,6.5,,,,,,,1.0,,,,,,,
38,Jonathan Kuminga_points_under,17.5,,1.0,,,,,,,,,,,,
39,Julius Randle_fg3m_under,1.5,,,,1.0,,,,,,,,,,
40,Julius Randle_points_over,18.5,,,,,,,1.0,,,,,,,
41,Julius Randle_rebounds_over,5.5,,,,,,,,,,,1.0,,,
42,Keegan Murray_fg3m_under,2.5,,,,1.0,,,,,,1.0,,,1.0,
43,Keegan Murray_points_under,13.5,,,,,,,,1.0,,,1.0,,,
44,Kevin Huerter_assists_under,2.5,1.0,,,,,,,,,,,1.0,,
45,Kevin Huerter_points_over,7.5,,,1.0,,,,1.0,,,1.0,,,,
46,Lauri Markkanen_assists_over,1.5,,1.0,,,,1.0,,,,,,,,
47,Lauri Markkanen_rebounds_under,6.5,,,,,,,,,1.0,,,,,
48,Malik Monk_fg3m_under,2.5,,,,,,,1.0,1.0,,,,,,
49,Malik Monk_points_under,17.5,,,,,1.0,,,,,1.0,,,,
50,Mike Conley_fg3m_under,2.5,,1.0,,,,,,,,,,,,
51,Mike Conley_points_under,10.5,,,,1.0,,,,,,,,,,
52,Mike Conley_rebounds_over,2.5,1.0,,,,,1.0,,,,,,1.0,,
53,Naz Reid_rebounds_over,4.5,1.0,,,,,,,,1.0,,,,,
54,Nickeil Alexander-Walker_assists_under,2.5,,,1.0,,,,,,1.0,,,,,
55,Nickeil Alexander-Walker_points_over,7.5,,,1.0,,1.0,,,,,,,,,
56,Norman Powell_fg3m_over,3.5,,,,,,,,,,1.0,,,,
57,Norman Powell_points_over,21.5,,1.0,,,,,,,1.0,,,,,
58,Norman Powell_rebounds_under,2.5,1.0,,,,,,1.0,,,,,,1.0,
59,Rudy Gobert_assists_over,1.5,,1.0,,,,,,1.0,1.0,,,,,
60,Stephen Curry_assists_over,5.5,,,,,,,,,,1.0,,,,
61,Stephen Curry_fg3m_under,4.5,1.0,,,1.0,,,,,,,,,,
62,Stephen Curry_points_under,24.5,,,1.0,,,,,,,,1.0,,,
63,Stephen Curry_rebounds_over,4.5,,,1.0,,,,,,,,,,,1.0
