,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Daniel Gafford_assists_over,0.5,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,
1,Daniel Gafford_points_over,8.5,,1.0,1.0,1.0,1.0,,,,,,,,,,
2,Daniel Gafford_rebounds_over,5.5,,,,,,1.0,,,,,,1.0,1.0,1.0,
3,Dereck Lively II_assists_under,2.5,,,,1.0,1.0,,,,1.0,,,,,,
4,Dereck Lively II_rebounds_under,8.5,1.0,,,1.0,,,1.0,,,,,,1.0,,
5,Derrick Jones Jr._fg3m_over,0.5,,,,,,,,1.0,,,1.0,,,1.0,
6,Derrick Jones Jr._points_over,8.5,1.0,1.0,,,,,,1.0,,,,,1.0,,
7,Ivica Zubac_points_under,15.5,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,
8,Ivica Zubac_rebounds_under,12.5,,,1.0,,,1.0,,,,1.0,1.0,,,,
9,Kevin Porter Jr._fg3m_under,1.5,1.0,1.0,,,,,,,,,,,,,1.0
10,Kevin Porter Jr._points_under,11.5,,,,,1.0,,1.0,1.0,,,,,1.0,,
11,Klay Thompson_fg3m_under,3.5,1.0,,1.0,1.0,,,,,,,,,,,1.0
12,Klay Thompson_points_under,17.5,,,,,,,,,1.0,,,,,,
13,Kyrie Irving_assists_under,6.5,,1.0,,,1.0,,1.0,,,,,,,,1.0
14,Kyrie Irving_rebounds_over,3.5,,,,,,,1.0,1.0,1.0,,1.0,,,,
15,Naji Marshall_assists_under,2.5,,,,,,1.0,,,,1.0,,1.0,,,1.0
16,Naji Marshall_points_over,10.5,1.0,,,,,,,,1.0,1.0,,,,,
17,Norman Powell_points_over,22.5,,,,,,,,1.0,,,1.0,1.0,,1.0,
18,Norman Powell_rebounds_under,3.5,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0
19,Quentin Grimes_assists_under,2.5,,,1.0,,,1.0,,,,,,1.0,,,
