,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alexandre Sarr_assists_over,1.5,,,,,1.0,,,,,,,,,
1,Andrew Nembhard_rebounds_under,3.5,,1.0,,,,,1.0,,,,,,,
2,Anthony Black_fg3m_under,0.5,,,1.0,,,,,,,,,,,
3,Anthony Black_points_under,9.5,,,,,,1.0,,,,,,,,
4,Bennedict Mathurin_points_under,17.5,,,,,,,,,1.0,,,,,
5,Bilal Coulibaly_assists_over,2.5,,,,,,,1.0,,1.0,1.0,,,,
6,Bilal Coulibaly_fg3m_under,1.5,,,,,1.0,,,,,,,,,
7,Bilal Coulibaly_points_under,14.5,,,,,,,,,,1.0,,,,1.0
8,CJ McCollum_assists_under,4.5,,,,1.0,,,,,,,,,,
9,CJ McCollum_fg3m_under,3.5,,,1.0,,,,,,,1.0,,,,
10,CJ McCollum_points_under,22.5,,,1.0,,1.0,,,,,,,,,
11,CJ McCollum_rebounds_under,4.5,,,1.0,1.0,,,1.0,,,,,,,
12,Cameron Payne_assists_over,2.5,1.0,,,,,,,1.0,,,,,1.0,
13,Dejounte Murray_points_under,20.5,,,,,,,,1.0,,,,,,
14,Dejounte Murray_rebounds_under,6.5,,,,,,1.0,,,,,,,,1.0
15,Derrick White_assists_over,4.5,,1.0,1.0,,,,,,,,,,,
16,Derrick White_fg3m_over,2.5,,,,,,,1.0,,,,,,1.0,1.0
17,Derrick White_points_over,14.5,,,,,,,,,,1.0,,,,
18,Goga Bitadze_assists_under,2.5,1.0,,,,,,,,,1.0,,1.0,,
19,Goga Bitadze_points_under,10.5,,,,,,,,,,,1.0,,,
20,Goga Bitadze_rebounds_under,8.5,,,1.0,,,,1.0,,,,,,,
21,Herbert Jones_points_under,12.5,,,,,,,,,,,,,1.0,1.0
22,Jalen Brunson_assists_over,7.5,,,,,,,,,1.0,,,,,
23,Jalen Brunson_points_over,23.5,1.0,1.0,,,,,,,,,,,,
24,Jalen Suggs_assists_under,4.5,,,,,,,,,,,,,,1.0
25,Jaylen Brown_points_over,21.5,1.0,1.0,,,,,,,,,,,,
26,Jayson Tatum_points_over,25.5,,,,,1.0,,1.0,,1.0,,,,,
27,Jayson Tatum_rebounds_over,8.5,,1.0,,,1.0,,,,,,,,,1.0
28,Jordan Poole_points_under,23.5,,,,,1.0,,,,,,1.0,,,
29,Josh Hart_assists_over,4.5,,,,,,1.0,,1.0,,,1.0,,,
30,Josh Hart_fg3m_over,0.5,,,,,,,,1.0,1.0,,,,,
31,Josh Hart_points_over,11.5,1.0,,,,,1.0,,,,,,,,
32,Josh Hart_rebounds_under,8.5,,,,1.0,,,,1.0,,,,,,
33,Jrue Holiday_assists_over,3.5,,,,1.0,,,,,,,,,,
34,Jrue Holiday_points_over,10.5,,,,1.0,,,,,,,,,,
35,Karl-Anthony Towns_assists_over,2.5,,,,,,1.0,,,,,,1.0,,
36,Karl-Anthony Towns_points_over,23.5,,,,,,,,,1.0,,,,1.0,
37,Mikal Bridges_points_over,15.5,1.0,,,,,1.0,,,,,,,1.0,
38,Miles McBride_points_over,8.5,,,,1.0,,,,,,,1.0,,,
39,Myles Turner_points_under,13.5,,,,,,,,,,,1.0,1.0,,
40,Myles Turner_rebounds_under,7.5,,,,1.0,1.0,,,,,,,1.0,,
41,OG Anunoby_points_over,14.5,,,,,,,,1.0,,,,,1.0,
42,OG Anunoby_rebounds_over,4.5,,,,,,,,1.0,,1.0,,,,
43,Obi Toppin_assists_over,1.5,,,,,,,1.0,,,,,,,
44,Obi Toppin_rebounds_under,5.5,,1.0,,,,1.0,,,1.0,,,,,
45,Payton Pritchard_points_over,13.5,,1.0,,,,,,,,,,,1.0,
46,T.J. McConnell_assists_over,3.5,1.0,,,,,,,,,,,1.0,,
47,T.J. McConnell_fg3m_under,0.5,,,1.0,,,,1.0,,,,,,,1.0
48,Trey Murphy III_points_under,18.5,,,,,,,,,1.0,,1.0,,,
49,Trey Murphy III_rebounds_under,6.5,,,,,,,,,,,,,,1.0
50,Tristan da Silva_assists_under,1.5,,,,1.0,,,,,,,,,,
51,Tristan da Silva_points_under,7.5,,,,,,,,,,1.0,1.0,,,
52,Tristan da Silva_rebounds_over,2.5,,1.0,,,,1.0,,,,,,1.0,,
53,Tyrese Haliburton_fg3m_over,2.5,,,,,,,,,,,,1.0,1.0,
54,Tyrese Haliburton_rebounds_under,4.5,1.0,,,,1.0,,,,,,,,,
55,Wendell Carter Jr._assists_under,2.5,,,,,,,,,,,1.0,,,
56,Wendell Carter Jr._fg3m_under,0.5,,,1.0,,,,,,,1.0,,1.0,,
57,Wendell Carter Jr._points_under,10.5,,,,,,,,1.0,,,,,,
