PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Jordan Hawkins,Pelicans,points,17.5,-115,under,0.9999658921747683,4.347507252938051,0.5348837209302326
Jordan Hawkins,Pelicans,rebounds,4.5,-140,under,0.9635933389989165,3.2593714771335707,0.5833333333333333
Jose Alvarado,Pelicans,points,10.5,-105,under,0.9427178081634323,4.20272146064303,0.5121951219512195
Jose Alvarado,Pelicans,assists,5.5,100,under,0.9416474293079199,4.416474293079199,0.5
Jose Alvarado,Pelicans,rebounds,4.5,-170,under,0.9275036911422003,2.3654704884821793,0.6296296296296295
Jordan Hawkins,Pelicans,fg3m,2.5,125,under,0.9269070983685512,5.427704856646201,0.4444444444444444
Anthony Black,Magic,assists,3.5,-175,under,0.9266025708583353,2.2804487710297767,0.6363636363636364
Jordan Hawkins,Pelicans,assists,1.5,110,under,0.9221576323549476,4.68265513972695,0.47619047619047616
Zion Williamson,Pelicans,fg3m,0.5,-325,under,0.8869204367171575,0.7990951631506451,0.7647058823529411
Zaccharie Risacher,Hawks,points,11.5,-125,under,0.8756702735959645,2.8810324623636805,0.5555555555555556
Klay Thompson,Mavericks,points,14.5,100,over,0.8733726740507661,3.7337267405076613,0.5
Zion Williamson,Pelicans,points,29.5,-125,under,0.8660551023006435,2.794495920705792,0.5555555555555556
Brandon Ingram,Pelicans,points,23.5,-120,under,0.8641985008832428,2.9218195914297267,0.5454545454545454
Wendell Carter Jr.,Magic,points,11.5,-105,under,0.8434990878195332,3.2341577620478246,0.5121951219512195
Jalen Suggs,Magic,assists,5.5,-160,under,0.8385688437251924,1.8133718552671878,0.6153846153846154
Tim Hardaway Jr.,Pistons,points,10.5,-105,under,0.8352298087377465,3.1534338472018115,0.5121951219512195
Brandon Ingram,Pelicans,fg3m,2.5,-170,under,0.8334977381226298,1.6189526262679432,0.6296296296296295
Anthony Black,Magic,points,6.5,100,under,0.8232873608296025,3.2328736082960248,0.5
Clint Capela,Hawks,rebounds,7.5,-125,over,0.819946733286906,2.3795205995821544,0.5555555555555556
Tim Hardaway Jr.,Pistons,fg3m,2.5,-190,under,0.783358489819263,0.9782621591470071,0.6551724137931035
Trae Young,Hawks,points,27.5,-115,under,0.7778657633025889,2.2713538743502877,0.5348837209302326
Anthony Black,Magic,rebounds,2.5,115,under,0.7768780935790468,3.3514395059747533,0.46511627906976744
Jalen Johnson,Hawks,points,19.5,-115,under,0.7680575011316253,2.179667945360845,0.5348837209302326
Wendell Carter Jr.,Magic,fg3m,1.5,-220,under,0.7651565588822672,0.5647749736892163,0.6875
Zion Williamson,Pelicans,assists,6.5,-155,under,0.7621834629729387,1.269573647035463,0.607843137254902
Kentavious Caldwell-Pope,Magic,points,9.5,-125,under,0.7619282594562493,1.8573543351062438,0.5555555555555556
Zaccharie Risacher,Hawks,fg3m,1.5,-130,under,0.7357588823428847,1.508636266879364,0.5652173913043479
Zaccharie Risacher,Hawks,assists,1.5,-120,under,0.7357588823428847,1.7444564214764435,0.5454545454545454
Franz Wagner,Magic,assists,4.5,-155,under,0.7216633899674161,0.9362633690868094,0.607843137254902
Franz Wagner,Magic,points,20.5,-120,under,0.7113210275437329,1.5204427524842195,0.5454545454545454
Daniel Gafford,Mavericks,rebounds,6.5,-140,under,0.7078787253823995,1.067531931849139,0.5833333333333333
Klay Thompson,Mavericks,rebounds,3.5,-165,under,0.7008231687023923,0.6278224153373921,0.6226415094339623
Cade Cunningham,Pistons,fg3m,1.5,-195,over,0.6915589588159976,0.23102289360818684,0.6610169491525424
Tim Hardaway Jr.,Pistons,rebounds,2.5,-115,under,0.6875017808314363,1.4266470816851655,0.5348837209302326
Zaccharie Risacher,Hawks,rebounds,3.5,-150,under,0.6845129952027547,0.7042749600229552,0.6000000000000001
Jalen Suggs,Magic,points,16.5,-105,under,0.6831933764839028,1.6692686752000032,0.5121951219512195
Franz Wagner,Magic,rebounds,5.5,-105,under,0.6742264054582751,1.5817339580450658,0.5121951219512195
Wendell Carter Jr.,Magic,rebounds,8.5,-115,under,0.664711834710126,1.213610628812047,0.5348837209302326
Kyrie Irving,Mavericks,points,21.5,-125,over,0.6628117037816108,0.9653053340344973,0.5555555555555556
Franz Wagner,Magic,fg3m,1.5,-165,under,0.6626272662068446,0.3210977437822371,0.6226415094339623
Brandon Ingram,Pelicans,assists,5.5,-125,under,0.6579901172535161,0.9219110552816447,0.5555555555555556
Clint Capela,Hawks,points,10.5,-120,over,0.6569500482513706,1.022042108970898,0.5454545454545454
Jalen Suggs,Magic,fg3m,2.5,-110,under,0.6550340885996073,1.2525981184507975,0.5238095238095238
Jalen Suggs,Magic,rebounds,4.5,105,under,0.6522666795279438,1.6857334651614235,0.48780487804878053
Tim Hardaway Jr.,Pistons,assists,1.5,115,under,0.6482206481834736,1.968371967972341,0.46511627906976744
Jalen Johnson,Hawks,fg3m,1.5,-115,under,0.6482206481834736,1.0594538851933397,0.5348837209302326
Trae Young,Hawks,rebounds,3.5,-165,under,0.6472318887822313,0.1974681977967052,0.6226415094339623
Daniel Gafford,Mavericks,assists,0.5,-170,over,0.6465453180412198,0.1343304667979226,0.6296296296296295
Trae Young,Hawks,fg3m,3.5,-135,under,0.6293148313005998,0.47736982798670224,0.574468085106383
Jaden Ivey,Pistons,points,17.5,-120,under,0.6253937826424578,0.7327763408891976,0.5454545454545454
Dorian Finney-Smith,Nets,fg3m,1.5,-115,under,0.6197539005607728,0.7933516791550503,0.5348837209302326
Cade Cunningham,Pistons,assists,6.5,-155,over,0.6191054843095198,0.09264188706217902,0.607843137254902
Klay Thompson,Mavericks,assists,1.5,100,over,0.6160803797139542,1.1608037971395424,0.5
Kyrie Irving,Mavericks,assists,4.5,-140,over,0.6137558852314517,0.2607647305553009,0.5833333333333333
Zion Williamson,Pelicans,rebounds,7.5,-130,under,0.6106322312831898,0.4017466613512939,0.5652173913043479
