PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Miles Bridges,Hornets,points,22.5,-120,under,0.8686905736392453,2.9629969250264163,0.5454545454545454
Jaime Jaquez Jr.,Heat,rebounds,2.5,-150,over,0.8574607811109731,2.1455065092581087,0.6000000000000001
Isaiah Joe,Thunder,assists,0.5,-210,over,0.8262260565495549,1.0983351792943346,0.6774193548387096
Isaiah Joe,Thunder,points,6.5,100,over,0.815052426121531,3.1505242612153097,0.5
Jaime Jaquez Jr.,Heat,points,6.5,-125,over,0.7743896659002593,1.9695069931023332,0.5555555555555556
Duncan Robinson,Heat,points,9.5,-120,over,0.7576078383294875,1.9447385180203034,0.5454545454545454
Taurean Prince,Bucks,rebounds,2.5,-165,over,0.746874897370216,0.9976317516093096,0.6226415094339623
Josh Green,Hornets,points,9.5,100,under,0.7411089165697634,2.411089165697634,0.5
Cason Wallace,Thunder,rebounds,2.5,-170,over,0.739083831594948,0.8691951332539989,0.6296296296296295
Tyler Herro,Heat,points,21.5,-110,over,0.7205745210409751,1.8782113372093077,0.5238095238095238
Haywood Highsmith,Heat,points,5.5,-120,over,0.7180374867249,1.5820102949782504,0.5454545454545454
Duncan Robinson,Heat,assists,1.5,-170,over,0.702287126577172,0.5769860051716602,0.6296296296296295
Tyler Herro,Heat,assists,3.5,-165,over,0.6981144165973611,0.6060703151000202,0.6226415094339623
Josh Green,Hornets,rebounds,3.5,-180,under,0.69193743259148,0.3817355868226222,0.6428571428571428
Isaiah Hartenstein,Thunder,points,11.5,-115,under,0.6910753466856367,1.4600521538005173,0.5348837209302326
Bam Adebayo,Heat,fg3m,0.5,-185,over,0.6833632306209467,0.26374380343161663,0.6491228070175439
Isaiah Joe,Thunder,fg3m,1.5,-120,over,0.680513306577909,1.2380386436308333,0.5454545454545454
Cason Wallace,Thunder,assists,1.5,-145,over,0.680513306577909,0.7491641417788866,0.5918367346938775
Taurean Prince,Bucks,points,6.5,-125,over,0.6742599044193969,1.0683391397745718,0.5555555555555556
Jaime Jaquez Jr.,Heat,assists,1.5,-105,over,0.6691458157147478,1.5321377248344434,0.5121951219512195
Paul George,76ers,points,19.5,-105,under,0.6641586151471751,1.4834531478652808,0.5121951219512195
Isaiah Hartenstein,Thunder,rebounds,11.5,-125,under,0.6621949059358572,0.9597541534227145,0.5555555555555556
Luguentz Dort,Thunder,fg3m,1.5,-155,over,0.6454298932405317,0.3091813798817924,0.607843137254902
Bam Adebayo,Heat,assists,4.5,-135,over,0.6424819975720745,0.5919729418310182,0.574468085106383
Jimmy Butler,Heat,points,17.5,-115,over,0.6387185323103162,0.9706297585529553,0.5348837209302326
