,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
5,Tim Hardaway Jr.,Mavericks,points,3.5,-105,over,0.9416276642871979,4.192079579946456,0.5121951219512195
15,Daniel Gafford,Mavericks,assists,0.5,-150,over,0.8060199577091081,1.716832980909233,0.6000000000000001
11,Naz Reid,Timberwolves,points,10.5,-110,over,0.7992157384052012,2.6288775029587392,0.5238095238095238
37,Josh Green,Mavericks,rebounds,1.5,-135,over,0.7756454426963169,1.7509881123568314,0.574468085106383
16,Tim Hardaway Jr.,Mavericks,assists,0.5,-115,over,0.7630722413178782,2.133066603623644,0.5348837209302326
28,Tim Hardaway Jr.,Mavericks,fg3m,0.5,-135,over,0.7630722413178782,1.6415546929519027,0.574468085106383
54,Jaden McDaniels,Timberwolves,steals,1.5,-230,under,0.7504700565112195,0.38380692714570475,0.696969696969697
40,Jaden Hardy,Mavericks,rebounds,0.5,-230,over,0.7433392230464442,0.332650947941882,0.696969696969697
4,Josh Green,Mavericks,points,3.5,-105,over,0.7405441826798396,2.2291217833031958,0.5121951219512195
26,Luka Doncic,Mavericks,fg3m,2.5,-190,over,0.7245812918534182,0.5296993325655597,0.6551724137931035
38,Tim Hardaway Jr.,Mavericks,rebounds,1.5,135,over,0.7167821842416459,3.4221906648393388,0.425531914893617
17,Josh Green,Mavericks,assists,0.5,-160,over,0.7106157820609493,0.7737532292452134,0.6153846153846154
60,Dereck Lively II,Mavericks,blocks,1.5,-150,under,0.7063586933414734,0.8863224445122775,0.6000000000000001
10,Mike Conley,Timberwolves,points,10.5,-120,over,0.7010085646945012,1.425911843032929,0.5454545454545454
32,Mike Conley,Timberwolves,fg3m,1.5,-210,over,0.7001666709707844,0.1678968571653141,0.6774193548387096
62,Anthony Edwards,Timberwolves,blocks,0.5,-195,under,0.697676326071031,0.27729528694754224,0.6610169491525424
12,Anthony Edwards,Timberwolves,points,27.5,-125,under,0.6945042152899666,1.2505379376096997,0.5555555555555556
59,Derrick Jones Jr.,Mavericks,blocks,0.5,-185,over,0.6737202053769606,0.18946644682253466,0.6491228070175439
48,Dereck Lively II,Mavericks,steals,0.5,-115,under,0.6703200460356393,1.2660352129418457,0.5348837209302326
22,Anthony Edwards,Timberwolves,assists,6.5,-160,under,0.670257797974306,0.4458446085412362,0.6153846153846154
9,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.6643905803752375,0.9795152233771371,0.5555555555555556
35,Luka Doncic,Mavericks,rebounds,8.5,-125,over,0.6626583928345504,0.9639255355109537,0.5555555555555556
2,Daniel Gafford,Mavericks,points,8.5,100,over,0.6581007304449416,1.5810073044494155,0.5
18,Mike Conley,Timberwolves,assists,6.5,-155,under,0.657552353460397,0.40889839136778106,0.607843137254902
