,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
54,Mike Conley,Timberwolves,blocks,0.5,-500,under,0.8464817248906141,0.07889034934368455,0.8333333333333334
15,Anthony Edwards,Timberwolves,assists,7.5,-160,under,0.7603292126512047,1.177674852791038,0.6153846153846154
7,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.7370757685850496,1.6336819172654469,0.5555555555555556
22,Jaden McDaniels,Timberwolves,fg3m,1.5,-120,under,0.7357588823428847,1.7444564214764435,0.5454545454545454
32,Anthony Edwards,Timberwolves,rebounds,7.5,-150,under,0.7272999496255783,1.0608329135464853,0.6000000000000001
18,Naz Reid,Timberwolves,assists,0.5,-230,over,0.721962699546806,0.17929762718360842,0.696969696969697
24,Karl-Anthony Towns,Timberwolves,fg3m,2.5,-200,under,0.7198876290574501,0.39915721793087555,0.6666666666666666
41,Naz Reid,Timberwolves,fgm,3.5,-165,over,0.6996569339501318,0.6184571968722707,0.6226415094339623
13,Daniel Gafford,Mavericks,assists,0.5,-200,over,0.6988057880877979,0.24104341065848423,0.6666666666666666
34,Daniel Gafford,Mavericks,fgm,4.5,-165,under,0.6775476361045435,0.44091283538497006,0.6226415094339623
28,Luka Doncic,Mavericks,rebounds,8.5,-145,over,0.6761158068143504,0.7120128506729597,0.5918367346938775
45,Dereck Lively II,Mavericks,steals,0.5,-150,under,0.6703200460356393,0.5860003836303271,0.6000000000000001
35,Derrick Jones Jr.,Mavericks,fgm,2.5,-175,over,0.6679124669964115,0.2478836692575188,0.6363636363636364
14,Dereck Lively II,Mavericks,assists,1.5,-190,under,0.6626272662068446,0.056892294736445415,0.6551724137931035
27,Daniel Gafford,Mavericks,rebounds,6.5,-135,under,0.6511771681152521,0.6676531298920083,0.574468085106383
8,Naz Reid,Timberwolves,points,11.5,100,over,0.6468350671487295,1.4683506714872951,0.5
50,Derrick Jones Jr.,Mavericks,blocks,0.5,-115,over,0.6465453180412198,1.0437931903853155,0.5348837209302326
43,Luka Doncic,Mavericks,steals,1.5,-155,under,0.6446357929354278,0.30264926446884144,0.607843137254902
44,Daniel Gafford,Mavericks,steals,0.5,-135,under,0.6440364210831414,0.6055021835014158,0.574468085106383
0,Daniel Gafford,Mavericks,points,9.5,-110,under,0.6312348862366274,1.0254239140768977,0.5238095238095238
9,Rudy Gobert,Timberwolves,points,12.5,100,over,0.625617487394674,1.2561748739467404,0.5
38,Jaden McDaniels,Timberwolves,fgm,3.5,-160,over,0.6192392331698962,0.03131876950540624,0.6153846153846154
5,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.6119301475072922,0.9736038209045197,0.5121951219512195
2,Kyrie Irving,Mavericks,points,22.5,-125,over,0.6083017819795077,0.47471603781556926,0.5555555555555556
30,Karl-Anthony Towns,Timberwolves,rebounds,7.5,-125,over,0.5960644193813829,0.36457977443244616,0.5555555555555556
42,Derrick Jones Jr.,Mavericks,steals,0.5,100,under,0.5945205479701944,0.9452054797019436,0.5
31,Rudy Gobert,Timberwolves,rebounds,10.5,-140,over,0.591468010850482,0.06972580728984568,0.5833333333333333
26,Kyrie Irving,Mavericks,rebounds,3.5,-115,over,0.5896155680710085,0.5116237884898611,0.5348837209302326
12,Luka Doncic,Mavericks,assists,8.5,-130,over,0.5857005660096672,0.18119731470090228,0.5652173913043479
46,Naz Reid,Timberwolves,steals,0.5,-120,over,0.5852170883184187,0.36448997625217183,0.5454545454545454
20,Naz Reid,Timberwolves,fg3m,1.5,-125,over,0.5830590740737066,0.24753166666335957,0.5555555555555556
36,Anthony Edwards,Timberwolves,fgm,9.5,100,under,0.5821381745361613,0.821381745361613,0.5
21,Anthony Edwards,Timberwolves,fg3m,2.5,-120,under,0.5697087466575106,0.22233017769384755,0.5454545454545454
1,Luka Doncic,Mavericks,points,30.5,-120,under,0.5686802837424277,0.21290260097225522,0.5454545454545454
37,Rudy Gobert,Timberwolves,fgm,4.5,-105,over,0.5664971131855185,0.5300908668110145,0.5121951219512195
6,Jaden McDaniels,Timberwolves,points,10.5,-120,over,0.5637583141983815,0.16778454681849775,0.5454545454545454
39,Karl-Anthony Towns,Timberwolves,fgm,6.5,115,under,0.5614238418790638,1.0353063001999359,0.46511627906976744
3,Derrick Jones Jr.,Mavericks,points,8.5,-105,over,0.5600494497386544,0.4671493903059125,0.5121951219512195
11,Kyrie Irving,Mavericks,assists,4.5,-110,over,0.5595067149347874,0.3407459152866079,0.5238095238095238
25,Derrick Jones Jr.,Mavericks,rebounds,3.5,-125,under,0.5583570552828954,0.025213497546058505,0.5555555555555556
19,Kyrie Irving,Mavericks,fg3m,2.5,100,over,0.5400264169946777,0.4002641699467766,0.5
4,Dereck Lively II,Mavericks,points,8.5,105,over,0.5284346543642263,0.4164552072333194,0.48780487804878053
