,player_name,player_position,minutes,points,rebounds,assists,efg,fg3a,fg3m,fg3_pct,fga,fgm,fta,ft_pct,date
67,Nikola Jokic,C,38.0,16,11,7,0.375,2,0,0.0,16,6,5,0.8,2024-03-17
68,Nikola Jokic,C,29.0,23,8,7,0.559,1,1,1.0,17,9,5,0.8,2024-02-09
69,Nikola Jokic,C,32.0,27,10,14,0.676,2,1,0.5,17,11,4,1.0,2024-01-12
70,Nikola Jokic,C,27.0,8,9,7,0.375,1,0,0.0,8,3,2,1.0,2023-12-18
71,Nikola Jokic,C,16.0,4,9,6,0.4,0,0,0.0,5,2,0,0.0,2023-12-12
72,Nikola Jokic,C,27.0,18,10,7,0.615,0,0,0.0,13,8,5,0.4,2023-11-19
73,Nikola Jokic,C,36.0,26,16,18,0.525,8,1,0.125,20,10,5,1.0,2023-11-17
74,Nikola Jokic,C,36.0,35,14,12,0.667,6,2,0.333,24,15,5,0.6,2023-11-06
75,Nikola Jokic,C,33.0,28,16,9,0.594,3,1,0.333,16,9,9,1.0,2023-11-04
76,Nikola Jokic,C,35.0,33,14,9,0.938,2,2,1.0,16,14,5,0.6,2023-11-03
77,Nikola Jokic,C,36.0,32,16,16,0.583,6,2,0.333,24,13,4,1.0,2024-02-25
78,Nikola Jokic,C,38.0,34,9,10,0.875,2,2,1.0,16,13,7,0.857,2024-01-04
79,Nikola Jokic,C,39.0,26,14,8,0.333,2,0,0.0,12,4,18,1.0,2023-12-25
80,Nikola Jokic,C,36.0,35,13,5,0.58,8,1,0.125,25,14,10,0.6,2023-11-08
81,Nikola Jokic,C,34.0,23,16,5,0.365,2,1,0.5,26,9,7,0.571,2023-12-08
82,Nikola Jokic,C,33.0,32,10,15,0.658,2,1,0.5,19,12,8,0.875,2023-11-29
83,Nikola Jokic,C,42.0,38,19,8,0.5,8,3,0.375,31,14,11,0.636,2023-11-24
84,Nikola Jokic,C,38.0,36,21,11,0.538,6,2,0.333,26,13,8,1.0,2023-11-12
85,Nikola Jokic,C,40.0,36,17,10,0.646,8,3,0.375,24,14,6,0.833,2024-04-04
86,Nikola Jokic,C,37.0,22,15,10,0.313,7,2,0.286,32,9,2,1.0,2023-12-06
87,Nikola Jokic,C,35.0,32,16,9,0.391,7,2,0.286,23,8,14,1.0,2023-11-14
