PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Brandin Podziemski,Warriors,points,11.5,-105,under,0.931918837816429,4.09730294058895,0.5121951219512195
Jalen Green,Rockets,points,21.5,-125,under,0.8318512506496469,2.4866612558468226,0.5555555555555556
Jalen Green,Rockets,assists,3.5,-165,under,0.8193524217033382,1.5796482348904428,0.6226415094339623
Amen Thompson,Rockets,fg3m,0.5,-275,under,0.8187307530779818,0.5822551346226038,0.7333333333333333
Jonathan Kuminga,Warriors,points,17.5,-120,under,0.7974989949784532,2.3104074539691553,0.5454545454545454
Jonathan Kuminga,Warriors,rebounds,5.5,-165,under,0.753142888745484,1.0479656217440376,0.6226415094339623
Alperen Sengun,Rockets,fg3m,0.5,-225,under,0.740818220681718,0.35035381603463,0.6923076923076923
Jonathan Kuminga,Warriors,fg3m,0.5,-250,over,0.7274682069659874,0.09227744876191135,0.7142857142857143
Alperen Sengun,Rockets,rebounds,11.5,-140,under,0.719280873462433,1.1652646296779974,0.5833333333333333
Jalen Green,Rockets,fg3m,2.5,105,under,0.7037203534424978,2.2131336227856018,0.48780487804878053
Amen Thompson,Rockets,points,13.5,-120,under,0.6920472198084384,1.343766181577353,0.5454545454545454
Amen Thompson,Rockets,assists,2.5,-110,under,0.6766764161830634,1.4591839726565146,0.5238095238095238
Amen Thompson,Rockets,rebounds,8.5,-140,under,0.6756510437420216,0.7912946606458997,0.5833333333333333
Jabari Smith Jr.,Rockets,fg3m,1.5,-150,over,0.6691458157147478,0.5762151309562318,0.6000000000000001
Jalen Green,Rockets,rebounds,5.5,-140,under,0.6510064372694919,0.5800551765956454,0.5833333333333333
Jonathan Kuminga,Warriors,assists,2.5,-135,under,0.6496313518820689,0.6541988034180066,0.574468085106383
Alperen Sengun,Rockets,points,22.5,-125,under,0.6487127633992118,0.8384148705929062,0.5555555555555556
Andrew Wiggins,Warriors,rebounds,4.5,-130,under,0.6483653762099504,0.7355398664726378,0.5652173913043479
Fred VanVleet,Rockets,rebounds,3.5,-170,over,0.640552227211231,0.0867382749127168,0.6296296296296295
Fred VanVleet,Rockets,points,17.5,-105,over,0.6302256465963079,1.1522027405830055,0.5121951219512195
Jabari Smith Jr.,Rockets,rebounds,7.5,100,under,0.5987138355230368,0.9871383552303676,0.5
Dillon Brooks,Rockets,points,13.5,-115,under,0.5950211660654501,0.5621543784379028,0.5348837209302326
Dillon Brooks,Rockets,assists,1.5,-110,over,0.593994150290162,0.6699441618606374,0.5238095238095238
Andrew Wiggins,Warriors,points,17.5,-105,over,0.5774083377803214,0.6366052021412325,0.5121951219512195
Dillon Brooks,Rockets,rebounds,3.5,-115,under,0.5583570552828954,0.21942464720967436,0.5348837209302326
Jabari Smith Jr.,Rockets,points,13.5,-115,under,0.551067783317111,0.15128580057299423,0.5348837209302326
Alperen Sengun,Rockets,assists,6.5,110,over,0.5352848222265388,0.6204906333786577,0.47619047619047616
Jabari Smith Jr.,Rockets,assists,0.5,175,under,0.4065696597405992,0.5903328214332393,0.36363636363636365
