,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
62,Jalen Brunson,Knicks,blocks,0.5,-550,under,0.9231163463866358,0.45477841046648404,0.8461538461538461
61,Miles McBride,Knicks,blocks,0.5,-425,under,0.8869204367171575,0.4780379914883257,0.8095238095238095
58,Andrew Nembhard,Pacers,blocks,0.5,-400,under,0.8521437889662113,0.32589868103882047,0.8
23,Ben Sheppard,Pacers,fg3m,0.5,-240,over,0.7106157820609493,0.03352845626505818,0.7058823529411764
3,Andrew Nembhard,Pacers,points,9.5,-125,over,0.6849575818259804,1.1646182364338236,0.5555555555555556
55,Pascal Siakam,Pacers,blocks,0.5,-170,under,0.6703200460356393,0.32312977734184223,0.6296296296296295
29,Myles Turner,Pacers,rebounds,7.5,-160,under,0.6698308783593809,0.44237588666996963,0.6153846153846154
36,Andrew Nembhard,Pacers,fgm,3.5,-150,over,0.6677256775285372,0.5643806460711422,0.6000000000000001
18,Myles Turner,Pacers,fg3m,1.5,-145,over,0.664507801973037,0.6139452235653131,0.5918367346938775
14,Jalen Brunson,Knicks,assists,6.5,-140,over,0.6460032626745446,0.5371708229246686,0.5833333333333333
45,Myles Turner,Pacers,steals,0.5,-115,under,0.6440364210831414,1.0203404579511046,0.5348837209302326
7,Donte DiVincenzo,Knicks,points,17.5,-110,over,0.6353328313436669,1.0645406628259124,0.5238095238095238
19,Tyrese Haliburton,Pacers,fg3m,3.5,-160,under,0.6203679449590859,0.0404895527925726,0.6153846153846154
46,Aaron Nesmith,Pacers,steals,0.5,-110,under,0.618783391806141,0.9065687399677103,0.5238095238095238
4,Myles Turner,Pacers,points,15.5,-125,over,0.6102136898763074,0.49192320888676644,0.5555555555555556
1,Aaron Nesmith,Pacers,points,9.5,-110,over,0.6099000465579073,0.8217731716891157,0.5238095238095238
12,Aaron Nesmith,Pacers,assists,1.5,-145,over,0.6047127189295851,0.10877986681890928,0.5918367346938775
6,Jalen Brunson,Knicks,points,35.5,-125,under,0.6037720594337188,0.4339485349034691,0.5555555555555556
9,Miles McBride,Knicks,points,13.5,-110,under,0.599410463386854,0.7216453323290617,0.5238095238095238
51,Donte DiVincenzo,Knicks,steals,1.5,-135,under,0.5918327134598557,0.15113658011355913,0.574468085106383
39,Ben Sheppard,Pacers,fgm,1.5,100,over,0.5830590740737066,0.8305907407370663,0.5
17,Aaron Nesmith,Pacers,fg3m,1.5,-125,under,0.5781037311843773,0.20293358065939593,0.5555555555555556
47,Andrew Nembhard,Pacers,steals,0.5,105,under,0.571209063848815,0.8548929044503533,0.48780487804878053
60,Donte DiVincenzo,Knicks,blocks,0.5,-130,over,0.5682894765709202,0.02717613889660253,0.5652173913043479
24,Donte DiVincenzo,Knicks,fg3m,3.5,115,over,0.566529879633291,1.090196206057879,0.46511627906976744
34,Donte DiVincenzo,Knicks,rebounds,4.5,115,under,0.5588667857027013,1.0078179463040389,0.46511627906976744
27,Pascal Siakam,Pacers,rebounds,7.5,-120,over,0.5581491775895339,0.11636746123739439,0.5454545454545454
32,Miles McBride,Knicks,rebounds,2.5,-115,under,0.5489535924019631,0.13152271158356754,0.5348837209302326
40,Jalen Brunson,Knicks,fgm,12.5,-115,under,0.5439766672549321,0.08499928086132158,0.5348837209302326
28,Aaron Nesmith,Pacers,rebounds,4.5,115,under,0.5435287141486196,0.8429336770976601,0.46511627906976744
49,Pascal Siakam,Pacers,steals,0.5,125,under,0.5272924240430487,0.9320397704842973,0.4444444444444444
33,Jalen Brunson,Knicks,rebounds,3.5,115,under,0.5237427432248212,0.6302344896668277,0.46511627906976744
10,Tyrese Haliburton,Pacers,assists,8.5,-105,over,0.5230870723310934,0.10632618227972124,0.5121951219512195
43,Donte DiVincenzo,Knicks,fgm,6.5,110,over,0.5200837795439648,0.4608796852116299,0.47619047619047616
44,Miles McBride,Knicks,fgm,4.5,120,under,0.5057528012128365,0.5632808133412013,0.45454545454545453
37,Aaron Nesmith,Pacers,fgm,3.5,115,over,0.5016645070629165,0.3928934509263531,0.46511627906976744
