PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Jared McCain,76ers,assists,4.5,-135,under,0.9259496520690991,3.059191416156973,0.574468085106383
Kyle Kuzma,Wizards,points,23.5,-105,under,0.9046218628864904,3.8308324710347867,0.5121951219512195
Kevin Porter Jr.,Clippers,fg3m,1.5,-240,under,0.8995242032487154,1.3716297730117346,0.7058823529411764
Tyrese Maxey,76ers,points,21.5,-110,over,0.8592118941074104,3.2015680801161905,0.5238095238095238
Kevin Porter Jr.,Clippers,points,12.5,-130,under,0.8501904399083887,2.5209154299588232,0.5652173913043479
Jared McCain,76ers,points,20.5,-125,under,0.8363843677556609,2.5274593098009484,0.5555555555555556
Terance Mann,Clippers,assists,0.5,-210,over,0.8233055542434032,1.076779090844167,0.6774193548387096
James Harden,Clippers,points,23.5,-105,under,0.8092154339337924,2.899483997925116,0.5121951219512195
Kyle Kuzma,Wizards,fg3m,2.5,-150,under,0.8004341648720293,1.6702847072669105,0.6000000000000001
Jared McCain,76ers,rebounds,3.5,110,under,0.7925363299535327,3.3216314645120937,0.47619047619047616
Tyrese Haliburton,Pacers,points,18.5,-115,under,0.779881098973711,2.290192881710777,0.5348837209302326
Tyrese Haliburton,Pacers,rebounds,4.5,-170,under,0.7686436081762501,1.103934535517281,0.6296296296296295
Naz Reid,Timberwolves,points,11.5,-125,over,0.7670715133234682,1.9036436199112141,0.5555555555555556
Nickeil Alexander-Walker,Timberwolves,assists,3.5,-180,under,0.7646772338919229,0.9474895969371779,0.6428571428571428
Caleb Martin,76ers,fg3m,1.5,-260,under,0.76026539367929,0.26337580239508473,0.7222222222222222
Obi Toppin,Pacers,fg3m,1.5,-250,under,0.76026539367929,0.32185775575502973,0.7142857142857143
Al Horford,Celtics,points,8.5,-105,over,0.7559602276856785,2.379611746455433,0.5121951219512195
Jared McCain,76ers,fg3m,3.5,-175,under,0.7504275271949297,0.8962162851030184,0.6363636363636364
Amir Coffey,Clippers,rebounds,3.5,-175,under,0.7504275271949297,0.8962162851030184,0.6363636363636364
Myles Turner,Pacers,rebounds,8.5,-135,under,0.7463020466862729,1.4955918878249672,0.574468085106383
Bilal Coulibaly,Wizards,fg3m,1.5,-220,under,0.7357588823428847,0.35097368976643417,0.6875
Al Horford,Celtics,fg3m,1.5,-165,over,0.7326151184283981,0.8831214055613783,0.6226415094339623
Guerschon Yabusele,76ers,rebounds,6.5,-140,under,0.7323933404376054,1.2776572037509037,0.5833333333333333
Tyrese Haliburton,Pacers,assists,10.5,-140,under,0.7294233670956503,1.2522002893912882,0.5833333333333333
Pascal Siakam,Pacers,points,23.5,-115,under,0.7210508908109439,1.7402583271457794,0.5348837209302326
Myles Turner,Pacers,points,18.5,-115,under,0.7198600373749626,1.7291264363311722,0.5348837209302326
Derrick White,Celtics,points,15.5,-130,over,0.713347112506028,1.3103783029379399,0.5652173913043479
Guerschon Yabusele,76ers,assists,2.5,-180,under,0.712710579278121,0.5433045054964964,0.6428571428571428
Amir Coffey,Clippers,assists,1.5,-240,under,0.7112511595218522,0.038029046613120565,0.7058823529411764
Nicolas Batum,Clippers,fg3m,1.5,-240,under,0.7112511595218522,0.038029046613120565,0.7058823529411764
Anthony Edwards,Timberwolves,fg3m,3.5,-105,over,0.7057700835034357,1.8896603389621107,0.5121951219512195
Malcolm Brogdon,Wizards,assists,5.5,-160,under,0.6972259084642527,0.6649605062720534,0.6153846153846154
Pascal Siakam,Pacers,rebounds,7.5,-125,under,0.6969558286607132,1.2726024579464184,0.5555555555555556
Anthony Edwards,Timberwolves,assists,4.5,-120,under,0.6936458648368751,1.3584204276713558,0.5454545454545454
Jaden McDaniels,Timberwolves,rebounds,4.5,-165,under,0.6807754708270708,0.46683332633859864,0.6226415094339623
Nicolas Batum,Clippers,assists,0.5,-180,over,0.6780417284623241,0.27365788804029867,0.6428571428571428
Ivica Zubac,Clippers,assists,1.5,-105,over,0.6767601071186498,1.6064677123487239,0.5121951219512195
Terance Mann,Clippers,rebounds,2.5,-105,over,0.6729434430265723,1.569209800973682,0.5121951219512195
Jarace Walker,Pacers,rebounds,4.5,-135,under,0.6678436005308537,0.8127128194352078,0.574468085106383
Al Horford,Celtics,assists,1.5,-165,over,0.6613867132023423,0.3111357272309303,0.6226415094339623
