,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
40,Nickeil Alexander-Walker,Timberwolves,fgm,1.5,100,over,0.8438197668225195,3.438197668225195,0.5
15,Daniel Gafford,Mavericks,assists,0.5,-170,over,0.7630722413178782,1.0596913281125628,0.6296296296296295
20,Jaden McDaniels,Timberwolves,fg3m,1.5,-240,under,0.7357588823428847,0.21162541659543344,0.7058823529411764
12,Naz Reid,Timberwolves,assists,0.5,-240,over,0.7328646980341497,0.19112494440856076,0.7058823529411764
1,Naz Reid,Timberwolves,points,11.5,-110,over,0.7262319675863473,1.9322142360514976,0.5238095238095238
56,Dereck Lively II,Mavericks,blocks,1.5,-150,under,0.7063586933414734,0.8863224445122775,0.6000000000000001
2,Jaden McDaniels,Timberwolves,points,9.5,-120,over,0.6931850011939704,1.3541958442780628,0.5454545454545454
14,Dereck Lively II,Mavericks,assists,1.5,-175,under,0.6771301507064273,0.32030832697907186,0.6363636363636364
53,Anthony Edwards,Timberwolves,blocks,0.5,-200,under,0.6703200460356393,0.027400345267295068,0.6666666666666666
50,Dereck Lively II,Mavericks,steals,0.5,-130,under,0.6703200460356393,0.9297542533921936,0.5652173913043479
32,Luka Doncic,Mavericks,rebounds,8.5,-115,over,0.6626583928345504,1.1944154112794927,0.5348837209302326
57,Derrick Jones Jr.,Mavericks,blocks,0.5,-135,over,0.660404474355061,0.7479648693866416,0.574468085106383
11,Anthony Edwards,Timberwolves,assists,6.5,-165,under,0.657552353460397,0.2803446565759147,0.6226415094339623
29,Jaden McDaniels,Timberwolves,rebounds,4.5,-145,under,0.6522666795279438,0.5105288442878013,0.5918367346938775
17,Naz Reid,Timberwolves,fg3m,1.5,-150,over,0.6454298932405317,0.37858244367109695,0.6000000000000001
5,Karl-Anthony Towns,Timberwolves,points,19.5,-115,under,0.6438070936779521,1.0181967452504213,0.5348837209302326
0,Rudy Gobert,Timberwolves,points,12.5,-105,over,0.6415415830336592,1.2626678343761966,0.5121951219512195
30,Dereck Lively II,Mavericks,rebounds,7.5,-125,under,0.6403552757500776,0.7631974817506979,0.5555555555555556
44,Jaden Hardy,Mavericks,fgm,1.5,-115,under,0.6297783721154973,0.8870586958622566,0.5348837209302326
33,Jaden McDaniels,Timberwolves,fgm,3.5,-130,over,0.6264311686747459,0.5415064921227519,0.5652173913043479
49,Luka Doncic,Mavericks,steals,1.5,-135,under,0.6057194336103917,0.2720024777200756,0.574468085106383
45,Naz Reid,Timberwolves,steals,0.5,-145,over,0.6014809589154859,0.08147706669979482,0.5918367346938775
8,Luka Doncic,Mavericks,points,30.5,-120,under,0.5947309063488222,0.4516999748642041,0.5454545454545454
39,Kyle Anderson,Timberwolves,fgm,1.5,-120,over,0.593994150290162,0.44494637765981926,0.5454545454545454
6,Kyrie Irving,Mavericks,points,22.5,-110,over,0.5894560172915781,0.6266256196014282,0.5238095238095238
42,Luka Doncic,Mavericks,fgm,10.5,-130,under,0.5880440179067993,0.20192785071399344,0.5652173913043479
34,Rudy Gobert,Timberwolves,fgm,4.5,-110,over,0.5871186437544844,0.6043143267473519,0.5238095238095238
13,Kyrie Irving,Mavericks,assists,4.5,-140,over,0.5871186437544844,0.032445517895581144,0.5833333333333333
31,Derrick Jones Jr.,Mavericks,rebounds,3.5,-120,under,0.5847603696106407,0.3603033880975408,0.5454545454545454
27,Naz Reid,Timberwolves,rebounds,4.5,-120,over,0.580304290724543,0.31945599830831206,0.5454545454545454
38,Naz Reid,Timberwolves,fgm,4.5,125,over,0.5734300538901168,1.4510881062638141,0.4444444444444444
55,Daniel Gafford,Mavericks,blocks,1.5,-125,over,0.5719076705793775,0.1471690352143975,0.5555555555555556
22,Nickeil Alexander-Walker,Timberwolves,fg3m,1.5,160,over,0.5719076705793775,2.4347997175319076,0.3846153846153846
51,Derrick Jones Jr.,Mavericks,steals,0.5,135,under,0.571209063848815,1.7117065002235758,0.425531914893617
24,Kyrie Irving,Mavericks,fg3m,2.5,110,over,0.5586498500837268,0.8658234258791317,0.47619047619047616
36,Karl-Anthony Towns,Timberwolves,fgm,6.5,105,under,0.5550454493204483,0.6892158555345946,0.48780487804878053
41,Dereck Lively II,Mavericks,fgm,3.5,-115,under,0.5547170492788263,0.1853985041281585,0.5348837209302326
9,Jaden McDaniels,Timberwolves,assists,1.5,-120,under,0.5511539551195812,0.052244588596161545,0.5454545454545454
25,Jaden Hardy,Mavericks,fg3m,0.5,-110,under,0.5488116360940265,0.23865652635207146,0.5238095238095238
4,Mike Conley,Timberwolves,points,12.5,-105,over,0.5412860039297526,0.2839824193142513,0.5121951219512195
18,Anthony Edwards,Timberwolves,fg3m,2.5,100,under,0.5386931591094692,0.386931591094692,0.5
3,Anthony Edwards,Timberwolves,points,25.5,-105,under,0.5306665613895475,0.18031643261224906,0.5121951219512195
10,Rudy Gobert,Timberwolves,assists,1.5,125,over,0.5251561758483804,0.9080069782942792,0.4444444444444444
28,Rudy Gobert,Timberwolves,rebounds,11.5,105,over,0.524612214392557,0.37727519752370897,0.48780487804878053
