PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Scotty Pippen Jr.,Grizzlies,points,5.5,-130,over,0.9837660445729203,3.702545778914294,0.5652173913043479
Jake LaRavia,Grizzlies,assists,1.5,-170,over,0.9082866582249758,2.2128646388453967,0.6296296296296295
Ty Jerome,Cavaliers,points,8.5,-110,over,0.8990777216188255,3.5821055245433344,0.5238095238095238
Jake LaRavia,Grizzlies,points,5.5,-110,over,0.8911663032605573,3.5065874402144117,0.5238095238095238
Ty Jerome,Cavaliers,fg3m,0.5,-225,over,0.866722086318646,1.2596595123013323,0.6923076923076923
Ziaire Williams,Nets,fg3m,1.5,-200,under,0.8570991163890191,1.4282433729176436,0.6666666666666666
Brandon Boston Jr.,Pelicans,points,8.5,-125,over,0.8502563661786191,2.6523072956075717,0.5555555555555556
Santi Aldama,Grizzlies,points,9.5,-115,over,0.84228227867343,2.8735082571646715,0.5348837209302326
Jeremiah Robinson-Earl,Pelicans,points,6.5,-110,over,0.8250245026449379,2.875233888883498,0.5238095238095238
Santi Aldama,Grizzlies,assists,1.5,-195,over,0.8233319850228547,1.2277675790190286,0.6610169491525424
Jeremiah Robinson-Earl,Pelicans,rebounds,4.5,-105,over,0.8139125966252864,2.9453372527706523,0.5121951219512195
Brandon Boston Jr.,Pelicans,assists,2.5,-135,over,0.7993618810381609,1.9574089645913997,0.574468085106383
Jake LaRavia,Grizzlies,rebounds,2.5,-170,over,0.7983558128206428,1.3398843959286348,0.6296296296296295
Jaylen Wells,Grizzlies,points,10.5,-105,over,0.7853888081632525,2.6668907463555604,0.5121951219512195
Jay Huff,Grizzlies,rebounds,3.5,-155,under,0.7851640563942853,1.458607560662669,0.607843137254902
Scotty Pippen Jr.,Grizzlies,rebounds,2.5,115,over,0.7849254999482836,3.4379491244440494,0.46511627906976744
Jaime Jaquez Jr.,Heat,rebounds,3.5,105,over,0.781028511697023,3.0055422448944857,0.48780487804878053
Jonathan Isaac,Magic,assists,0.5,-115,under,0.77863942482275,2.2785859276909233,0.5348837209302326
Chris Boucher,Raptors,points,7.5,-110,over,0.7683644024733444,2.334387478154651,0.5238095238095238
Javonte Green,Pelicans,rebounds,4.5,-170,under,0.7658290115420723,1.0815833269517507,0.6296296296296295
Jeremiah Robinson-Earl,Pelicans,assists,0.5,-250,over,0.7611653204397995,0.32815724307859573,0.7142857142857143
Anthony Black,Magic,points,6.5,-130,over,0.7588504725071914,1.7129080260251546,0.5652173913043479
Cameron Payne,Knicks,points,6.5,-130,over,0.7582912053723843,1.707960662909553,0.5652173913043479
Marcus Smart,Grizzlies,points,8.5,-130,over,0.7576202162727649,1.7020249901052273,0.5652173913043479
Ochai Agbaji,Raptors,points,9.5,-105,over,0.7540482683662446,2.360947381670483,0.5121951219512195
Jakob Poeltl,Raptors,points,13.5,-135,over,0.7534051457527825,1.5574151574779216,0.574468085106383
Brandon Clarke,Grizzlies,assists,1.5,-250,under,0.7524649038327468,0.2672543268292269,0.7142857142857143
OG Anunoby,Knicks,points,16.5,-125,over,0.7469506931745905,1.7225562385713147,0.5555555555555556
Desmond Bane,Grizzlies,rebounds,4.5,-135,over,0.7467240324320825,1.4992647267236807,0.574468085106383
Scotty Pippen Jr.,Grizzlies,assists,3.5,100,over,0.7321396945350407,2.321396945350407,0.5
Desmond Bane,Grizzlies,fg3m,2.5,-195,under,0.729263631278309,0.5162249032590034,0.6610169491525424
Jarrett Allen,Cavaliers,points,11.5,-130,over,0.728239096704028,1.4421150862279395,0.5652173913043479
Miles McBride,Knicks,points,8.5,-130,over,0.728115931779149,1.4410255503540104,0.5652173913043479
Caris LeVert,Cavaliers,points,9.5,-115,over,0.7270062207970069,1.7959277161459342,0.5348837209302326
Isaac Okoro,Cavaliers,fg3m,0.5,-240,over,0.7253883171632585,0.13816724657308121,0.7058823529411764
Jay Huff,Grizzlies,points,7.5,-125,over,0.7186355410849425,1.4677198697644829,0.5555555555555556
Davion Mitchell,Raptors,assists,3.5,-115,over,0.7169408235877867,1.7018381335380055,0.5348837209302326
Bennedict Mathurin,Pacers,rebounds,5.5,-150,over,0.7137914212503428,0.948261843752856,0.6000000000000001
Ziaire Williams,Nets,assists,1.5,-240,under,0.7121364153255931,0.04429960855628501,0.7058823529411764
Darius Garland,Cavaliers,points,18.5,-130,over,0.711940294855601,1.2979333775687776,0.5652173913043479
