PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Brandin Podziemski,Warriors,points,10.5,-125,under,0.9014792058890873,3.1133128530017853,0.5555555555555556
Brandin Podziemski,Warriors,fg3m,1.5,-180,under,0.8325291885556523,1.4752270220995178,0.6428571428571428
Jabari Smith Jr.,Rockets,assists,1.5,-250,under,0.8325291885556523,0.8277043198895655,0.7142857142857143
Keegan Murray,Kings,fg3m,2.5,-195,under,0.8004341648720293,1.0545661189038116,0.6610169491525424
Keegan Murray,Kings,points,13.5,-125,under,0.7687983490981454,1.9191851418833084,0.5555555555555556
Donte DiVincenzo,Timberwolves,points,9.5,-130,under,0.7491114455835735,1.6267550955469956,0.5652173913043479
Nickeil Alexander-Walker,Timberwolves,points,7.5,-120,over,0.7482429323398823,1.8588935464489216,0.5454545454545454
De'Aaron Fox,Kings,points,24.5,-125,over,0.7320070267324438,1.5880632405919939,0.5555555555555556
Jalen Green,Rockets,points,19.5,-115,under,0.7253898729298441,1.7808183773876736,0.5348837209302326
Draymond Green,Warriors,rebounds,5.5,-155,over,0.724102547273447,0.9563274049912571,0.607843137254902
Alperen Sengun,Rockets,fg3m,0.5,-200,under,0.7165313105737892,0.3739848293034187,0.6666666666666666
Jalen Green,Rockets,fg3m,2.5,-125,under,0.712710579278121,1.4143952135030888,0.5555555555555556
Norman Powell,Clippers,assists,1.5,-150,over,0.7057934329039397,0.8816119408661636,0.6000000000000001
Julius Randle,Timberwolves,rebounds,5.5,-155,over,0.6906963279267728,0.681534310365389,0.607843137254902
Malik Monk,Kings,assists,5.5,-140,under,0.6857595011480397,0.8779385812689127,0.5833333333333333
Fred VanVleet,Rockets,rebounds,3.5,-125,over,0.6850387012073272,1.1653483108659453,0.5555555555555556
Lauri Markkanen,Jazz,points,20.5,-125,under,0.68138838368853,1.1324954531967704,0.5555555555555556
Ivica Zubac,Clippers,assists,2.5,-180,under,0.6766764161830634,0.26303879253493756,0.6428571428571428
Mike Conley,Timberwolves,points,10.5,-125,under,0.6739403994759533,1.0654635952835796,0.5555555555555556
Jonathan Kuminga,Warriors,points,17.5,-120,under,0.6717402777882374,1.1576192130588439,0.5454545454545454
Jabari Smith Jr.,Rockets,rebounds,7.5,-125,under,0.667877202999595,1.0108948269963547,0.5555555555555556
Derrick Jones Jr.,Clippers,points,8.5,-125,over,0.6671803212492808,1.0046228912435275,0.5555555555555556
De'Aaron Fox,Kings,assists,5.5,-145,over,0.6639473374315268,0.6092102645077266,0.5918367346938775
Donte DiVincenzo,Timberwolves,fg3m,2.5,-165,under,0.6586382836205436,0.2890650048316372,0.6226415094339623
Mike Conley,Timberwolves,fg3m,2.5,-190,under,0.6586382836205436,0.026450059209410792,0.6551724137931035
Kevin Huerter,Kings,assists,2.5,-170,under,0.6586382836205436,0.23036284051608158,0.6296296296296295
Draymond Green,Warriors,points,8.5,-125,over,0.6519688039054381,0.8677192351489429,0.5555555555555556
Norman Powell,Clippers,points,21.5,-110,over,0.6518605332987389,1.222305090578872,0.5238095238095238
Julius Randle,Timberwolves,points,18.5,-135,over,0.6516303516149266,0.6715975047965825,0.574468085106383
Jalen Green,Rockets,rebounds,5.5,-145,under,0.6510064372694919,0.49988197003536294,0.5918367346938775
Brandin Podziemski,Warriors,rebounds,5.5,-160,under,0.6510064372694919,0.2894273028146217,0.6153846153846154
Brandin Podziemski,Warriors,assists,3.5,-125,under,0.6472318887822313,0.8250869990400813,0.5555555555555556
Domantas Sabonis,Kings,rebounds,13.5,-140,under,0.6314615408140936,0.4125274926922311,0.5833333333333333
Rudy Gobert,Timberwolves,assists,1.5,-145,over,0.6288822690900817,0.3129708940368974,0.5918367346938775
Draymond Green,Warriors,assists,5.5,105,over,0.6260951097257446,1.417474874688881,0.48780487804878053
Stephen Curry,Warriors,points,24.5,-110,under,0.6239606897885996,0.9559884025275422,0.5238095238095238
De'Aaron Fox,Kings,fg3m,2.5,-130,under,0.6227137499963162,0.5086216345827972,0.5652173913043479
Malik Monk,Kings,points,17.5,-120,under,0.6215867874725398,0.6978788851649491,0.5454545454545454
Norman Powell,Clippers,rebounds,2.5,110,under,0.6188856664760662,1.4982994979986957,0.47619047619047616
Jaden McDaniels,Timberwolves,rebounds,3.5,-105,over,0.6168226459813939,1.0213639250564646,0.5121951219512195
Stephen Curry,Warriors,assists,5.5,110,over,0.6162563382041968,1.4706915511440661,0.47619047619047616
Anthony Edwards,Timberwolves,rebounds,4.5,-150,over,0.615929624153269,0.1327468679439079,0.6000000000000001
De'Aaron Fox,Kings,rebounds,4.5,-145,over,0.615929624153269,0.20354337646727272,0.5918367346938775
Domantas Sabonis,Kings,points,19.5,-120,over,0.6102143918532763,0.5936319253217002,0.5454545454545454
Keegan Murray,Kings,rebounds,6.5,-140,over,0.608038330562136,0.21175711910402306,0.5833333333333333
Jaden McDaniels,Timberwolves,points,9.5,100,over,0.6067819986758682,1.0678199867586822,0.5
Domantas Sabonis,Kings,fg3m,0.5,-140,over,0.6067592791314018,0.20079382112630162,0.5833333333333333
Stephen Curry,Warriors,rebounds,4.5,-105,over,0.6049892138616018,0.9058470876965885,0.5121951219512195
Nickeil Alexander-Walker,Timberwolves,assists,2.5,-125,under,0.6048969327419378,0.4440723946774401,0.5555555555555556
Kevin Huerter,Kings,points,7.5,-135,over,0.6013482358732403,0.23395686778560965,0.574468085106383
Jabari Smith Jr.,Rockets,points,11.5,-120,under,0.5951795250696563,0.4558123131385168,0.5454545454545454
