,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
4,Karl-Anthony Towns,Timberwolves,points,20.5,-125,under,0.8054805462668096,2.249324916401287,0.5555555555555556
9,Anthony Edwards,Timberwolves,assists,7.5,-160,under,0.7867382657048992,1.3922484088523062,0.6153846153846154
27,Derrick Jones Jr.,Mavericks,fgm,2.5,-175,over,0.7559768865759376,0.9398183945252239,0.6363636363636364
16,Jaden McDaniels,Timberwolves,fg3m,1.5,-120,under,0.7357588823428847,1.7444564214764435,0.5454545454545454
17,Karl-Anthony Towns,Timberwolves,fg3m,2.5,-200,under,0.7306210859394124,0.4796581445455932,0.6666666666666666
14,Derrick Jones Jr.,Mavericks,fg3m,0.5,-210,over,0.721962699546806,0.3287723061788068,0.6774193548387096
38,Dereck Lively II,Mavericks,blocks,1.5,-230,under,0.7210475511959114,0.17273243249240733,0.696969696969697
23,Anthony Edwards,Timberwolves,rebounds,7.5,-150,under,0.7160162577921948,0.9668021482682896,0.6000000000000001
19,Daniel Gafford,Mavericks,rebounds,6.5,-135,under,0.7078787253823995,1.161166683883847,0.574468085106383
12,Naz Reid,Timberwolves,assists,0.5,-230,over,0.6988057880877979,0.013171958021158892,0.696969696969697
31,Daniel Gafford,Mavericks,steals,0.5,-135,under,0.697676326071031,1.0723680232108252,0.574468085106383
24,Mike Conley,Timberwolves,rebounds,2.5,-170,over,0.6901078148544741,0.4802679414914126,0.6296296296296295
2,Derrick Jones Jr.,Mavericks,points,8.5,-105,over,0.689244141710963,1.7283356690832106,0.5121951219512195
25,Daniel Gafford,Mavericks,fgm,4.5,-165,under,0.6775476361045435,0.44091283538497006,0.6226415094339623
30,Mike Conley,Timberwolves,fgm,4.5,-160,under,0.6600616331111857,0.36300076902838385,0.6153846153846154
33,Dereck Lively II,Mavericks,steals,0.5,-150,under,0.6592406302004438,0.49367191833703084,0.6000000000000001
18,Kyrie Irving,Mavericks,rebounds,3.5,-115,over,0.6474799815848631,1.0525302626411113,0.5348837209302326
21,Karl-Anthony Towns,Timberwolves,rebounds,7.5,-125,over,0.6423081937556689,0.7807737438010205,0.5555555555555556
6,Mike Conley,Timberwolves,points,12.5,-120,under,0.6352090386351965,0.8227495208226356,0.5454545454545454
34,Anthony Edwards,Timberwolves,steals,1.5,-140,under,0.6339250450332826,0.43364324314242264,0.5833333333333333
7,Kyrie Irving,Mavericks,assists,4.5,-110,over,0.6137558852314517,0.8585789044820398,0.5238095238095238
29,Karl-Anthony Towns,Timberwolves,fgm,6.5,115,under,0.6063027824125913,1.5177549109353563,0.46511627906976744
15,Anthony Edwards,Timberwolves,fg3m,2.5,-120,over,0.5944922867341531,0.44951262839640416,0.5454545454545454
0,Daniel Gafford,Mavericks,points,9.5,-110,under,0.5928978857623155,0.6594798186402846,0.5238095238095238
26,Dereck Lively II,Mavericks,fgm,3.5,-125,under,0.5847603696106407,0.2628433264957666,0.5555555555555556
1,Kyrie Irving,Mavericks,points,22.5,-125,over,0.5830971841718259,0.2478746575464328,0.5555555555555556
20,Dereck Lively II,Mavericks,rebounds,6.5,105,over,0.5621397750090182,0.7619326938424362,0.48780487804878053
39,Naz Reid,Timberwolves,blocks,0.5,115,under,0.5580351457700471,0.9988778170280059,0.46511627906976744
8,Mike Conley,Timberwolves,assists,5.5,-120,under,0.5530548911105264,0.06966983517982595,0.5454545454545454
13,Kyrie Irving,Mavericks,fg3m,2.5,100,over,0.5493950317778415,0.493950317778415,0.5
3,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.5386984489321431,0.2587229538613971,0.5121951219512195
22,Naz Reid,Timberwolves,rebounds,4.5,-105,over,0.5382042538908481,0.25389866893447,0.5121951219512195
28,Anthony Edwards,Timberwolves,fgm,9.5,100,under,0.5348583670813108,0.3485836708131087,0.5
5,Rudy Gobert,Timberwolves,points,12.5,100,over,0.5192015991889449,0.1920159918894493,0.5
35,Karl-Anthony Towns,Timberwolves,steals,0.5,115,under,0.5066169923655897,0.446132667930089,0.46511627906976744
10,Rudy Gobert,Timberwolves,assists,1.5,105,over,0.5005177442143811,0.13030687819740594,0.48780487804878053
37,Daniel Gafford,Mavericks,blocks,1.5,115,under,0.48705992231926176,0.23589416493206405,0.46511627906976744
36,Jaden McDaniels,Timberwolves,steals,0.5,170,under,0.46766642700990935,1.3134967646337765,0.37037037037037035
11,Jaden McDaniels,Timberwolves,assists,1.5,140,over,0.4488460448804188,0.3861525385650255,0.4166666666666667
40,Jaden McDaniels,Timberwolves,blocks,0.5,160,under,0.4147829116815813,0.3921778518605574,0.3846153846153846
32,Kyrie Irving,Mavericks,steals,1.5,155,over,0.3942805663896083,0.027077221467505463,0.3921568627450981
41,Anthony Edwards,Timberwolves,blocks,0.5,200,over,0.3559635789168586,0.33945368375287854,0.3333333333333333
