,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0042300204,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,41,94,0.436,15,48,0.313,5,7,0.714,8,24,32,26,8,3,7,17,102,-7.0
1,0042300204,1610612738,Celtics,BOS,Boston,240.000000:00,38,78,0.487,12,32,0.375,21,24,0.875,10,38,48,15,6,4,14,12,109,7.0
