team_id,game_id,team_id,trad_minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,to,pf,pts,plus_minus,adv_minutes,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,reb_pct,e_tm_tov_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,poss,pie
1,1093.780487804878,1.0,242.1341463414634,43.03658536585366,92.48780487804878,0.4664146341463415,13.71951219512195,37.707317073170735,0.36415853658536584,18.536585365853657,23.24390243902439,0.7942926829268293,12.487804878048781,32.18292682926829,44.670731707317074,26.585365853658537,7.5,4.5,12.75609756097561,18.5609756097561,118.32926829268293,-2.182926829268293,242.1341463414634,115.34085365853659,117.35121951219512,115.34085365853659,117.35121951219512,1.0831444142684454e-17,0.0,0.6255670731707317,2.120060975609756,19.16768292682927,0.2929939024390244,0.7070304878048781,0.5000060975609757,13.377951219512195,13.622560975609755,0.5571585365853658,0.5911158536585366,1.0,0.19766463414634147,102.63475609756097,100.86817073170732,84.0569512195122,101.73780487804878,0.5
2,1097.5434782608695,2.0,241.6304347826087,43.40217391304348,89.27173913043478,0.4868586956521739,16.26086956521739,42.03260869565217,0.3858804347826087,16.152173913043477,20.054347826086957,0.7968043478260869,10.543478260869565,35.630434782608695,46.17391304347826,26.456521739130434,6.608695652173913,6.391304347826087,11.141304347826088,16.01086956521739,119.21739130434783,11.347826086956522,241.6304347826087,114.30923913043479,116.08749999999999,114.30923913043479,116.08749999999999,0.0,0.0,0.6043097826086956,2.436467391304348,18.770108695652173,0.27519565217391306,0.7248152173913043,0.5000054347826087,11.87853804347826,12.065760869565217,0.5511358695652174,0.5796956521739131,1.0,0.19802173913043478,98.76206521739131,97.23347826086956,81.02760869565218,97.8913043478261,0.5
3,1101.968085106383,3.0,241.32978723404256,41.212765957446805,86.69148936170212,0.4756382978723404,13.106382978723405,36.276595744680854,0.35971276595744683,15.24468085106383,19.9468085106383,0.7608191489361702,9.574468085106384,33.138297872340424,42.712765957446805,27.170212765957448,7.287234042553192,4.627659574468085,12.585106382978724,17.79787234042553,110.77659574468085,1.3936170212765957,241.32978723404256,110.78882978723404,112.81702127659574,110.78882978723404,112.81702127659574,0.0,0.0,0.6367074468085107,2.0602659574468083,19.08191489361702,0.2737127659574468,0.7262978723404256,0.5,13.535542553191489,13.780319148936169,0.5428723404255319,0.5754468085106382,1.0,0.19792021276595748,98.9054255319149,97.10808510638297,80.9236170212766,97.63829787234043,0.5
4,1250.9883720930231,4.0,240.2906976744186,42.06976744186046,87.24418604651163,0.4826511627906977,12.30232558139535,32.604651162790695,0.372953488372093,17.441860465116278,22.523255813953487,0.7744069767441861,10.476744186046512,33.55813953488372,44.03488372093023,26.6046511627907,8.36046511627907,4.604651162790698,12.63953488372093,18.46511627906977,113.88372093023256,3.4767441860465116,240.2906976744186,112.03430232558141,113.59476744186045,112.03430232558141,113.59476744186045,0.0,-2.0655312086049424e-17,0.6441686046511628,2.1119767441860464,19.32790697674419,0.2740639534883721,0.7259418604651162,0.5000058139534884,13.708720930232559,13.912790697674419,0.5477674418604651,0.5809302325581396,1.0,0.1981860465116279,99.98186046511628,98.56848837209301,82.14093023255813,98.69186046511628,0.5000058139534884
5,1230.0243902439024,5.0,243.65853658536585,42.048780487804876,89.5,0.4713536585365854,11.475609756097562,32.073170731707314,0.3569024390243903,16.695121951219512,21.109756097560975,0.7927439024390244,11.170731707317072,32.646341463414636,43.81707317073171,24.975609756097562,7.780487804878049,4.804878048780488,11.670731707317072,18.79268292682927,112.26829268292683,-1.4390243902439024,243.65853658536585,112.95548780487805,114.9189024390244,112.95548780487805,114.9189024390244,0.0,0.0,0.6368719512195122,2.252560975609756,19.21829268292683,0.2841951219512195,0.7158048780487805,0.5000060975609757,13.065243902439024,13.304268292682927,0.5465182926829268,0.5798109756097561,1.0,0.19803658536585367,98.64707317073172,96.94,80.78329268292683,98.41463414634147,0.5
6,1230.563829787234,6.0,240.2659574468085,42.51063829787234,88.8936170212766,0.4786808510638298,14.361702127659575,38.93617021276596,0.36680851063829784,17.02127659574468,22.69148936170213,0.7464574468085107,10.02127659574468,33.02127659574468,43.04255319148936,25.329787234042552,6.808510638297872,5.127659574468085,12.074468085106384,18.47872340425532,116.40425531914893,2.351063829787234,240.2659574468085,113.4127659574468,115.46968085106383,113.4127659574468,115.46968085106383,-3.7794826370218094e-17,0.0,0.6150585106382979,2.198723404255319,18.78031914893617,0.2760531914893617,0.7239627659574468,0.5,12.807148936170213,13.046808510638298,0.5515904255319148,0.5821808510638298,1.0,0.1979095744680851,101.51159574468085,99.67436170212765,83.0622340425532,99.7872340425532,0.5000053191489362
7,1251.7096774193549,7.0,240.2688172043011,43.473118279569896,88.36559139784946,0.49294623655913977,11.56989247311828,31.247311827956988,0.37008602150537634,14.96774193548387,19.483870967741936,0.7676129032258066,10.634408602150538,33.54838709677419,44.18279569892473,28.989247311827956,7.086021505376344,5.376344086021505,11.75268817204301,18.086021505376344,113.48387096774194,4.451612903225806,240.2688172043011,112.80215053763442,114.57795698924731,112.80215053763442,114.57795698924731,0.0,0.0,0.6486182795698925,2.3938709677419356,19.886021505376345,0.28350000000000003,0.7165053763440861,0.500005376344086,12.551655913978495,12.76505376344086,0.5442204301075269,0.575247311827957,1.0,0.19788172043010754,98.62505376344085,97.04559139784946,80.87118279569893,97.15053763440861,0.500005376344086
8,1361.878048780488,8.0,241.82926829268294,43.68292682926829,91.64634146341463,0.47793902439024394,14.768292682926829,38.91463414634146,0.3790609756097561,15.634146341463415,20.048780487804876,0.777219512195122,12.146341463414634,34.5609756097561,46.707317073170735,29.29268292682927,6.975609756097561,4.597560975609756,13.707317073170731,19.48780487804878,117.76829268292683,2.6097560975609757,241.82926829268294,113.66341463414633,115.7170731707317,113.66341463414633,115.7170731707317,0.0,0.0,0.6534207317073171,2.2507317073170734,19.646341463414632,0.29295731707317074,0.7070426829268293,0.5000121951219512,13.299817073170733,13.553658536585367,0.5493231707317073,0.5812195121951219,1.0,0.19793292682926827,101.73548780487805,99.88658536585366,83.23878048780487,100.67073170731707,0.5000121951219512
9,1365.4634146341464,9.0,242.1341463414634,41.76829268292683,90.96341463414635,0.4594756097560976,12.71951219512195,36.146341463414636,0.3520609756097561,18.073170731707318,23.365853658536587,0.7693292682926829,11.463414634146341,33.98780487804878,45.451219512195124,24.817073170731707,7.7926829268292686,4.573170731707317,12.207317073170731,20.75609756097561,114.32926829268293,1.1219512195121952,242.1341463414634,111.13841463414634,113.2810975609756,111.13841463414634,113.2810975609756,0.0,0.0,0.5961524390243903,2.0409146341463416,17.73841463414634,0.28447560975609754,0.7155426829268293,0.5,12.929176829268293,13.193902439024392,0.531859756097561,0.5685182926829268,1.0,0.1981829268292683,101.50743902439025,99.59731707317073,82.99768292682927,100.47560975609755,0.5
10,1266.5227272727273,10.0,240.2840909090909,41.89772727272727,86.375,0.48551136363636366,12.579545454545455,33.05681818181818,0.38189772727272725,18.204545454545453,22.125,0.8274772727272727,10.102272727272727,32.79545454545455,42.89772727272727,25.204545454545453,7.693181818181818,4.909090909090909,12.227272727272727,18.818181818181817,114.57954545454545,2.602272727272727,240.2840909090909,114.05511363636364,116.04715909090909,114.05511363636364,116.04715909090909,0.0,0.0,0.6158295454545454,2.1370454545454547,18.80909090909091,0.28902272727272726,0.7109943181818182,0.5000056818181818,13.138113636363636,13.374431818181819,0.5499715909090909,0.5852386363636364,1.0,0.1976875,99.25943181818182,97.5246590909091,81.27022727272727,97.64204545454545,0.5
