PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Brandin Podziemski,Warriors,points,10.5,-125,under,0.8622379834283881,2.7601418508554927,0.5555555555555556
Keegan Murray,Kings,fg3m,2.5,-195,under,0.8334977381226298,1.3046623781070716,0.6610169491525424
Kevin Huerter,Kings,assists,2.5,-170,under,0.8334977381226298,1.6189526262679432,0.6296296296296295
Alperen Sengun,Rockets,fg3m,0.5,-200,under,0.8187307530779818,1.1404806480848637,0.6666666666666666
Brandin Podziemski,Warriors,fg3m,1.5,-180,under,0.8087921354109989,1.2906054976411028,0.6428571428571428
Draymond Green,Warriors,rebounds,5.5,-155,over,0.7797130770585938,1.4137688596755296,0.607843137254902
Jabari Smith Jr.,Rockets,assists,1.5,-250,under,0.7724823535071383,0.40737647454996795,0.7142857142857143
Norman Powell,Clippers,assists,1.5,-150,over,0.7689217620241717,1.4076813502014305,0.6000000000000001
Donte DiVincenzo,Timberwolves,points,9.5,-130,under,0.764851433019472,1.7659934459414828,0.5652173913043479
Keegan Murray,Kings,points,13.5,-125,under,0.762444942154894,1.862004479394046,0.5555555555555556
Nickeil Alexander-Walker,Timberwolves,points,7.5,-120,over,0.7612209397375287,1.9778586142606807,0.5454545454545454
Jonathan Kuminga,Warriors,points,17.5,-120,under,0.7572750072489359,1.9416875664485804,0.5454545454545454
James Harden,Clippers,rebounds,6.5,-135,under,0.7323933404376054,1.3745346297347134,0.574468085106383
Derrick Jones Jr.,Clippers,points,8.5,-125,over,0.7305568322136708,1.5750114899230376,0.5555555555555556
Julius Randle,Timberwolves,points,18.5,-135,over,0.7273379608621714,1.3305341038003804,0.574468085106383
Naz Reid,Timberwolves,points,11.5,-120,under,0.719280873462433,1.5934080067389695,0.5454545454545454
Jalen Green,Rockets,fg3m,2.5,-125,under,0.7037203534424978,1.3334831809824805,0.5555555555555556
Stephen Curry,Warriors,rebounds,4.5,-105,over,0.7013352132383803,1.8463675578032366,0.5121951219512195
Naz Reid,Timberwolves,fg3m,1.5,-110,under,0.6990292757659671,1.6725521777660497,0.5238095238095238
Mike Conley,Timberwolves,points,10.5,-125,under,0.6940666365550072,1.246599728995065,0.5555555555555556
Domantas Sabonis,Kings,points,19.5,-120,over,0.6939729794378251,1.361418978180064,0.5454545454545454
Mike Conley,Timberwolves,fg3m,2.5,-190,under,0.6766764161830634,0.1641094919233781,0.6551724137931035
Fred VanVleet,Rockets,points,16.5,-115,over,0.6761121356128464,1.3201786589896516,0.5348837209302326
Draymond Green,Warriors,assists,5.5,105,over,0.6730228699281167,1.8984844167631953,0.48780487804878053
Anthony Edwards,Timberwolves,rebounds,4.5,-150,over,0.6727851977714412,0.6065433147620096,0.6000000000000001
DeMar DeRozan,Kings,fg3m,0.5,-105,under,0.6703200460356393,1.5436004493955269,0.5121951219512195
Jalen Green,Rockets,rebounds,5.5,-145,under,0.6684384852977383,0.6471527206188237,0.5918367346938775
Jabari Smith Jr.,Rockets,rebounds,7.5,-125,under,0.6580820054012145,0.9227380486109307,0.5555555555555556
DeMar DeRozan,Kings,rebounds,3.5,-125,over,0.657704044165409,0.9193363974886806,0.5555555555555556
Donte DiVincenzo,Timberwolves,fg3m,2.5,-165,under,0.6496313518820689,0.21673661359843166,0.6226415094339623
De'Aaron Fox,Kings,fg3m,2.5,-130,under,0.6496313518820689,0.746738882033686,0.5652173913043479
Kevin Huerter,Kings,rebounds,3.5,-150,under,0.6472318887822313,0.3935990731852599,0.6000000000000001
Rudy Gobert,Timberwolves,assists,1.5,-145,over,0.6454298932405317,0.4527697877217336,0.5918367346938775
