PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
Daniel Gafford,Mavericks,points,8.5,-110,over,0.9111368736001632,3.6972156116379216,0.5238095238095238
Kevin Porter Jr.,Clippers,fg3m,1.5,-250,under,0.8780986177504424,1.1466903242530964,0.7142857142857143
Klay Thompson,Mavericks,points,17.5,-130,under,0.8701928170731092,2.697859535646735,0.5652173913043479
Quentin Grimes,Mavericks,assists,2.5,-160,under,0.770360195955,1.2591765921343754,0.6153846153846154
Norman Powell,Clippers,rebounds,3.5,-175,under,0.7405745488320432,0.8188000265374822,0.6363636363636364
Kyrie Irving,Mavericks,rebounds,3.5,-150,over,0.7206550881632368,1.0054590680269724,0.6000000000000001
Kyrie Irving,Mavericks,assists,6.5,-150,under,0.7094260343823111,0.9118836198525921,0.6000000000000001
Naji Marshall,Mavericks,points,10.5,-120,over,0.6932656517841747,1.3549351413549353,0.5454545454545454
Daniel Gafford,Mavericks,assists,0.5,-175,over,0.6833632306209467,0.3692825263074384,0.6363636363636364
Klay Thompson,Mavericks,fg3m,3.5,-145,under,0.6807951192663566,0.7515449731123232,0.5918367346938775
Ivica Zubac,Clippers,points,15.5,-125,under,0.6742970982987029,1.068673884688326,0.5555555555555556
Kevin Porter Jr.,Clippers,points,11.5,-130,under,0.6738166253209508,0.9606855316853335,0.5652173913043479
Derrick Jones Jr.,Clippers,fg3m,0.5,-195,over,0.6671289163019205,0.046231546386321654,0.6610169491525424
Daniel Gafford,Mavericks,rebounds,5.5,-105,over,0.6662310162919451,1.5036837304689883,0.5121951219512195
Dereck Lively II,Mavericks,rebounds,8.5,-150,under,0.6550896392751899,0.4590803272932491,0.6000000000000001
Derrick Jones Jr.,Clippers,points,8.5,-105,over,0.6203940369495253,1.05622750355489,0.5121951219512195
Dereck Lively II,Mavericks,assists,2.5,-135,under,0.609339266998278,0.3035084349850119,0.574468085106383
Ivica Zubac,Clippers,rebounds,12.5,-130,under,0.5874004452293355,0.19623470779796826,0.5652173913043479
Naji Marshall,Mavericks,assists,2.5,-130,under,0.5828247925897778,0.1557577806018804,0.5652173913043479
Norman Powell,Clippers,points,22.5,-110,over,0.5646188913223442,0.38954396262237667,0.5238095238095238
