,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
8,Jalen Green,Rockets,points,19.5,-115,under,0.7253898729298441,1.7808183773876736,0.5348837209302326,1,0.260638528398237,0.1643556609092897,Jalen Green_points_under
28,Julius Randle,Timberwolves,points,18.5,-135,over,0.6516303516149266,0.6715975047965825,0.574468085106383,1,0.260638528398237,0.1643556609092897,Julius Randle_points_over
66,Fred VanVleet,Rockets,points,16.5,-115,over,0.5513988069073745,0.15438015152545725,0.5348837209302326,1,0.260638528398237,0.1643556609092897,Fred VanVleet_points_over
4,Keegan Murray,Kings,points,13.5,-125,under,0.7687983490981454,1.9191851418833084,0.5555555555555556,2,0.28534477440717915,0.1580849141824752,Keegan Murray_points_under
18,Mike Conley,Timberwolves,points,10.5,-125,under,0.6739403994759533,1.0654635952835796,0.5555555555555556,2,0.28534477440717915,0.1580849141824752,Mike Conley_points_under
67,James Harden,Clippers,points,22.5,-105,under,0.5507265203587255,0.376139841597082,0.5121951219512195,2,0.28534477440717915,0.1580849141824752,James Harden_points_under
37,Malik Monk,Kings,points,17.5,-120,under,0.6215867874725398,0.6978788851649491,0.5454545454545454,3,0.19651035920979065,0.1356998869167609,Malik Monk_points_under
57,Norman Powell,Clippers,fg3m,3.5,115,over,0.566529879633291,1.090196206057879,0.46511627906976744,3,0.19651035920979065,0.1356998869167609,Norman Powell_fg3m_over
63,Alperen Sengun,Rockets,rebounds,10.5,-115,under,0.5580342497630784,0.21640711735051488,0.5348837209302326,3,0.19651035920979065,0.1356998869167609,Alperen Sengun_rebounds_under
9,Draymond Green,Warriors,rebounds,5.5,-155,over,0.724102547273447,0.9563274049912571,0.607843137254902,4,0.22561758088348943,0.1806252216648934,Draymond Green_rebounds_over
62,Derrick Jones Jr.,Clippers,rebounds,3.5,-125,under,0.5583570552828954,0.025213497546058505,0.5555555555555556,4,0.22561758088348943,0.1806252216648934,Derrick Jones Jr._rebounds_under
