,PROP_TAG,THRESH,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,HOUSE_PROB,EV
21,Al Horfordfg3mover,1.5,1,0.1746923189735421,0.06437703835610957,0.7326151184283981,0.6226415094339623,0.8831214055613783
26,Derrick Whitepointsover,15.5,1,0.1746923189735421,0.06437703835610957,0.713347112506028,0.5652173913043479,1.3103783029379399
27,Guerschon Yabuseleassistsunder,2.5,1,0.1746923189735421,0.06437703835610957,0.712710579278121,0.6428571428571428,0.5433045054964964
32,Pascal Siakamreboundsunder,7.5,1,0.1746923189735421,0.06437703835610957,0.6969558286607132,0.5555555555555556,1.2726024579464184
37,Terance Mannreboundsover,2.5,1,0.1746923189735421,0.06437703835610957,0.6729434430265723,0.5121951219512195,1.569209800973682
8,Kyle Kuzmafg3munder,2.5,2,0.2143566883893011,0.05222437137330754,0.8004341648720293,0.6000000000000001,1.6702847072669105
9,Jared McCainreboundsunder,3.5,2,0.2143566883893011,0.05222437137330754,0.7925363299535327,0.47619047619047616,3.3216314645120937
23,Tyrese Haliburtonassistsunder,10.5,2,0.2143566883893011,0.05222437137330754,0.7294233670956503,0.5833333333333333,1.2522002893912882
33,Anthony Edwardsassistsunder,4.5,2,0.2143566883893011,0.05222437137330754,0.6936458648368751,0.5454545454545454,1.3584204276713558
38,Jarace Walkerreboundsunder,4.5,2,0.2143566883893011,0.05222437137330754,0.6678436005308537,0.574468085106383,0.8127128194352078
6,Terance Mannassistsover,0.5,3,0.22173486628443914,0.09030412640539988,0.8233055542434032,0.6774193548387096,1.076779090844167
10,Tyrese Haliburtonpointsunder,18.5,3,0.22173486628443914,0.09030412640539988,0.779881098973711,0.5348837209302326,2.290192881710777
21,Al Horfordfg3mover,1.5,3,0.22173486628443914,0.09030412640539988,0.7326151184283981,0.6226415094339623,0.8831214055613783
27,Guerschon Yabuseleassistsunder,2.5,3,0.22173486628443914,0.09030412640539988,0.712710579278121,0.6428571428571428,0.5433045054964964
39,Al Horfordassistsover,1.5,3,0.22173486628443914,0.09030412640539988,0.6613867132023423,0.6226415094339623,0.3111357272309303
6,Terance Mannassistsover,0.5,4,0.25043662695582175,0.10692457320023299,0.8233055542434032,0.6774193548387096,1.076779090844167
11,Tyrese Haliburtonreboundsunder,4.5,4,0.25043662695582175,0.10692457320023299,0.7686436081762501,0.6296296296296295,1.103934535517281
15,Caleb Martinfg3munder,1.5,4,0.25043662695582175,0.10692457320023299,0.76026539367929,0.7222222222222222,0.26337580239508473
