,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Bam Adebayo_assists_over,4.5,,1.0,,,,,,,,,,,,
1,Bam Adebayo_fg3m_over,0.5,,,,,,1.0,,,,,,,,
2,Bam Adebayo_points_over,16.5,,,,,,,,,,,1.0,,,
3,Caris LeVert_fg3m_over,1.5,,,,,,,,,1.0,,,,,
4,Cason Wallace_assists_over,1.5,,,,,,,,,,,,,1.0,
5,Cason Wallace_rebounds_over,2.5,,,,,1.0,,,,,,,,,
6,Darius Garland_assists_over,6.5,,,,,,,,,,,,,,1.0
7,Donovan Mitchell_fg3m_over,3.5,,,,1.0,,,,,,,,,,
8,Donovan Mitchell_rebounds_over,4.5,,,,,1.0,,,,,,1.0,,,
9,Duncan Robinson_assists_over,1.5,1.0,,,,,1.0,,,,,,,,
10,Duncan Robinson_points_over,9.5,,,,1.0,,,1.0,,,,,,1.0,
11,Giannis Antetokounmpo_points_over,31.5,,,,,,,1.0,,,,,,,
12,Haywood Highsmith_fg3m_over,1.5,,,,,,,,,,1.0,,,,
13,Isaiah Hartenstein_assists_over,3.5,1.0,,,,,,,,,,,,,
14,Isaiah Hartenstein_points_under,11.5,,,,,,,1.0,,,,,,,
15,Isaiah Hartenstein_rebounds_under,11.5,,,,,,,,,,,,,,1.0
16,Isaiah Joe_assists_over,0.5,,,,,,,,,,,,1.0,,
17,Isaiah Joe_fg3m_over,1.5,,,,,,,,,,,,,,1.0
18,Isaiah Joe_points_over,6.5,,,,,,,1.0,,,,1.0,,,
19,Jaime Jaquez Jr._rebounds_over,2.5,,1.0,1.0,,,,,,,1.0,,1.0,,
20,Jalen Williams_assists_over,4.5,,,,,,,,,,,,,,1.0
21,Jalen Williams_points_over,21.5,,,,,1.0,,1.0,,,,,,,
22,Jalen Williams_rebounds_over,5.5,,,1.0,,,,,1.0,,,,,,
23,Jarrett Allen_assists_over,1.5,,,,1.0,1.0,1.0,,,,,,,,
24,Jarrett Allen_points_over,12.5,,,,,,,,,,,,,1.0,
25,Jarrett Allen_rebounds_under,10.5,,1.0,1.0,,,,,,,,,,,
26,Jimmy Butler_fg3m_under,0.5,,,,1.0,,,,1.0,,,,,,
27,Jimmy Butler_points_over,17.5,,,1.0,,,,,,,,,1.0,,
28,Jimmy Butler_rebounds_under,5.5,,1.0,,,,,,,,,,1.0,,
29,Josh Green_assists_under,1.5,,,,,,,,,1.0,,,,,
30,Josh Green_fg3m_under,1.5,,,,,1.0,,,,,,1.0,,,
31,Josh Green_points_under,9.5,,,,,,,,,,1.0,,,,
32,Kelly Oubre Jr._fg3m_under,1.5,,,,,,,,1.0,1.0,,,,,
33,Kelly Oubre Jr._points_under,12.5,,,,1.0,,,,,,,,,,
34,Luguentz Dort_fg3m_over,1.5,,,,,,,,1.0,,,,,,
35,Miles Bridges_points_under,22.5,,,,,,,,,1.0,,,,1.0,
36,Miles Bridges_rebounds_under,6.5,1.0,,,,,,,,,,,,,
37,Paul George_points_under,19.5,1.0,1.0,,,,,,,1.0,,,,,
38,Paul George_rebounds_over,5.5,,,,,,1.0,,,,,,,,
39,Shai Gilgeous-Alexander_assists_over,5.5,,,,,,,,,,1.0,,,,
40,Taurean Prince_fg3m_over,1.5,,,,,,1.0,,,,,,,,
41,Taurean Prince_rebounds_over,2.5,1.0,,,,,,,,,,,,,
42,Terry Rozier_assists_over,2.5,,,,,,,,,,1.0,,,,
43,Terry Rozier_rebounds_over,3.5,,,1.0,,,,,,,,,,,
44,Tyler Herro_assists_over,3.5,,,,,,,,,,,,1.0,,
45,Tyler Herro_points_over,21.5,,,,,,,,1.0,,,,,,
46,Tyler Herro_rebounds_over,4.5,,,,,,,,,,,,,,1.0
47,Tyrese Maxey_points_over,25.5,,,,,,,,,,,1.0,,1.0,
