,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
108,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,36,0.07105101632937615,0.017048451971832097,3.167593424128392,58.65635200499299
109,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,36,0.07105101632937615,0.017048451971832097,3.167593424128392,58.65635200499299
110,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,36,0.07105101632937615,0.017048451971832097,3.167593424128392,58.65635200499299
111,Derrick White,Celtics,rebounds,3.5,-170,over,0.6807710116020809,0.4061227391929956,0.6296296296296295,36,0.07105101632937615,0.017048451971832097,3.167593424128392,58.65635200499299
112,Obi Toppin,Pacers,fgm,3.5,130,over,0.6335357424203472,2.285661037833992,0.4347826086956522,36,0.07105101632937615,0.017048451971832097,3.167593424128392,58.65635200499299
113,Myles Turner,Pacers,points,15.5,-125,over,0.6285463439246328,0.6569170953216954,0.5555555555555556,36,0.07105101632937615,0.017048451971832097,3.167593424128392,58.65635200499299
114,Jaylen Brown,Celtics,rebounds,6.5,-130,under,0.5998781413635349,0.3066143274466553,0.5652173913043479,36,0.07105101632937615,0.017048451971832097,3.167593424128392,58.65635200499299
1648,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,536,0.14296084823228036,0.04147051263400116,2.447289149617807,24.113519136489103
1650,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,536,0.14296084823228036,0.04147051263400116,2.447289149617807,24.113519136489103
1653,Payton Pritchard,Celtics,steals,0.5,-155,under,0.618783391806141,0.089992416469868,0.607843137254902,536,0.14296084823228036,0.04147051263400116,2.447289149617807,24.113519136489103
