,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Bam Adebayo_assists_over,4.5,,,1.0,,,,,,,,,,,
1,Bam Adebayo_fg3m_over,0.5,,1.0,1.0,,,,,,,,,,1.0,
2,Bobby Portis_assists_over,1.5,1.0,,,,,1.0,,,,,,,,
3,Bobby Portis_points_over,12.5,,1.0,,,,,,,,,,,,
4,Brook Lopez_fg3m_over,1.5,,,,,,,,,1.0,,1.0,,,
5,Brook Lopez_points_over,11.5,1.0,,,,,,,,,,,,,
6,Brook Lopez_rebounds_over,4.5,,,,,1.0,,,,,,,,,
7,Caris LeVert_fg3m_over,1.5,,,,,,,,1.0,,,,,,
8,Caris LeVert_points_over,11.5,,,,,,,,,1.0,,,,,
9,Cason Wallace_assists_over,1.5,,,,,,,,,,,,1.0,,
10,Cason Wallace_rebounds_over,2.5,,,,,,,,,,,,1.0,,
11,Darius Garland_fg3m_under,2.5,,,,1.0,1.0,,,,,1.0,,,,
12,Donovan Mitchell_rebounds_over,4.5,,,,,,,,,,,1.0,1.0,,
13,Duncan Robinson_assists_over,1.5,,,,,,,,,,1.0,,,,
14,Duncan Robinson_points_over,9.5,,,,1.0,,,,,,,,,,
15,Evan Mobley_points_over,16.5,,,,,,1.0,,,,,,,,
16,Evan Mobley_rebounds_over,8.5,,,,,,,,1.0,,,,,,
17,Giannis Antetokounmpo_points_over,31.5,,,,,,1.0,,,,,1.0,,,
18,Haywood Highsmith_assists_over,0.5,,,1.0,,,,1.0,,,,,,,
19,Isaiah Hartenstein_points_under,11.5,,,,,,,,,,,,,,1.0
20,Isaiah Joe_assists_over,0.5,,,,1.0,,,,1.0,,,,,,
21,Jaime Jaquez Jr._points_over,6.5,1.0,,,,,,,,,,,,,
22,Jaime Jaquez Jr._rebounds_over,2.5,,,,,,,1.0,,,1.0,,1.0,,
23,Jalen Williams_assists_over,4.5,,,,,,,,,,1.0,,,1.0,
24,Jalen Williams_points_over,21.5,,,,,1.0,,,,,,,,,
25,Jalen Williams_rebounds_over,5.5,,,,,,,,,,,1.0,,,
26,Jarrett Allen_points_over,12.5,,,,,,,,,,1.0,,1.0,,
27,Jimmy Butler_points_over,17.5,,,,1.0,,,1.0,,,,,,,
28,Joel Embiid_assists_over,3.5,,,,,1.0,,,1.0,,,,,,
29,Joel Embiid_points_over,26.5,,1.0,,1.0,,,,,,,1.0,,,
30,Joel Embiid_rebounds_over,8.5,,,,,1.0,,,,,,,,,
31,Kelly Oubre Jr._fg3m_under,1.5,,,,,,,1.0,,,,,,,
32,Kelly Oubre Jr._points_under,12.5,,,,,,,,1.0,,,,,,
33,Kelly Oubre Jr._rebounds_over,5.5,,,,1.0,,,,,,,,,,
34,Luguentz Dort_fg3m_over,1.5,,1.0,1.0,,,,,,,,,,,
35,Miles Bridges_fg3m_under,2.5,,,,,,1.0,,,,,,,,1.0
36,Miles Bridges_points_under,22.5,,,,,,,1.0,,,,,,,1.0
37,Paul George_points_under,19.5,,,1.0,,,,,,,,,,,
38,Shai Gilgeous-Alexander_fg3m_over,1.5,,,,,,,,,1.0,1.0,,,,1.0
39,Shai Gilgeous-Alexander_points_over,29.5,,,,,,,,,1.0,,,,,1.0
40,Taurean Prince_fg3m_over,1.5,,,,,,,,,,,,,,1.0
41,Taurean Prince_points_over,6.5,1.0,1.0,,,,,,,,,,,1.0,
42,Taurean Prince_rebounds_over,2.5,1.0,,,,,,1.0,,,,,,,
43,Terry Rozier_fg3m_under,1.5,,1.0,,,,,,,,,,,1.0,
44,Tyler Herro_assists_over,3.5,,,,,,,,,1.0,,,,1.0,
45,Tyler Herro_fg3m_over,3.5,,,1.0,,,,,,,,,,1.0,
46,Tyler Herro_points_over,21.5,,,,,,,,,,,1.0,,,
47,Tyrese Maxey_assists_under,5.5,1.0,,,,,1.0,,1.0,,,,,,
48,Tyrese Maxey_fg3m_under,3.5,,,,,,,,,1.0,,,1.0,,
49,Tyrese Maxey_points_over,25.5,,,,,1.0,,,,,,,,,
50,Tyrese Maxey_points_under,25.5,,,,,,1.0,,,,,,,,
