,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
20,Isaiah Hartenstein,Thunder,points,10.5,-135,under,0.669881086782901,0.8304464960733977,0.574468085106383,1,0.14593462244827768,0.10449723996417973,Isaiah Hartenstein_points_under
22,Trey Murphy III,Pelicans,assists,1.5,-185,over,0.6691458157147478,0.1542312832081929,0.6491228070175439,1,0.14593462244827768,0.10449723996417973,Trey Murphy III_assists_over
26,Dereck Lively II,Mavericks,rebounds,8.5,-135,under,0.6343434154496824,0.5211371344694582,0.574468085106383,1,0.14593462244827768,0.10449723996417973,Dereck Lively II_rebounds_under
56,Trey Murphy III,Pelicans,rebounds,4.5,105,under,0.5132340007957142,0.26064850815607077,0.48780487804878053,1,0.14593462244827768,0.10449723996417973,Trey Murphy III_rebounds_under
2,Luguentz Dort,Thunder,rebounds,3.5,-125,over,0.83964705410753,2.5568234869677706,0.5555555555555556,2,0.1650510717657797,0.05299875615164134,Luguentz Dort_rebounds_over
12,Daniel Gafford,Mavericks,points,11.5,-105,over,0.7138438756350164,1.968475928818017,0.5121951219512195,2,0.1650510717657797,0.05299875615164134,Daniel Gafford_points_over
40,Jamal Murray,Nuggets,assists,6.5,-105,over,0.5796443428305458,0.6584328704886611,0.5121951219512195,2,0.1650510717657797,0.05299875615164134,Jamal Murray_assists_over
60,Herbert Jones,Pelicans,fg3m,1.5,175,over,0.4750690532138959,1.5321994816910687,0.36363636363636365,2,0.1650510717657797,0.05299875615164134,Herbert Jones_fg3m_over
28,Gradey Dick,Raptors,rebounds,2.5,-145,over,0.6200962589216268,0.23874425640684716,0.5918367346938775,3,0.08308820211721704,0.0736974007026214,Gradey Dick_rebounds_over
50,Jalen Williams,Thunder,assists,4.5,-115,over,0.541788131772205,0.06454123178365512,0.5348837209302326,3,0.08308820211721704,0.0736974007026214,Jalen Williams_assists_over
52,Gradey Dick,Raptors,points,14.5,-110,over,0.5343462910559899,0.10057823280717582,0.5238095238095238,3,0.08308820211721704,0.0736974007026214,Gradey Dick_points_over
62,Alexandre Sarr,Wizards,assists,1.5,125,under,0.46283688702044234,0.20691497897997646,0.4444444444444444,3,0.08308820211721704,0.0736974007026214,Alexandre Sarr_assists_under
12,Daniel Gafford,Mavericks,points,11.5,-105,over,0.7138438756350164,1.968475928818017,0.5121951219512195,4,0.1596540811568432,0.08841463414634146,Daniel Gafford_points_over
19,Alexandre Sarr,Wizards,rebounds,5.5,-140,over,0.6730228699281167,0.7687674565267146,0.5833333333333333,4,0.1596540811568432,0.08841463414634146,Alexandre Sarr_rebounds_over
24,Isaiah Hartenstein,Thunder,assists,3.5,-145,over,0.640552227211231,0.41156191954315813,0.5918367346938775,4,0.1596540811568432,0.08841463414634146,Isaiah Hartenstein_assists_over
55,Scottie Barnes,Raptors,assists,7.5,100,over,0.5187909829079023,0.18790982907902265,0.5,4,0.1596540811568432,0.08841463414634146,Scottie Barnes_assists_over
0,Bilal Coulibaly,Wizards,points,11.5,-130,under,0.9019700777295894,2.9789660722232902,0.5652173913043479,5,0.19158115485644356,0.09619450317124736,Bilal Coulibaly_points_under
19,Alexandre Sarr,Wizards,rebounds,5.5,-140,over,0.6730228699281167,0.7687674565267146,0.5833333333333333,5,0.19158115485644356,0.09619450317124736,Alexandre Sarr_rebounds_over
