,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8,162,386,1132,1302,2137,2185,2423,3018,4420,5546,5881,6074,6375,13256,15121,20467,22653,24018,24779,25668
0,Anthony Edwards_points_under,27.5,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1,Daniel Gafford_assists_over,0.5,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2,Daniel Gafford_points_over,8.5,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
3,Dereck Lively II_blocks_under,1.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
4,Dereck Lively II_steals_under,0.5,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
5,Derrick Jones Jr._steals_under,0.5,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
6,Jaden McDaniels_fg3m_under,1.5,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,Karl-Anthony Towns_points_under,20.5,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
8,Kyle Anderson_assists_over,2.5,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,
9,Kyle Anderson_fgm_over,1.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0
10,Kyle Anderson_steals_over,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0
11,Kyrie Irving_rebounds_over,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
12,Luka Doncic_fg3m_over,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0
13,Luka Doncic_rebounds_over,8.5,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Mike Conley_points_over,10.5,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
15,Naz Reid_points_over,10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
16,Nickeil Alexander-Walker_fgm_over,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
