,PROPS,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,EV,TO_WIN
1338,Aaron Nesmith-points-over,9.5,429,2.4681518635398048,0.16400559406012905,0.04728904630281531,0.6551326000263189,1.005382166907924,21.146546149323925
1337,T.J. McConnell-assists-over,4.5,429,2.4681518635398048,0.16400559406012905,0.04728904630281531,0.6872816501433185,0.981895843839995,21.146546149323925
1336,Jrue Holiday-points-under,12.5,429,2.4681518635398048,0.16400559406012905,0.04728904630281531,0.7398962216034679,1.782382031365123,21.146546149323925
1335,Luke Kornet-points-over,3.5,429,2.4681518635398048,0.16400559406012905,0.04728904630281531,0.7770568098504246,1.1054463631104783,21.146546149323925
1339,Obi Toppin-fgm-over,3.5,429,2.4681518635398048,0.16400559406012905,0.04728904630281531,0.6335357424203472,2.285661037833992,21.146546149323925
1804,Andrew Nembhard-points-over,10.5,575,1.3303007910720468,0.11184732562870034,0.04799694788639083,0.6271170949771379,0.547574301720835,20.834658119658116
1801,T.J. McConnell-assists-over,4.5,575,1.3303007910720468,0.11184732562870034,0.04799694788639083,0.6872816501433185,0.981895843839995,20.834658119658116
1805,Payton Pritchard-fg3m-over,1.5,575,1.3303007910720468,0.11184732562870034,0.04799694788639083,0.6047127189295851,0.44241447036626624,20.834658119658116
1802,Aaron Nesmith-points-over,9.5,575,1.3303007910720468,0.11184732562870034,0.04799694788639083,0.6551326000263189,1.005382166907924,20.834658119658116
1803,Al Horford-assists-under,2.5,575,1.3303007910720468,0.11184732562870034,0.04799694788639083,0.6550340885996073,1.7140994081459748,20.834658119658116
1165,Jrue Holiday-steals-under,1.5,374,2.3920805180226066,0.19235951797108794,0.05670841742967317,0.7210475511959114,0.4540776308408674,17.6340664283243
1164,Luke Kornet-assists-over,0.5,374,2.3920805180226066,0.19235951797108794,0.05670841742967317,0.721962699546806,1.7487817566331865,17.6340664283243
1163,Payton Pritchard-assists-over,2.5,374,2.3920805180226066,0.19235951797108794,0.05670841742967317,0.8415674019597683,2.109793568280802,17.6340664283243
1166,Myles Turner-steals-under,0.5,374,2.3920805180226066,0.19235951797108794,0.05670841742967317,0.6703200460356393,1.0328804143207542,17.6340664283243
1167,Al Horford-assists-under,2.5,374,2.3920805180226066,0.19235951797108794,0.05670841742967317,0.6550340885996073,1.7140994081459748,17.6340664283243
1551,Pascal Siakam-blocks-under,0.5,497,2.103910060499676,0.1895279527841213,0.061061032404273546,0.6703200460356393,0.11560035132461532,16.377056866303693
1552,Aaron Nesmith-points-over,9.5,497,2.103910060499676,0.1895279527841213,0.061061032404273546,0.6551326000263189,1.005382166907924,16.377056866303693
1550,Jayson Tatum-rebounds-under,10.5,497,2.103910060499676,0.1895279527841213,0.061061032404273546,0.7829049644415078,1.6141971133851527,16.377056866303693
1553,Al Horford-assists-under,2.5,497,2.103910060499676,0.1895279527841213,0.061061032404273546,0.6550340885996073,1.7140994081459748,16.377056866303693
1549,Payton Pritchard-assists-over,2.5,497,2.103910060499676,0.1895279527841213,0.061061032404273546,0.8415674019597683,2.109793568280802,16.377056866303693
987,Myles Turner-fg3m-over,1.5,318,1.6778580958485252,0.16926611885483367,0.0632095177549723,0.664507801973037,0.6139452235653131,15.820402298850576
984,Luke Kornet-points-over,3.5,318,1.6778580958485252,0.16926611885483367,0.0632095177549723,0.7770568098504246,1.1054463631104783,15.820402298850576
985,Jayson Tatum-points-under,29.5,318,1.6778580958485252,0.16926611885483367,0.0632095177549723,0.7691717428514041,2.050740976137872,15.820402298850576
986,T.J. McConnell-fgm-over,4.5,318,1.6778580958485252,0.16926611885483367,0.0632095177549723,0.6872816501433185,1.872816501433185,15.820402298850576
988,Pascal Siakam-assists-over,2.5,318,1.6778580958485252,0.16926611885483367,0.0632095177549723,0.6200962589216268,0.03828210373821772,15.820402298850576
1266,Aaron Nesmith-points-over,9.5,405,0.9721976706252877,0.12587488680592246,0.06382468080190647,0.6551326000263189,1.005382166907924,15.66792011234202
1268,Andrew Nembhard-points-over,10.5,405,0.9721976706252877,0.12587488680592246,0.06382468080190647,0.6271170949771379,0.547574301720835,15.66792011234202
1265,Derrick White-rebounds-over,3.5,405,0.9721976706252877,0.12587488680592246,0.06382468080190647,0.6807710116020809,0.4061227391929956,15.66792011234202
1264,Al Horford-rebounds-under,7.5,405,0.9721976706252877,0.12587488680592246,0.06382468080190647,0.7160162577921948,1.0491028675547494,15.66792011234202
1267,Myles Turner-points-over,15.5,405,0.9721976706252877,0.12587488680592246,0.06382468080190647,0.6285463439246328,0.6569170953216954,15.66792011234202
1532,Obi Toppin-fgm-over,3.5,491,2.5205177931254297,0.23297054785288346,0.06617508035545473,0.6335357424203472,2.285661037833992,15.111428571428569
1531,Jayson Tatum-fgm-under,9.5,491,2.5205177931254297,0.23297054785288346,0.06617508035545473,0.6555694814779521,1.3996068429990558,15.111428571428569
1530,Myles Turner-steals-under,0.5,491,2.5205177931254297,0.23297054785288346,0.06617508035545473,0.6703200460356393,1.0328804143207542,15.111428571428569
1529,Payton Pritchard-points-over,9.5,491,2.5205177931254297,0.23297054785288346,0.06617508035545473,0.8368140518122709,2.822392223462532,15.111428571428569
57,Al Horford-assists-under,2.5,17,2.1088122542881225,0.21284981702738207,0.06846660384003211,0.6550340885996073,1.7140994081459748,14.605660919540227
56,Aaron Nesmith-points-over,9.5,17,2.1088122542881225,0.21284981702738207,0.06846660384003211,0.6551326000263189,1.005382166907924,14.605660919540227
