,PROP_TAG,THRESH,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,HOUSE_PROB,EV
39,Javonte Green_assists_over,0.5,1,0.10475818073705859,0.0703082747431044,0.6321205588285576,0.5348837209302326,0.9089530499191247
53,Cason Wallace_points_under,7.5,1,0.10475818073705859,0.0703082747431044,0.5689412388821522,0.5652173913043479,0.032941728572884355
55,CJ McCollum_assists_under,3.5,1,0.10475818073705859,0.0703082747431044,0.5583570552828954,0.46511627906976744,1.0023383442911253
63,Jalen Williams_rebounds_over,5.5,1,0.10475818073705859,0.0703082747431044,0.5216853128418241,0.5,0.2168531284182409
2,Jakob Poeltl_points_over,13.5,2,0.20412697994065462,0.07912710311510912,0.8811394831355042,0.5652173913043479,2.794695427737152
25,Jalen Williams_fg3m_under,2.5,2,0.20412697994065462,0.07912710311510912,0.6766764161830634,0.6551724137931035,0.1641094919233781
45,Herbert Jones_rebounds_over,3.5,2,0.20412697994065462,0.07912710311510912,0.6045966303976438,0.5555555555555556,0.441369673578794
54,Isaiah Joe_assists_over,1.5,2,0.20412697994065462,0.07912710311510912,0.5662510042543581,0.3846153846153846,2.361263055306656
3,Russell Westbrook_rebounds_under,5.5,3,0.21808163798982366,0.08973203793989251,0.8441185338473761,0.607843137254902,1.9435556816477706
22,Julian Strawther_assists_under,1.5,3,0.21808163798982366,0.08973203793989251,0.6990292757659671,0.47619047619047616,2.339807395542654
41,Dejounte Murray_rebounds_under,6.5,3,0.21808163798982366,0.08973203793989251,0.6223605983423859,0.5918367346938775,0.2578740204787775
49,Shai Gilgeous-Alexander_points_over,30.5,3,0.21808163798982366,0.08973203793989251,0.5938519818922445,0.5238095238095238,0.6685870998805163
19,Daniel Gafford_points_over,11.5,4,0.13267324980845274,0.0646711012564671,0.7138438756350164,0.5121951219512195,1.968475928818017
42,Gradey Dick_rebounds_over,2.5,4,0.13267324980845274,0.0646711012564671,0.6200962589216268,0.5555555555555556,0.5808663302946411
58,Christian Braun_fg3m_under,0.5,4,0.13267324980845274,0.0646711012564671,0.5488116360940265,0.4166666666666667,1.585739633128318
59,Brandon Ingram_rebounds_under,5.5,4,0.13267324980845274,0.0646711012564671,0.5461321043581993,0.5454545454545454,0.006210956616827357
13,RJ Barrett_points_over,22.5,5,0.18900293038187962,0.0763357844337175,0.7358488706030892,0.5121951219512195,2.1832865939825377
18,Javonte Green_rebounds_over,2.5,5,0.18900293038187962,0.0763357844337175,0.7145668868999318,0.6226415094339623,0.7381886372267243
32,Dejounte Murray_points_under,18.5,5,0.18900293038187962,0.0763357844337175,0.6549583934819012,0.574468085106383,0.700563795120251
58,Christian Braun_fg3m_under,0.5,5,0.18900293038187962,0.0763357844337175,0.5488116360940265,0.4166666666666667,1.585739633128318
8,Cason Wallace_assists_over,1.5,6,0.1836367729660101,0.103020052557479,0.7854094417800117,0.6551724137931035,0.9939141609527202
