,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Bilal Coulibaly_points_under,11.5,,,,,,,,,,,,1.0,,,
1,Brandon Ingram_rebounds_under,5.5,,,,1.0,,,,,,,,,,,
2,CJ McCollum_assists_under,3.5,1.0,,,,,,,,,,,1.0,,,1.0
3,CJ McCollum_points_over,18.5,,,,,,,,,1.0,,,,,,
4,Cason Wallace_assists_over,1.5,,,,,,1.0,,,,,1.0,,,,
5,Cason Wallace_points_under,7.5,1.0,,,,,,,,,1.0,,,,,
6,Christian Braun_fg3m_under,0.5,,,,1.0,1.0,,,,,,,,,,
7,Daniel Gafford_points_over,11.5,,,,1.0,,,,,,,,,,,
8,Davion Mitchell_rebounds_under,1.5,,,,,,,,,,1.0,,,,,
9,Dejounte Murray_points_under,18.5,,,,,1.0,,1.0,,,,,,,,
10,Dejounte Murray_rebounds_under,6.5,,,1.0,,,,,,,,,,,,
11,Dereck Lively II_rebounds_under,8.5,,,,,,,,,,,,1.0,,,
12,Gradey Dick_rebounds_over,2.5,,,,1.0,,,,,,,,,1.0,,
13,Herbert Jones_rebounds_over,3.5,,1.0,,,,,,,,,1.0,,,,
14,Isaiah Joe_assists_over,1.5,,1.0,,,,,,,,,,,1.0,,
15,Isaiah Joe_rebounds_under,2.5,,,,,,,,1.0,1.0,,,,,,
16,Jakob Poeltl_assists_under,2.5,,,,,,1.0,,,,,,,,,
17,Jakob Poeltl_points_over,13.5,,1.0,,,,,,,,,,,,,
18,Jakob Poeltl_rebounds_over,10.5,,,,,,,,1.0,,,,,,,
19,Jalen Williams_fg3m_under,2.5,,1.0,,,,,,,,,,,,,
20,Jalen Williams_points_over,21.5,,,,,,,,,,,1.0,,,,1.0
21,Jalen Williams_rebounds_over,5.5,1.0,,,,,,,,,,,,,,
22,Javonte Green_assists_over,0.5,1.0,,,,,,1.0,,,,,,,,
23,Javonte Green_fg3m_over,0.5,,,,,,,,,,,,,1.0,,
24,Javonte Green_rebounds_over,2.5,,,,,1.0,,,,,,,,,,
25,Jordan Poole_points_under,23.5,,,,,,,1.0,,,,,,,,
26,Julian Strawther_assists_under,1.5,,,1.0,,,,,,1.0,,,,,,
27,Julian Strawther_fg3m_under,1.5,,,,,,,,,,,,,,1.0,
28,Julian Strawther_points_under,9.5,,,,,,,,,,,,,,1.0,
29,Klay Thompson_fg3m_under,2.5,,,,,,1.0,,,,,,,,,
30,Kyrie Irving_assists_over,5.5,,,,,,,1.0,,,,,,,,
31,Kyrie Irving_points_under,24.5,,,,,,,,1.0,1.0,,,1.0,,,
32,Luguentz Dort_rebounds_over,3.5,,,,,,,,,,,,,,,1.0
33,RJ Barrett_assists_over,4.5,,,,,,,,,,,1.0,,,,
34,RJ Barrett_points_over,22.5,,,,,1.0,,,,,,,,,,
35,RJ Barrett_rebounds_over,6.5,,,,,,1.0,,,,,,,,,1.0
36,Russell Westbrook_assists_under,8.5,,,,,,,,,,,,,,1.0,
37,Russell Westbrook_rebounds_under,5.5,,,1.0,,,,,,,,,,,,
38,Scottie Barnes_assists_over,7.5,,,,,,,,1.0,,,,,1.0,,
39,Scottie Barnes_rebounds_over,7.5,,,,,,,,,,1.0,,,,,
40,Shai Gilgeous-Alexander_assists_over,5.5,,,,,,,,,,,,,,1.0,
41,Shai Gilgeous-Alexander_points_over,30.5,,,1.0,,,,,,,,,,,,
42,Trey Murphy III_points_over,14.5,,,,,,,,,,1.0,,,,,
