,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_fg3m_under,0.5,,,,,,,,,,1.0,,,,
1,Anthony Edwards_rebounds_over,4.5,,1.0,,,,,,1.0,,,,,,
2,Brandin Podziemski_fg3m_under,1.5,,,,1.0,,,,,,,,,,
3,Brandin Podziemski_points_under,10.5,,1.0,,,,,,,,,,,,
4,CJ McCollum_assists_under,4.5,,,,,,,,,1.0,,,,,
5,CJ McCollum_fg3m_under,3.5,,,,,1.0,,,,,,,,,
6,Carlton Carrington_assists_under,5.5,,,,,,,,,,,,1.0,,
7,Carlton Carrington_fg3m_under,2.5,,,,,1.0,,,,,,,,,
8,Carlton Carrington_rebounds_under,5.5,,,,,,,,,,,,,,1.0
9,Chris Paul_points_over,8.5,1.0,,,,,,,,,,,,1.0,
10,De'Aaron Fox_fg3m_under,2.5,,,1.0,,,,,,,,,,,
11,DeMar DeRozan_rebounds_over,3.5,,,,,,,,,,,,,,1.0
12,Devin Vassell_rebounds_under,2.5,,,,,,1.0,,,,,,,,
13,Donte DiVincenzo_points_under,9.5,,,,,,,1.0,1.0,,,,,,
14,Draymond Green_assists_over,5.5,,,,,,,,,,1.0,,,,
15,Draymond Green_rebounds_over,5.5,,,,,,,,,,,1.0,,,
16,Fred VanVleet_points_over,16.5,,1.0,,,,,,,,,,1.0,,
17,Jabari Smith Jr._assists_under,1.5,,,,,,,,,,,1.0,,,
18,Jabari Smith Jr._rebounds_under,7.5,,,1.0,,,1.0,,,,,,,,
19,Jake LaRavia_points_under,10.5,,,,,,,,,,,,,1.0,
20,Jalen Green_fg3m_under,2.5,,,,1.0,,,,,1.0,,,,,
21,Jaylen Wells_points_under,13.5,,,,,,,1.0,,,1.0,,,,
22,Jonathan Kuminga_points_under,17.5,,,,1.0,,,,1.0,,,,,,
23,Jordan Poole_rebounds_under,3.5,,,,,,,,,1.0,,,,,
24,Julian Champagnie_points_over,11.5,,,,,,,1.0,,,,,,,
25,Kevin Huerter_assists_under,2.5,,,,,,,,,,,,1.0,,
26,Kevin Huerter_rebounds_under,3.5,,1.0,,,,,,,,,,,,
27,Marcus Smart_fg3m_under,2.5,,,,1.0,,1.0,1.0,,,,,,,
28,Marcus Smart_points_under,13.5,1.0,,1.0,,,,,,,,,,,
29,Mike Conley_fg3m_under,2.5,,,,,1.0,,,,,,,,,
30,Naz Reid_fg3m_under,1.5,1.0,,,,,,,,,,,,,
31,Naz Reid_points_under,11.5,,,,,,,,,,,1.0,,,
32,Nickeil Alexander-Walker_points_over,7.5,,,,,,,,,,,1.0,,,
33,Norman Powell_assists_over,1.5,,,,,,,,,,,,,1.0,
34,Santi Aldama_assists_under,3.5,,,,,,,,1.0,,,,,,1.0
35,Santi Aldama_points_over,12.5,,,,,,,,,,,,1.0,,
36,Scotty Pippen Jr._assists_under,7.5,,,1.0,,,1.0,,,,,,,,1.0
37,Scotty Pippen Jr._fg3m_under,1.5,1.0,,,,,,,,,,,,,
38,Scotty Pippen Jr._points_under,15.5,,,,,,,,,,,,,1.0,
39,Stephon Castle_rebounds_under,3.5,,,,,1.0,,,,,1.0,,,,
40,Victor Wembanyama_points_over,24.5,,,,,,,,,1.0,,,,,
