,PROP_TAG,THRESH,1,2,3,4,5
0,Ayo Dosunmu_points_over,12.5,,,,,1.0
1,Ayo Dosunmu_rebounds_under,3.5,,,1.0,,
2,Bennedict Mathurin_fg3m_under,1.5,,1.0,,,
3,Brandon Miller_assists_under,3.5,,,,,1.0
4,Brandon Miller_fg3m_over,3.5,,1.0,,,
5,Brook Lopez_fg3m_over,1.5,,,,,1.0
6,Caleb Martin_points_over,6.5,,1.0,,,
7,Caleb Martin_rebounds_over,2.5,,,1.0,,
8,Cameron Johnson_assists_over,2.5,,1.0,,,
9,Cameron Johnson_fg3m_over,2.5,1.0,,,,
10,Cameron Johnson_points_over,19.5,,,1.0,,
11,Coby White_fg3m_over,2.5,,,,1.0,
12,Coby White_rebounds_under,4.5,,,1.0,,
13,Damian Lillard_assists_over,6.5,,1.0,,,
14,Damian Lillard_points_over,23.5,1.0,,,,
15,Darius Garland_points_over,18.5,,,,1.0,
16,Evan Mobley_assists_over,2.5,,,,,1.0
17,Evan Mobley_points_over,17.5,1.0,,,,
18,Giannis Antetokounmpo_assists_over,5.5,,,,1.0,
19,Giannis Antetokounmpo_fg3m_under,0.5,,,,1.0,
20,Guerschon Yabusele_fg3m_over,0.5,,,,1.0,
21,Guerschon Yabusele_rebounds_over,5.5,,1.0,,,
22,Isaac Okoro_points_under,6.5,,1.0,,,
23,Jalen Smith_fg3m_under,1.5,,,,,1.0
24,Jalen Smith_points_under,9.5,,,,,1.0
25,Jalen Wilson_assists_under,1.5,,,1.0,,
26,Jalen Wilson_fg3m_over,1.5,,1.0,,,
27,Jalen Wilson_points_under,10.5,,,1.0,,
28,Jalen Wilson_rebounds_under,4.5,,,1.0,,
29,Josh Green_points_under,9.5,1.0,,,,
30,Josh Green_rebounds_under,3.5,1.0,,,,
31,Myles Turner_assists_over,1.5,,,,,1.0
32,Myles Turner_rebounds_under,8.5,,,,1.0,
33,Nic Claxton_rebounds_under,8.5,,,,,1.0
34,Pascal Siakam_points_over,18.5,1.0,,,,
35,Pascal Siakam_rebounds_under,7.5,,,,1.0,
36,Paul George_assists_over,4.5,,,,,1.0
37,Paul George_points_under,20.5,,,1.0,,
38,Taurean Prince_points_over,7.5,,,,1.0,
39,Taurean Prince_rebounds_under,3.5,,,1.0,,
40,Tyrese Haliburton_rebounds_under,3.5,,1.0,,,
41,Tyrese Maxey_rebounds_under,4.5,,,,1.0,
42,Zach LaVine_assists_over,2.5,1.0,,,,
43,Zach LaVine_points_under,25.5,1.0,,,,
44,Zach LaVine_rebounds_over,2.5,1.0,,,,
