,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
834,Payton Pritchard,Celtics,steals,0.5,-155,under,0.618783391806141,0.089992416469868,0.607843137254902,268,0.12841304960483615,0.04607061279585851,1.7873093456308395,21.70581069609507
833,Obi Toppin,Pacers,fgm,3.5,130,over,0.6335357424203472,2.285661037833992,0.4347826086956522,268,0.12841304960483615,0.04607061279585851,1.7873093456308395,21.70581069609507
832,Al Horford,Celtics,assists,2.5,105,under,0.6550340885996073,1.7140994081459748,0.48780487804878053,268,0.12841304960483615,0.04607061279585851,1.7873093456308395,21.70581069609507
831,Pascal Siakam,Pacers,blocks,0.5,-190,under,0.6703200460356393,0.11560035132461532,0.6551724137931035,268,0.12841304960483615,0.04607061279585851,1.7873093456308395,21.70581069609507
830,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,268,0.12841304960483615,0.04607061279585851,1.7873093456308395,21.70581069609507
509,Aaron Nesmith,Pacers,points,9.5,-120,over,0.6551326000263189,1.005382166907924,0.5454545454545454,165,0.1079360664458257,0.04722405017485474,1.2856164612347913,21.175650887573962
512,Jaylen Brown,Celtics,rebounds,6.5,-130,under,0.5998781413635349,0.3066143274466553,0.5652173913043479,165,0.1079360664458257,0.04722405017485474,1.2856164612347913,21.175650887573962
511,Luke Kornet,Celtics,fgm,1.5,-130,over,0.6255013190442551,0.5332808992376412,0.5652173913043479,165,0.1079360664458257,0.04722405017485474,1.2856164612347913,21.175650887573962
510,Al Horford,Celtics,assists,2.5,105,under,0.6550340885996073,1.7140994081459748,0.48780487804878053,165,0.1079360664458257,0.04722405017485474,1.2856164612347913,21.175650887573962
508,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.0328804143207542,0.5555555555555556,165,0.1079360664458257,0.04722405017485474,1.2856164612347913,21.175650887573962
679,Jaylen Brown,Celtics,rebounds,6.5,-130,under,0.5998781413635349,0.3066143274466553,0.5652173913043479,218,0.1557303458567655,0.051781720133590725,2.007438637708436,19.31183431952663
677,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.0328804143207542,0.5555555555555556,218,0.1557303458567655,0.051781720133590725,2.007438637708436,19.31183431952663
676,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,218,0.1557303458567655,0.051781720133590725,2.007438637708436,19.31183431952663
675,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,218,0.1557303458567655,0.051781720133590725,2.007438637708436,19.31183431952663
678,Luke Kornet,Celtics,fgm,1.5,-130,over,0.6255013190442551,0.5332808992376412,0.5652173913043479,218,0.1557303458567655,0.051781720133590725,2.007438637708436,19.31183431952663
1400,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,450,0.17265229751464609,0.052300877933357866,2.3011357425900343,19.120137931034478
1403,Al Horford,Celtics,assists,2.5,105,under,0.6550340885996073,1.7140994081459748,0.48780487804878053,450,0.17265229751464609,0.052300877933357866,2.3011357425900343,19.120137931034478
1401,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,450,0.17265229751464609,0.052300877933357866,2.3011357425900343,19.120137931034478
1402,Jrue Holiday,Celtics,rebounds,5.5,-140,under,0.6719128086015262,0.7592526451559403,0.5833333333333333,450,0.17265229751464609,0.052300877933357866,2.3011357425900343,19.120137931034478
1404,Obi Toppin,Pacers,fgm,3.5,130,over,0.6335357424203472,2.285661037833992,0.4347826086956522,450,0.17265229751464609,0.052300877933357866,2.3011357425900343,19.120137931034478
130,Andrew Nembhard,Pacers,points,10.5,-130,over,0.6271170949771379,0.547574301720835,0.5652173913043479,42,0.16874207373470343,0.054978322124411304,2.0692474272469488,18.188987247320576
129,Al Horford,Celtics,assists,2.5,105,under,0.6550340885996073,1.7140994081459748,0.48780487804878053,42,0.16874207373470343,0.054978322124411304,2.0692474272469488,18.188987247320576
128,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,42,0.16874207373470343,0.054978322124411304,2.0692474272469488,18.188987247320576
127,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,42,0.16874207373470343,0.054978322124411304,2.0692474272469488,18.188987247320576
126,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,42,0.16874207373470343,0.054978322124411304,2.0692474272469488,18.188987247320576
1472,Al Horford,Celtics,assists,2.5,105,under,0.6550340885996073,1.7140994081459748,0.48780487804878053,473,0.21188477617849527,0.056810542184498936,2.729673543518992,17.602366771159872
1473,Obi Toppin,Pacers,fgm,3.5,130,over,0.6335357424203472,2.285661037833992,0.4347826086956522,473,0.21188477617849527,0.056810542184498936,2.729673543518992,17.602366771159872
1469,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,473,0.21188477617849527,0.056810542184498936,2.729673543518992,17.602366771159872
1470,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,473,0.21188477617849527,0.056810542184498936,2.729673543518992,17.602366771159872
1471,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,473,0.21188477617849527,0.056810542184498936,2.729673543518992,17.602366771159872
670,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,217,0.16872878521519044,0.06103703567976883,1.7643672949719749,16.383495509947537
671,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,217,0.16872878521519044,0.06103703567976883,1.7643672949719749,16.383495509947537
674,Luke Kornet,Celtics,fgm,1.5,-130,over,0.6255013190442551,0.5332808992376412,0.5652173913043479,217,0.16872878521519044,0.06103703567976883,1.7643672949719749,16.383495509947537
673,Andrew Nembhard,Pacers,points,10.5,-130,over,0.6271170949771379,0.547574301720835,0.5652173913043479,217,0.16872878521519044,0.06103703567976883,1.7643672949719749,16.383495509947537
672,Myles Turner,Pacers,fg3m,1.5,-145,over,0.664507801973037,0.6139452235653131,0.5918367346938775,217,0.16872878521519044,0.06103703567976883,1.7643672949719749,16.383495509947537
449,Myles Turner,Pacers,points,15.5,-125,over,0.6285463439246328,0.6569170953216954,0.5555555555555556,145,0.21234263565223124,0.06104536759927882,2.478439789995464,16.381259370314844
448,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,145,0.21234263565223124,0.06104536759927882,2.478439789995464,16.381259370314844
445,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,145,0.21234263565223124,0.06104536759927882,2.478439789995464,16.381259370314844
446,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,145,0.21234263565223124,0.06104536759927882,2.478439789995464,16.381259370314844
447,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,145,0.21234263565223124,0.06104536759927882,2.478439789995464,16.381259370314844
1726,Obi Toppin,Pacers,fgm,3.5,130,over,0.6335357424203472,2.285661037833992,0.4347826086956522,555,0.17495477720222682,0.06312331068320419,1.7716349999490548,15.842008113590266
1722,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,555,0.17495477720222682,0.06312331068320419,1.7716349999490548,15.842008113590266
1723,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,555,0.17495477720222682,0.06312331068320419,1.7716349999490548,15.842008113590266
1724,Derrick White,Celtics,rebounds,3.5,-170,over,0.6807710116020809,0.4061227391929956,0.6296296296296295,555,0.17495477720222682,0.06312331068320419,1.7716349999490548,15.842008113590266
1725,Aaron Nesmith,Pacers,points,9.5,-120,over,0.6551326000263189,1.005382166907924,0.5454545454545454,555,0.17495477720222682,0.06312331068320419,1.7716349999490548,15.842008113590266
1123,Al Horford,Celtics,assists,2.5,105,under,0.6550340885996073,1.7140994081459748,0.48780487804878053,359,0.18078143753528653,0.064291810922957,1.8118890250567512,15.55408045977011
1121,Myles Turner,Pacers,fg3m,1.5,-145,over,0.664507801973037,0.6139452235653131,0.5918367346938775,359,0.18078143753528653,0.064291810922957,1.8118890250567512,15.55408045977011
1124,Obi Toppin,Pacers,fgm,3.5,130,over,0.6335357424203472,2.285661037833992,0.4347826086956522,359,0.18078143753528653,0.064291810922957,1.8118890250567512,15.55408045977011
1122,Jayson Tatum,Celtics,fgm,9.5,-105,under,0.6555694814779521,1.3996068429990558,0.5121951219512195,359,0.18078143753528653,0.064291810922957,1.8118890250567512,15.55408045977011
1829,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,589,0.16706270319380562,0.06516553544060198,1.5636665464996038,15.345534924845271
1830,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,589,0.16706270319380562,0.06516553544060198,1.5636665464996038,15.345534924845271
1832,Jaylen Brown,Celtics,rebounds,6.5,-130,under,0.5998781413635349,0.3066143274466553,0.5652173913043479,589,0.16706270319380562,0.06516553544060198,1.5636665464996038,15.345534924845271
1828,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,589,0.16706270319380562,0.06516553544060198,1.5636665464996038,15.345534924845271
1831,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,589,0.16706270319380562,0.06516553544060198,1.5636665464996038,15.345534924845271
1313,Andrew Nembhard,Pacers,points,10.5,-130,over,0.6271170949771379,0.547574301720835,0.5652173913043479,420,0.19702001076347797,0.06670329082237249,1.953677522269964,14.99176408946524
1311,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,420,0.19702001076347797,0.06670329082237249,1.953677522269964,14.99176408946524
1312,Aaron Nesmith,Pacers,points,9.5,-120,over,0.6551326000263189,1.005382166907924,0.5454545454545454,420,0.19702001076347797,0.06670329082237249,1.953677522269964,14.99176408946524
1309,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,420,0.19702001076347797,0.06670329082237249,1.953677522269964,14.99176408946524
1310,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,420,0.19702001076347797,0.06670329082237249,1.953677522269964,14.99176408946524
552,Payton Pritchard,Celtics,fg3m,1.5,-125,over,0.6047127189295851,0.44241447036626624,0.5555555555555556,177,0.17955586934449008,0.06678321073898745,1.6886378680752312,14.973823344737886
551,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,177,0.17955586934449008,0.06678321073898745,1.6886378680752312,14.973823344737886
550,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,177,0.17955586934449008,0.06678321073898745,1.6886378680752312,14.973823344737886
549,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,177,0.17955586934449008,0.06678321073898745,1.6886378680752312,14.973823344737886
548,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,177,0.17955586934449008,0.06678321073898745,1.6886378680752312,14.973823344737886
1463,Derrick White,Celtics,rebounds,3.5,-170,over,0.6807710116020809,0.4061227391929956,0.6296296296296295,470,0.18627805892801272,0.06820821454967796,1.7310208918068244,14.660990712074303
1465,Jayson Tatum,Celtics,fgm,9.5,-105,under,0.6555694814779521,1.3996068429990558,0.5121951219512195,470,0.18627805892801272,0.06820821454967796,1.7310208918068244,14.660990712074303
1461,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,470,0.18627805892801272,0.06820821454967796,1.7310208918068244,14.660990712074303
1464,Pascal Siakam,Pacers,blocks,0.5,-190,under,0.6703200460356393,0.11560035132461532,0.6551724137931035,470,0.18627805892801272,0.06820821454967796,1.7310208918068244,14.660990712074303
1462,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,470,0.18627805892801272,0.06820821454967796,1.7310208918068244,14.660990712074303
1709,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,551,0.21079261756031795,0.07895497927311289,1.6697824443872746,12.665445665445665
1710,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,551,0.21079261756031795,0.07895497927311289,1.6697824443872746,12.665445665445665
1711,Jayson Tatum,Celtics,fgm,9.5,-105,under,0.6555694814779521,1.3996068429990558,0.5121951219512195,551,0.21079261756031795,0.07895497927311289,1.6697824443872746,12.665445665445665
1712,Andrew Nembhard,Pacers,points,10.5,-130,over,0.6271170949771379,0.547574301720835,0.5652173913043479,551,0.21079261756031795,0.07895497927311289,1.6697824443872746,12.665445665445665
1037,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,333,0.3066364225490233,0.07906774783144334,2.8781479295794665,12.647381864623242
1038,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,333,0.3066364225490233,0.07906774783144334,2.8781479295794665,12.647381864623242
1039,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,333,0.3066364225490233,0.07906774783144334,2.8781479295794665,12.647381864623242
