,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8
0,Anthony Black_assists_over,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Brandon Ingram_points_under,23.5,,,,,,1.0,,,
2,Jaden Ivey_fg3m_over,1.5,,,1.0,,,,,,
3,Jaden Ivey_points_over,17.5,,,,,,,1.0,,
4,Jalen Johnson_points_under,19.5,,,,,1.0,,,,
5,Jalen Suggs_points_over,16.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Jordan Hawkins_assists_under,1.5,,1.0,,,,,,,1.0
7,Jose Alvarado_points_over,10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Kyrie Irving_fg3m_over,2.5,1.0,,,,,,,,1.0
9,Kyrie Irving_points_over,21.5,,,,,,,,1.0,
10,Tim Hardaway Jr._rebounds_under,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Tobias Harris_points_under,13.5,,,,1.0,,,,,
12,Tobias Harris_rebounds_over,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13,Wendell Carter Jr._points_over,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
