,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,PARLAY_ID,TO_WIN,PROP_TAG
0,Dereck Lively II,Mavericks,steals,0.5,-130,under,1.0,3.846153846153846,0.5652173913043479,19.162409995518754,0.945036358504895,0.06599247778050477,0,14.153242212333124,Dereck Lively II_steals_under
1,Derrick Jones Jr.,Mavericks,steals,0.5,135,under,1.0,6.75,0.425531914893617,19.162409995518754,0.945036358504895,0.06599247778050477,0,14.153242212333124,Derrick Jones Jr._steals_under
2,Jaden Hardy,Mavericks,fg3m,0.5,-110,under,1.0,4.545454545454546,0.5238095238095238,19.162409995518754,0.945036358504895,0.06599247778050477,0,14.153242212333124,Jaden Hardy_fg3m_under
3,Nickeil Alexander-Walker,Timberwolves,points,4.5,-110,over,0.945036358504895,4.020801603910361,0.5238095238095238,19.162409995518754,0.945036358504895,0.06599247778050477,0,14.153242212333124,Nickeil Alexander-Walker_points_over
4,Derrick Jones Jr.,Mavericks,steals,0.5,135,under,1.0,6.75,0.425531914893617,19.145362737479523,0.6953188949069512,0.0486483009279362,1,19.555702479338844,Derrick Jones Jr._steals_under
5,Jaden Hardy,Mavericks,fg3m,0.5,-110,under,1.0,4.545454545454546,0.5238095238095238,19.145362737479523,0.6953188949069512,0.0486483009279362,1,19.555702479338844,Jaden Hardy_fg3m_under
6,Nickeil Alexander-Walker,Timberwolves,points,4.5,-110,over,0.945036358504895,4.020801603910361,0.5238095238095238,19.145362737479523,0.6953188949069512,0.0486483009279362,1,19.555702479338844,Nickeil Alexander-Walker_points_over
7,Karl-Anthony Towns,Timberwolves,fg3m,1.5,140,under,0.7357588823428847,3.829106588114616,0.4166666666666667,19.145362737479523,0.6953188949069512,0.0486483009279362,1,19.555702479338844,Karl-Anthony Towns_fg3m_under
8,Dereck Lively II,Mavericks,steals,0.5,-130,under,1.0,3.846153846153846,0.5652173913043479,18.97071497972301,0.7357588823428847,0.05249401641631061,2,18.04979020979021,Dereck Lively II_steals_under
9,Derrick Jones Jr.,Mavericks,steals,0.5,135,under,1.0,6.75,0.425531914893617,18.97071497972301,0.7357588823428847,0.05249401641631061,2,18.04979020979021,Derrick Jones Jr._steals_under
10,Jaden Hardy,Mavericks,fg3m,0.5,-110,under,1.0,4.545454545454546,0.5238095238095238,18.97071497972301,0.7357588823428847,0.05249401641631061,2,18.04979020979021,Jaden Hardy_fg3m_under
11,Karl-Anthony Towns,Timberwolves,fg3m,1.5,140,under,0.7357588823428847,3.829106588114616,0.4166666666666667,18.97071497972301,0.7357588823428847,0.05249401641631061,2,18.04979020979021,Karl-Anthony Towns_fg3m_under
