,PROP_TAG,THRESH,0,1,2,3,4,5,6,7,8,9,10
0,Jose Alvarado_points_over,10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Kentavious Caldwell-Pope_assists_under,1.5,,,,,,,,,,,1.0
2,Kentavious Caldwell-Pope_points_under,9.5,,1.0,1.0,1.0,,,,1.0,,1.0,
3,Kentavious Caldwell-Pope_rebounds_under,2.5,,,,,,,,,1.0,,
4,Tim Hardaway Jr._rebounds_under,2.5,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0
5,Trae Young_rebounds_over,3.5,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0
6,Wendell Carter Jr._points_under,11.5,1.0,,1.0,1.0,,1.0,1.0,,,,
7,Zaccharie Risacher_points_under,11.5,,,,,1.0,1.0,1.0,1.0,,1.0,
