,PROPS,THRESH
839,T.J. McConnell-assists-over,4.5
840,Jrue Holiday-rebounds-under,5.5
841,Jayson Tatum-fgm-under,9.5
842,Andrew Nembhard-points-over,10.5
1483,Andrew Nembhard-points-over,10.5
1480,Payton Pritchard-assists-over,2.5
1482,Luke Kornet-assists-over,0.5
1481,Jrue Holiday-points-under,12.5
152,Jrue Holiday-rebounds-under,5.5
150,Payton Pritchard-points-over,9.5
153,Aaron Nesmith-points-over,9.5
151,T.J. McConnell-assists-over,4.5
526,T.J. McConnell-assists-over,4.5
527,Andrew Nembhard-points-over,10.5
525,Payton Pritchard-points-over,9.5
528,Luke Kornet-fgm-over,1.5
472,Al Horford-rebounds-under,7.5
471,Jayson Tatum-steals-under,1.5
470,Payton Pritchard-points-over,9.5
473,Obi Toppin-fgm-over,3.5
359,Luke Kornet-fgm-over,1.5
358,Myles Turner-points-over,15.5
357,Jrue Holiday-points-under,12.5
356,Obi Toppin-points-over,7.5
1265,Luke Kornet-assists-over,0.5
1264,Payton Pritchard-points-over,9.5
1267,Myles Turner-fg3m-over,1.5
1266,Jrue Holiday-rebounds-under,5.5
70,Obi Toppin-points-over,7.5
73,Payton Pritchard-fgm-over,3.5
72,Jayson Tatum-points-under,29.5
71,T.J. McConnell-points-over,9.5
478,Payton Pritchard-assists-over,2.5
479,Payton Pritchard-fgm-over,3.5
480,Myles Turner-steals-under,0.5
481,Luke Kornet-fgm-over,1.5
33,Andrew Nembhard-points-over,10.5
32,Myles Turner-points-over,15.5
30,T.J. McConnell-points-over,9.5
31,Myles Turner-steals-under,0.5
1157,T.J. McConnell-assists-over,4.5
1156,T.J. McConnell-fgm-over,4.5
1159,Jaylen Brown-rebounds-under,6.5
1158,Derrick White-rebounds-over,3.5
1585,Payton Pritchard-points-over,9.5
1586,Jayson Tatum-rebounds-under,10.5
1588,Andrew Nembhard-points-over,10.5
1587,T.J. McConnell-assists-over,4.5
792,Jrue Holiday-points-under,12.5
793,Jayson Tatum-steals-under,1.5
794,Al Horford-assists-under,2.5
791,Jayson Tatum-points-under,29.5
160,Payton Pritchard-points-over,9.5
162,Myles Turner-steals-under,0.5
161,Derrick White-rebounds-over,3.5
163,Myles Turner-points-over,15.5
673,Aaron Nesmith-points-over,9.5
672,Myles Turner-fg3m-over,1.5
671,Jrue Holiday-points-under,12.5
670,Jayson Tatum-rebounds-under,10.5
869,Luke Kornet-fgm-over,1.5
868,Jayson Tatum-fgm-under,9.5
867,Derrick White-rebounds-over,3.5
866,Obi Toppin-points-over,7.5
1852,Jayson Tatum-fgm-under,9.5
1854,Payton Pritchard-fg3m-over,1.5
1851,Pascal Siakam-blocks-under,0.5
