,PROPS,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,HOUSE_PROB,TO_WIN
1106,T.J. McConnell-fgm-over,4.5,345,2.3025283759903568,0.08202269324878554,0.5,40.26359346642467
1109,Payton Pritchard-fg3m-over,1.5,345,2.3025283759903568,0.08202269324878554,0.5555555555555556,40.26359346642467
1104,Jayson Tatum-points-under,29.5,345,2.3025283759903568,0.08202269324878554,0.5454545454545454,40.26359346642467
1105,Jayson Tatum-steals-under,1.5,345,2.3025283759903568,0.08202269324878554,0.7142857142857143,40.26359346642467
1107,Pascal Siakam-blocks-under,0.5,345,2.3025283759903568,0.08202269324878554,0.6551724137931035,40.26359346642467
1108,Myles Turner-fg3m-over,1.5,345,2.3025283759903568,0.08202269324878554,0.5918367346938775,40.26359346642467
1103,Jayson Tatum-rebounds-under,10.5,345,2.3025283759903568,0.08202269324878554,0.5918367346938775,40.26359346642467
1003,T.J. McConnell-assists-over,4.5,316,1.0889378316760392,0.0913319402975348,0.574468085106383,22.87193094629156
1004,Derrick White-rebounds-over,3.5,316,1.0889378316760392,0.0913319402975348,0.6296296296296295,22.87193094629156
1005,Pascal Siakam-assists-over,2.5,316,1.0889378316760392,0.0913319402975348,0.6153846153846154,22.87193094629156
1006,Payton Pritchard-fg3m-over,1.5,316,1.0889378316760392,0.0913319402975348,0.5555555555555556,22.87193094629156
1001,Luke Kornet-assists-over,0.5,316,1.0889378316760392,0.0913319402975348,0.5348837209302326,22.87193094629156
1002,Jrue Holiday-steals-under,1.5,316,1.0889378316760392,0.0913319402975348,0.6610169491525424,22.87193094629156
1534,Al Horford-assists-under,2.5,481,3.7862071387206395,0.22074956866854104,0.48780487804878053,21.681614906832298
1531,T.J. McConnell-points-over,9.5,481,3.7862071387206395,0.22074956866854104,0.5833333333333333,21.681614906832298
1533,Myles Turner-steals-under,0.5,481,3.7862071387206395,0.22074956866854104,0.5555555555555556,21.681614906832298
1532,Jrue Holiday-points-under,12.5,481,3.7862071387206395,0.22074956866854104,0.5454545454545454,21.681614906832298
1530,Payton Pritchard-points-over,9.5,481,3.7862071387206395,0.22074956866854104,0.5348837209302326,21.681614906832298
411,Payton Pritchard-points-over,9.5,127,3.743770190375466,0.21921443514781566,0.5348837209302326,21.639862298195627
410,Obi Toppin-points-over,7.5,127,3.743770190375466,0.21921443514781566,0.574468085106383,21.639862298195627
414,Andrew Nembhard-points-over,10.5,127,3.743770190375466,0.21921443514781566,0.5652173913043479,21.639862298195627
413,Al Horford-assists-under,2.5,127,3.743770190375466,0.21921443514781566,0.48780487804878053,21.639862298195627
412,Jrue Holiday-points-under,12.5,127,3.743770190375466,0.21921443514781566,0.5454545454545454,21.639862298195627
