,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alexandre Sarr_assists_over,1.5,,,,1.0,,,,,,,1.0,,,
1,Alexandre Sarr_rebounds_under,6.5,,,,1.0,,,,,1.0,,,1.0,,
2,Anthony Black_assists_under,4.5,1.0,1.0,,,,,,,,,,,,
3,Anthony Black_fg3m_under,0.5,1.0,,,,,,,,,,,1.0,,1.0
4,Bennedict Mathurin_fg3m_under,1.5,1.0,,,,,,,,,1.0,,,,
5,Bennedict Mathurin_points_under,17.5,,,,1.0,,,,1.0,,1.0,,,1.0,
6,Bilal Coulibaly_assists_over,2.5,,,,,1.0,,,1.0,,,,,,
7,CJ McCollum_assists_under,4.5,1.0,1.0,,,,,,,,,,,,
8,CJ McCollum_fg3m_under,3.5,,,,,,,,,,,,,,1.0
9,CJ McCollum_points_under,22.5,,,,,1.0,,,,,,1.0,,1.0,
10,CJ McCollum_rebounds_under,4.5,,,,,1.0,,,,,,,,,
11,Cameron Payne_assists_over,2.5,,,,,,1.0,,,,,,,,
12,Cameron Payne_points_over,5.5,,,,,,,,,1.0,,,,,
13,Dejounte Murray_points_under,20.5,,1.0,,,,,,,,,,,,
14,Derrick White_assists_over,4.5,,,,,,,,,1.0,,,,,
15,Derrick White_fg3m_over,2.5,,,1.0,,,,,,,,,,,
16,Derrick White_points_over,14.5,1.0,,1.0,,,,,1.0,,,,,,
17,Goga Bitadze_assists_under,2.5,,,1.0,,,,,,,,,,,
18,Goga Bitadze_points_under,10.5,,,,1.0,,,,,,,,,,
19,Herbert Jones_points_under,12.5,,,,,,,,,,,,1.0,,
20,Jalen Brunson_assists_over,7.5,,,,,,1.0,,,,,,,,1.0
21,Jalen Brunson_points_over,23.5,,,,,,,1.0,1.0,,1.0,1.0,,,
22,Jalen Suggs_assists_under,4.5,,,,,,,1.0,,,,,,,
23,Jalen Suggs_points_under,21.5,,,,,,1.0,,,,,,,,
24,Jalen Suggs_rebounds_under,4.5,,,,,,,1.0,,,1.0,,,,
25,Jordan Poole_fg3m_under,3.5,,,1.0,,,,,,,,,,1.0,
26,Josh Hart_points_over,11.5,,,,,1.0,,,1.0,,,,,,
27,Josh Hart_rebounds_under,8.5,,1.0,,,,,,,,,,,,
28,Jrue Holiday_assists_over,3.5,,,,,,,,,,,,1.0,,
29,Jrue Holiday_points_over,10.5,,,,,,,,,,1.0,,,1.0,
30,Karl-Anthony Towns_assists_over,2.5,,,1.0,,,1.0,,,1.0,,1.0,,,
31,Karl-Anthony Towns_points_over,23.5,,,,,,,,,1.0,1.0,,,,1.0
32,Mikal Bridges_points_over,15.5,,,,,,,,,,,,,,1.0
33,Miles McBride_points_over,8.5,,,,,,,,,,,1.0,,,
34,Moritz Wagner_rebounds_over,4.5,,1.0,,,,,,,,,,,,
35,Myles Turner_points_under,13.5,,,,1.0,,,,,,,,,,
36,OG Anunoby_rebounds_over,4.5,,,,,1.0,,1.0,,,,,1.0,,
37,Obi Toppin_points_over,10.5,,,,,,,,,,,,1.0,,
38,Obi Toppin_rebounds_under,5.5,,,,,,,,,,,,,1.0,
39,Payton Pritchard_points_over,13.5,,,,,,1.0,,,,,,,,
40,T.J. McConnell_assists_over,3.5,,,,,,,,,,,,,,1.0
41,Trey Murphy III_fg3m_under,3.5,,,,,,,,,1.0,,,,,
42,Trey Murphy III_points_under,18.5,,1.0,,,,1.0,,,,,,,,
43,Tristan da Silva_assists_under,1.5,,,,,1.0,,,,,,,,,
44,Tristan da Silva_points_under,7.5,,,,,,,1.0,,,,,,,
45,Tyrese Haliburton_fg3m_over,2.5,,,1.0,1.0,,,,,,,,,1.0,
46,Tyrese Haliburton_rebounds_under,4.5,,,,,,,,1.0,,,,,,
47,Wendell Carter Jr._fg3m_under,0.5,1.0,,,,,,,,,,,,,
48,Wendell Carter Jr._points_under,10.5,,,,,,,1.0,,,,1.0,,,
