,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
23,Anthony Black,Magic,assists,4.5,-145,under,0.6936458648368751,0.860111616725324,0.5918367346938775,1,0.06495390646954009,0.017941851720238565,Anthony Black_assists_under
41,Derrick White,Celtics,points,14.5,-110,over,0.6447700757297758,1.1546234501478605,0.5238095238095238,1,0.06495390646954009,0.017941851720238565,Derrick White_points_over
43,CJ McCollum,Pelicans,assists,4.5,-130,under,0.64185895767154,0.6779830870943919,0.5652173913043479,1,0.06495390646954009,0.017941851720238565,CJ McCollum_assists_under
51,Wendell Carter Jr.,Magic,fg3m,0.5,140,under,0.6270890852730562,2.525069023276674,0.4166666666666667,1,0.06495390646954009,0.017941851720238565,Wendell Carter Jr._fg3m_under
58,Bennedict Mathurin,Pacers,fg3m,1.5,-130,under,0.6150599889366959,0.4409152867476942,0.5652173913043479,1,0.06495390646954009,0.017941851720238565,Bennedict Mathurin_fg3m_under
69,Anthony Black,Magic,fg3m,0.5,130,under,0.5866462195100317,1.7464315243653639,0.4347826086956522,1,0.06495390646954009,0.017941851720238565,Anthony Black_fg3m_under
20,Dejounte Murray,Pelicans,points,20.5,-110,under,0.7091364613299062,1.7690298581491044,0.5238095238095238,2,0.09036667117806434,0.03254411955718566,Dejounte Murray_points_under
23,Anthony Black,Magic,assists,4.5,-145,under,0.6936458648368751,0.860111616725324,0.5918367346938775,2,0.09036667117806434,0.03254411955718566,Anthony Black_assists_under
31,Moritz Wagner,Magic,rebounds,4.5,-140,over,0.677666340939687,0.8085686366258891,0.5833333333333333,2,0.09036667117806434,0.03254411955718566,Moritz Wagner_rebounds_over
34,Trey Murphy III,Pelicans,points,18.5,-110,under,0.6610086080591858,1.3096276223831378,0.5238095238095238,2,0.09036667117806434,0.03254411955718566,Trey Murphy III_points_under
43,CJ McCollum,Pelicans,assists,4.5,-130,under,0.64185895767154,0.6779830870943919,0.5652173913043479,2,0.09036667117806434,0.03254411955718566,CJ McCollum_assists_under
44,Josh Hart,Knicks,rebounds,8.5,-155,under,0.6389664129865185,0.2560140423084578,0.607843137254902,2,0.09036667117806434,0.03254411955718566,Josh Hart_rebounds_under
21,Tyrese Haliburton,Pacers,fg3m,2.5,-185,over,0.7088825384814434,0.46031144505976695,0.6491228070175439,3,0.10049758805839831,0.043890790021533344,Tyrese Haliburton_fg3m_over
26,Jordan Poole,Wizards,fg3m,3.5,-165,under,0.69193743259148,0.5564672617194601,0.6226415094339623,3,0.10049758805839831,0.043890790021533344,Jordan Poole_fg3m_under
29,Derrick White,Celtics,fg3m,2.5,-180,over,0.6852740878194186,0.329909571928811,0.6428571428571428,3,0.10049758805839831,0.043890790021533344,Derrick White_fg3m_over
30,Karl-Anthony Towns,Knicks,assists,2.5,-170,over,0.6852740878194186,0.44188246209538296,0.6296296296296295,3,0.10049758805839831,0.043890790021533344,Karl-Anthony Towns_assists_over
32,Goga Bitadze,Magic,assists,2.5,-105,under,0.6766764161830634,1.605650729406095,0.5121951219512195,3,0.10049758805839831,0.043890790021533344,Goga Bitadze_assists_under
41,Derrick White,Celtics,points,14.5,-110,over,0.6447700757297758,1.1546234501478605,0.5238095238095238,3,0.10049758805839831,0.043890790021533344,Derrick White_points_over
21,Tyrese Haliburton,Pacers,fg3m,2.5,-185,over,0.7088825384814434,0.46031144505976695,0.6491228070175439,4,0.07133891466541074,0.029193149441122147,Tyrese Haliburton_fg3m_over
27,Myles Turner,Pacers,points,13.5,-110,under,0.6890533976001969,1.5773278861836981,0.5238095238095238,4,0.07133891466541074,0.029193149441122147,Myles Turner_points_under
35,Bennedict Mathurin,Pacers,points,17.5,-120,under,0.6593436292424941,1.043983268056197,0.5454545454545454,4,0.07133891466541074,0.029193149441122147,Bennedict Mathurin_points_under
48,Alexandre Sarr,Wizards,assists,1.5,-150,over,0.6288822690900817,0.2406855757506805,0.6000000000000001,4,0.07133891466541074,0.029193149441122147,Alexandre Sarr_assists_over
62,Alexandre Sarr,Wizards,rebounds,6.5,-105,under,0.5955958875696243,0.8141503310368088,0.5121951219512195,4,0.07133891466541074,0.029193149441122147,Alexandre Sarr_rebounds_under
68,Goga Bitadze,Magic,points,10.5,-105,under,0.5913797993875187,0.7729932797353016,0.5121951219512195,4,0.07133891466541074,0.029193149441122147,Goga Bitadze_points_under
10,Josh Hart,Knicks,points,11.5,-130,over,0.7722512211892534,1.831453110520318,0.5652173913043479,5,0.09738545920991962,0.031502833691616196,Josh Hart_points_over
12,Tristan da Silva,Magic,assists,1.5,-150,under,0.7620128254161398,1.3501068784678312,0.6000000000000001,5,0.09738545920991962,0.031502833691616196,Tristan da Silva_assists_under
33,Bilal Coulibaly,Wizards,assists,2.5,-155,over,0.6729434430265723,0.5355025152185782,0.607843137254902,5,0.09738545920991962,0.031502833691616196,Bilal Coulibaly_assists_over
46,CJ McCollum,Pelicans,points,22.5,-120,under,0.6349295367580071,0.8201874202817327,0.5454545454545454,5,0.09738545920991962,0.031502833691616196,CJ McCollum_points_under
49,CJ McCollum,Pelicans,rebounds,4.5,-110,under,0.6288369351798733,1.0025343812624268,0.5238095238095238,5,0.09738545920991962,0.031502833691616196,CJ McCollum_rebounds_under
57,OG Anunoby,Knicks,rebounds,4.5,-115,over,0.615929624153269,0.7576030083892538,0.5348837209302326,5,0.09738545920991962,0.031502833691616196,OG Anunoby_rebounds_over
5,Jalen Suggs,Magic,points,21.5,-125,under,0.8297637656829524,2.4678738911465716,0.5555555555555556,6,0.11047359066802429,0.02532412554958387,Jalen Suggs_points_under
11,Payton Pritchard,Celtics,points,13.5,-125,over,0.7715420553766958,1.9438784983902626,0.5555555555555556,6,0.11047359066802429,0.02532412554958387,Payton Pritchard_points_over
30,Karl-Anthony Towns,Knicks,assists,2.5,-170,over,0.6852740878194186,0.44188246209538296,0.6296296296296295,6,0.11047359066802429,0.02532412554958387,Karl-Anthony Towns_assists_over
34,Trey Murphy III,Pelicans,points,18.5,-110,under,0.6610086080591858,1.3096276223831378,0.5238095238095238,6,0.11047359066802429,0.02532412554958387,Trey Murphy III_points_under
42,Jalen Brunson,Knicks,assists,7.5,115,over,0.6439620721132797,1.922592275217757,0.46511627906976744,6,0.11047359066802429,0.02532412554958387,Jalen Brunson_assists_over
67,Cameron Payne,Knicks,assists,2.5,-115,over,0.5915789138277221,0.5299768031721848,0.5348837209302326,6,0.11047359066802429,0.02532412554958387,Cameron Payne_assists_over
7,Wendell Carter Jr.,Magic,points,10.5,-150,under,0.8224476284592036,1.8537302371600295,0.6000000000000001,7,0.10513424795318908,0.03275225665707007,Wendell Carter Jr._points_under
13,Jalen Suggs,Magic,rebounds,4.5,-170,under,0.7564941881415291,1.007453847006261,0.6296296296296295,7,0.10513424795318908,0.03275225665707007,Jalen Suggs_rebounds_under
16,Jalen Suggs,Magic,assists,4.5,-125,under,0.7317233537998242,1.585510184198418,0.5555555555555556,7,0.10513424795318908,0.03275225665707007,Jalen Suggs_assists_under
54,Tristan da Silva,Magic,points,7.5,-115,under,0.6185723857406449,0.7823070840973323,0.5348837209302326,7,0.10513424795318908,0.03275225665707007,Tristan da Silva_points_under
57,OG Anunoby,Knicks,rebounds,4.5,-115,over,0.615929624153269,0.7576030083892538,0.5348837209302326,7,0.10513424795318908,0.03275225665707007,OG Anunoby_rebounds_over
60,Jalen Brunson,Knicks,points,23.5,-120,over,0.6061244829117161,0.5561410933573978,0.5454545454545454,7,0.10513424795318908,0.03275225665707007,Jalen Brunson_points_over
4,Tyrese Haliburton,Pacers,rebounds,4.5,-160,under,0.8371476972527798,1.8018250401788363,0.6153846153846154,8,0.11210313830700709,0.032949148038662106,Tyrese Haliburton_rebounds_under
10,Josh Hart,Knicks,points,11.5,-130,over,0.7722512211892534,1.831453110520318,0.5652173913043479,8,0.11210313830700709,0.032949148038662106,Josh Hart_points_over
33,Bilal Coulibaly,Wizards,assists,2.5,-155,over,0.6729434430265723,0.5355025152185782,0.607843137254902,8,0.11210313830700709,0.032949148038662106,Bilal Coulibaly_assists_over
35,Bennedict Mathurin,Pacers,points,17.5,-120,under,0.6593436292424941,1.043983268056197,0.5454545454545454,8,0.11210313830700709,0.032949148038662106,Bennedict Mathurin_points_under
41,Derrick White,Celtics,points,14.5,-110,over,0.6447700757297758,1.1546234501478605,0.5238095238095238,8,0.11210313830700709,0.032949148038662106,Derrick White_points_over
