,PROP_TAG,THRESH,2,6,7,8,9,10,11,16,18
0,Anthony Edwards_assists_under,6.5,,,,,,,1.0,,
1,Daniel Gafford_blocks_under,2.5,,,,,,,,1.0,
2,Daniel Gafford_points_under,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Daniel Gafford_rebounds_under,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Daniel Gafford_steals_under,0.5,,,,1.0,,,,,
5,Derrick Jones Jr._points_under,9.5,,,,,,,,,1.0
6,Derrick Jones Jr._steals_under,0.5,1.0,,,,,1.0,,,
7,Jaden Hardy_fgm_under,1.5,,,,,,1.0,,,
8,Jaden Hardy_points_under,5.5,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
9,Jaden Hardy_rebounds_under,1.5,,,,,1.0,,,,
10,Jaden Hardy_steals_under,0.5,,1.0,,,,,,,
11,Jaden McDaniels_points_over,10.5,,,1.0,,,,,,
12,Rudy Gobert_points_over,11.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
