,PROP_TAG,THRESH,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,HOUSE_PROB,EV
2,Jake LaRaviareboundsover,2.5,1,0.4161511085829048,0.06971868753351862,0.9007588056823537,0.6226415094339623,2.233366166843143
6,Santi Aldamaassistsover,1.5,1,0.4161511085829048,0.06971868753351862,0.8743108767424542,0.6666666666666666,1.5573315755684067
8,Davion Mitchellassistsover,3.5,1,0.4161511085829048,0.06971868753351862,0.865770751807885,0.5348837209302326,3.093074419073707
23,CJ McCollumpointsover,19.5,1,0.4161511085829048,0.06971868753351862,0.8091258612637648,0.5555555555555556,2.282132751373884
38,Anthony Blackpointsover,6.5,1,0.4161511085829048,0.06971868753351862,0.7543235488325764,0.5652173913043479,1.6728621627497138
12,Chris Boucherpointsover,7.5,2,0.3595804176124968,0.04666610928764266,0.8524509017987514,0.5238095238095238,3.1370313353517183
16,Miles McBridepointsover,8.5,2,0.3595804176124968,0.04666610928764266,0.8405552852284145,0.5652173913043479,2.4356813693282815
18,Luke Kennardpointsover,6.5,2,0.3595804176124968,0.04666610928764266,0.8219189267092355,0.5238095238095238,2.845589754951794
21,Ty Jeromepointsover,8.5,2,0.3595804176124968,0.04666610928764266,0.8119587445543959,0.5238095238095238,2.750515288928325
39,Brandon Boston Jr.assistsover,2.5,2,0.3595804176124968,0.04666610928764266,0.7519646590318687,0.574468085106383,1.5448775878699679
4,Brandon Clarkereboundsunder,6.5,3,0.41663467128557385,0.046268755370480544,0.8822645374738824,0.5555555555555556,2.940380837264942
10,Scottie Barnesfg3munder,1.5,3,0.41663467128557385,0.046268755370480544,0.8556951983876534,0.48780487804878053,3.7708757834734463
11,Jaime Jaquez Jr.assistsover,1.5,3,0.41663467128557385,0.046268755370480544,0.8531576121745652,0.6363636363636364,1.7033812385144405
17,Ochai Agbajipointsover,9.5,3,0.41663467128557385,0.046268755370480544,0.8385466923815772,0.5121951219512195,3.185812949439206
32,Yves Missipointsunder,8.5,3,0.41663467128557385,0.046268755370480544,0.7714023712910426,0.5238095238095238,2.3633862714144978
0,Scotty Pippen Jr.pointsover,5.5,4,0.5258676840186636,0.047066774477739846,0.9897229125137452,0.5555555555555556,3.907506212623707
5,Jake LaRaviapointsover,5.5,4,0.5258676840186636,0.047066774477739846,0.8759694029387024,0.5348837209302326,3.188409636166131
10,Scottie Barnesfg3munder,1.5,4,0.5258676840186636,0.047066774477739846,0.8556951983876534,0.48780487804878053,3.7708757834734463
15,Jakob Poeltlpointsover,13.5,4,0.5258676840186636,0.047066774477739846,0.8433125112967329,0.574468085106383,2.3399422279530455
16,Miles McBridepointsover,8.5,4,0.5258676840186636,0.047066774477739846,0.8405552852284145,0.5652173913043479,2.4356813693282815
2,Jake LaRaviareboundsover,2.5,5,0.38320721267226177,0.05133010886838679,0.9007588056823537,0.6226415094339623,2.233366166843143
15,Jakob Poeltlpointsover,13.5,5,0.38320721267226177,0.05133010886838679,0.8433125112967329,0.574468085106383,2.3399422279530455
17,Ochai Agbajipointsover,9.5,5,0.38320721267226177,0.05133010886838679,0.8385466923815772,0.5121951219512195,3.185812949439206
31,Tyrese Haliburtonpointsunder,18.5,5,0.38320721267226177,0.05133010886838679,0.779881098973711,0.5348837209302326,2.290192881710777
32,Yves Missipointsunder,8.5,5,0.38320721267226177,0.05133010886838679,0.7714023712910426,0.5238095238095238,2.3633862714144978
9,Brandon Clarkeassistsunder,1.5,6,0.35944228769802933,0.06210236032397457,0.8556951983876534,0.7058823529411764,1.0611743219125453
