,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
3,Jaime Jaquez Jr.,Heat,assists,1.5,-175,over,0.8531576121745652,1.7033812385144405,0.6363636363636364,1,0.23836535565956612,0.060380401090772175,Jaime Jaquez Jr._assists_over
11,Scottie Barnes,Raptors,points,21.5,-105,under,0.7852183767256204,2.6652270108929614,0.5121951219512195,1,0.23836535565956612,0.060380401090772175,Scottie Barnes_points_under
18,Jrue Holiday,Celtics,points,10.5,-120,over,0.7366927192098309,1.7530165927567842,0.5454545454545454,1,0.23836535565956612,0.060380401090772175,Jrue Holiday_points_over
21,Derrick White,Celtics,points,15.5,-120,over,0.713347112506028,1.539015197971924,0.5454545454545454,1,0.23836535565956612,0.060380401090772175,Derrick White_points_over
28,Haywood Highsmith,Heat,rebounds,3.5,-165,under,0.6770739802602777,0.4371092354234414,0.6226415094339623,1,0.23836535565956612,0.060380401090772175,Haywood Highsmith_rebounds_under
6,Ochai Agbaji,Raptors,points,9.5,-105,over,0.8385466923815772,3.185812949439206,0.5121951219512195,2,0.20222250502567593,0.05438835768488558,Ochai Agbaji_points_over
11,Scottie Barnes,Raptors,points,21.5,-105,under,0.7852183767256204,2.6652270108929614,0.5121951219512195,2,0.20222250502567593,0.05438835768488558,Scottie Barnes_points_under
25,Jaime Jaquez Jr.,Heat,points,9.5,-105,over,0.687714826968171,1.7134066442130975,0.5121951219512195,2,0.20222250502567593,0.05438835768488558,Jaime Jaquez Jr._points_over
27,Chris Boucher,Raptors,fg3m,0.5,-180,over,0.6780417284623241,0.27365788804029867,0.6428571428571428,2,0.20222250502567593,0.05438835768488558,Chris Boucher_fg3m_over
36,Ty Jerome,Cavaliers,rebounds,2.5,-170,under,0.6586382836205436,0.23036284051608158,0.6296296296296295,2,0.20222250502567593,0.05438835768488558,Ty Jerome_rebounds_under
2,Scottie Barnes,Raptors,fg3m,1.5,105,under,0.8556951983876534,3.7708757834734463,0.48780487804878053,3,0.2244776107898227,0.06225471841030378,Scottie Barnes_fg3m_under
9,Ty Jerome,Cavaliers,fg3m,0.5,-225,over,0.8111243971624381,0.8581206461731642,0.6923076923076923,3,0.2244776107898227,0.06225471841030378,Ty Jerome_fg3m_over
17,Haywood Highsmith,Heat,points,5.5,-110,over,0.739826483899167,2.0619800735829585,0.5238095238095238,3,0.2244776107898227,0.06225471841030378,Haywood Highsmith_points_over
33,Tyler Herro,Heat,rebounds,5.5,-165,under,0.6626382358377914,0.32118583324286964,0.6226415094339623,3,0.2244776107898227,0.06225471841030378,Tyler Herro_rebounds_under
34,Jakob Poeltl,Raptors,rebounds,10.5,-130,over,0.6597206920973842,0.8359907377845517,0.5652173913043479,3,0.2244776107898227,0.06225471841030378,Jakob Poeltl_rebounds_over
10,Caris LeVert,Cavaliers,points,9.5,-115,over,0.7960064861188698,2.4409301963285657,0.5348837209302326,4,0.15731540779353967,0.08102919278766509,Caris LeVert_points_over
