,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_fg3m_under,0.5,,,1.0,,,,,,,,,,,
1,Alperen Sengun_points_under,20.5,,1.0,,,,,,,,,1.0,,,
2,Anthony Edwards_assists_under,4.5,,,,,,1.0,,,,,,,,
3,Anthony Edwards_fg3m_over,3.5,,1.0,,,,1.0,,,,,1.0,,,
4,De'Aaron Fox_points_over,24.5,,,,,,,,,,1.0,,,,
5,DeMar DeRozan_assists_over,3.5,,,1.0,,,1.0,,,,,,,,
6,DeMar DeRozan_rebounds_over,3.5,,,,,,,,,,,,,1.0,
7,Derrick Jones Jr._fg3m_over,0.5,,,,,,,,1.0,,,,,1.0,
8,Derrick Jones Jr._points_over,8.5,,,,,1.0,,,,,,,,,
9,Derrick Jones Jr._rebounds_under,3.5,,,,,,,,,,,,,,1.0
10,Dillon Brooks_points_under,13.5,,,,,,,,,,,,,1.0,
11,Domantas Sabonis_assists_over,5.5,,,,,,,,1.0,,,,,,1.0
12,Domantas Sabonis_points_over,19.5,1.0,,,,,,,,,1.0,,,,
13,Donte DiVincenzo_assists_over,3.5,,,,,,,,,,,,,,1.0
14,Fred VanVleet_rebounds_over,3.5,,,,,,,1.0,,,,,,,
15,Ivica Zubac_rebounds_over,11.5,,,,,,,1.0,,,,,,,
16,Jabari Smith Jr._assists_under,1.5,,,,,,,,,1.0,,,,,
17,Jaden McDaniels_rebounds_over,3.5,1.0,,,,,,1.0,1.0,,1.0,,,,
18,Jalen Green_fg3m_under,2.5,,,,,,,,,,,,1.0,,
19,Jalen Green_rebounds_under,5.5,,,,,1.0,,,,,,,,,
20,James Harden_assists_under,8.5,,,,1.0,,,,,,,,,,
21,Jonathan Kuminga_points_under,17.5,,,1.0,,,,,,,,,,,
22,Jonathan Kuminga_rebounds_under,4.5,1.0,,,,,,,,,,,,,
23,Julius Randle_points_over,18.5,,,,,,,,,,,,1.0,,
24,Julius Randle_rebounds_over,5.5,,,,1.0,1.0,1.0,,,,,,,,
25,Keegan Murray_points_under,13.5,,1.0,,,,,,,,,,,,
26,Kevin Huerter_assists_under,2.5,,,,,,,,,,,,,,1.0
27,Malik Monk_assists_under,5.5,,,,,,,,,1.0,,,,,
28,Malik Monk_points_under,17.5,1.0,,,,,,1.0,,,,1.0,,,
29,Malik Monk_rebounds_under,3.5,,,,,,,,,1.0,,,,,
30,Naz Reid_rebounds_over,4.5,,,,1.0,,,,1.0,1.0,,,,,
31,Nickeil Alexander-Walker_points_over,7.5,,,1.0,,,,,,,,,,,
32,Norman Powell_assists_over,1.5,,,,,,,,,,,1.0,1.0,,
33,Norman Powell_rebounds_under,2.5,,1.0,,1.0,,,,,,,,,,
34,Rudy Gobert_assists_over,1.5,,,,,1.0,,,,,,,,,
35,Stephen Curry_fg3m_under,4.5,,,,,,,,,,1.0,,,1.0,
36,Stephen Curry_rebounds_over,4.5,,,,,,,,,,,,1.0,,
