,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10
0,Anthony Black_points_over,6.5,1.0,,,,,,,,,
1,Brandon Boston Jr._assists_over,2.5,1.0,,,,1.0,,,,,
2,Brandon Boston Jr._points_over,8.5,,,,,,,,,1.0,
3,Brandon Clarke_rebounds_under,6.5,1.0,,,,,,,1.0,,
4,CJ McCollum_points_over,19.5,,,,1.0,,,,,,1.0
5,Chris Boucher_points_over,7.5,,,,,,1.0,1.0,,,
6,Davion Mitchell_assists_over,3.5,,,,1.0,,,,,,
7,Davion Mitchell_points_over,5.5,1.0,,,,,,,,,
8,Davion Mitchell_rebounds_over,1.5,,,,,1.0,1.0,,,,
9,Dejounte Murray_assists_over,6.5,,,1.0,,,,,,,
10,Franz Wagner_points_under,26.5,,,,,,,1.0,,,
11,Jaime Jaquez Jr._assists_over,1.5,,,,,1.0,,,,,
12,Jake LaRavia_assists_over,1.5,,1.0,,,,,,,,
13,Jake LaRavia_points_over,5.5,,,,,,1.0,,,,
14,Jake LaRavia_rebounds_over,2.5,,,,,,,,1.0,,
15,Jakob Poeltl_points_over,13.5,,,,1.0,1.0,,,,1.0,
16,Jay Huff_rebounds_under,3.5,,1.0,,,,,,,1.0,
17,Jaylen Wells_points_over,10.5,,,,,,,,1.0,,
18,Jonathan Isaac_assists_under,0.5,,,,,,1.0,,,,
19,Luke Kennard_assists_over,2.5,,1.0,,1.0,,,,,,
20,Luke Kennard_points_over,6.5,,,,,,,1.0,,,
21,Marcus Smart_points_over,8.5,,,1.0,,,,,,,
22,Miles McBride_points_over,8.5,,,,1.0,,,1.0,,,
23,Ochai Agbaji_points_over,9.5,,1.0,,,,,,1.0,,
24,Santi Aldama_assists_over,1.5,,,,,,,,,1.0,
25,Santi Aldama_points_over,9.5,,,,,,,,,,1.0
26,Scottie Barnes_fg3m_under,1.5,1.0,,,,,,,,,
27,Scotty Pippen Jr._assists_over,3.5,,,1.0,,,,,,,1.0
28,Scotty Pippen Jr._points_over,5.5,,,,,,,,,,1.0
29,Scotty Pippen Jr._rebounds_over,2.5,,1.0,,,,,,1.0,,
30,Ty Jerome_fg3m_over,0.5,,,,,,1.0,,,1.0,
31,Ty Jerome_points_over,8.5,,,1.0,,,,,,,
32,Tyrese Haliburton_points_under,18.5,,,,,,,1.0,,,1.0
33,Yves Missi_points_under,8.5,,,,,1.0,,,,,
34,Ziaire Williams_fg3m_under,1.5,,,1.0,,,,,,,
