,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_assists_over,5.5,,,,,,,,,1.0,,,,,
1,Alperen Sengun_fg3m_under,0.5,,,,,,,1.0,,,,,,,
2,Brandin Podziemski_fg3m_under,1.5,,,,,,,,,,,,,1.0,
3,Brandin Podziemski_rebounds_over,5.5,,,,,,,,,,,,1.0,,
4,De'Aaron Fox_rebounds_over,4.5,,,,,,1.0,,,,,,,,
5,Dillon Brooks_points_under,13.5,,,,,,,,,,1.0,,,,
6,Domantas Sabonis_fg3m_over,0.5,1.0,,,,,,,,,,,,,
7,Domantas Sabonis_points_over,19.5,,,,,,1.0,,,,,,,,
8,Domantas Sabonis_rebounds_under,13.5,,,,,1.0,,,,,,1.0,,,
9,Donte DiVincenzo_assists_over,3.5,,,,,,,,,,,1.0,,,
10,Draymond Green_assists_over,5.5,,,,,,,,,1.0,,,,1.0,
11,Draymond Green_points_under,8.5,,,,,,,,,,1.0,,,,1.0
12,Fred VanVleet_assists_under,5.5,,1.0,,,,,,1.0,,,,,,
13,Fred VanVleet_points_over,16.5,,,,,,,1.0,,,1.0,,,,
14,Ivica Zubac_assists_under,2.5,1.0,,,,,,,,,,,,,1.0
15,Jabari Smith Jr._fg3m_over,1.5,,1.0,,1.0,,,,,,,,,,
16,Jabari Smith Jr._points_under,11.5,,,,,1.0,,,,,,,,,
17,Jaden McDaniels_points_under,9.5,,,,1.0,,,,,,,,,,
18,Jalen Green_rebounds_under,5.5,,,,,,,,,,,,1.0,,
19,James Harden_rebounds_under,6.5,,,,,,,,1.0,,,,,,
20,Jonathan Kuminga_rebounds_under,4.5,,,,,,,,,,,,1.0,,
21,Kevin Huerter_assists_under,2.5,,,,,,,,,,,,,1.0,
22,Kevin Huerter_rebounds_under,3.5,1.0,1.0,,,,,,,,,,,,
23,Malik Monk_assists_over,5.5,,,,,,,,,1.0,,,,,
24,Mike Conley_points_over,10.5,,,,,,,1.0,,,,,,,
25,Naz Reid_fg3m_under,1.5,,,1.0,,,,,,,,,,,
26,Nickeil Alexander-Walker_points_over,7.5,,,,,,1.0,,1.0,,,1.0,,,
27,Norman Powell_rebounds_under,2.5,,,,,,,,,,,,,,1.0
28,Rudy Gobert_points_over,10.5,,,1.0,,,,,,,,,,,
29,Rudy Gobert_rebounds_under,11.5,,,1.0,,,,,,,,,,,
30,Stephen Curry_points_under,24.5,,,,,1.0,,,,,,,,,
31,Stephen Curry_rebounds_over,4.5,,,,1.0,,,,,,,,,,
