,PROP_TAG,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,PROB,HOUSE_PROB,EV,TO_WIN
0,Wendell Carter Jr._points_over,11.5,0,6.413406834216244,0.007057859856485553,0.010959638786492146,0.17802965642509794,0.5555555555555556,-3.3977330921741182,90.24388307692308
1,Jalen Suggs_points_over,16.5,0,6.413406834216244,0.007057859856485553,0.010959638786492146,0.7915798524306081,0.5555555555555556,2.1242186718754734,90.24388307692308
2,Jose Alvarado_points_over,10.5,0,6.413406834216244,0.007057859856485553,0.010959638786492146,0.12932295021037,0.5652173913043479,-3.8559892866005736,90.24388307692308
3,Tim Hardaway Jr._rebounds_under,2.5,0,6.413406834216244,0.007057859856485553,0.010959638786492146,0.8794870987836302,0.5348837209302326,3.2212924451513256,90.24388307692308
4,Zaccharie Risacher_points_under,11.5,0,6.413406834216244,0.007057859856485553,0.010959638786492146,0.8570657022748486,0.5555555555555556,2.713591320473637,90.24388307692308
5,Trae Young_rebounds_over,3.5,0,6.413406834216244,0.007057859856485553,0.010959638786492146,0.7619345012768759,0.46511627906976744,3.1907958887264165,90.24388307692308
6,Anthony Black_assists_over,3.5,0,6.413406834216244,0.007057859856485553,0.010959638786492146,0.6742937169785529,0.45454545454545453,2.4172308867640826,90.24388307692308
7,Wendell Carter Jr._points_over,11.5,1,6.4118922272213235,0.0077620604968107534,0.01205560266514136,0.17802965642509794,0.5555555555555556,-3.3977330921741182,81.94898461538462
8,Jalen Suggs_points_over,16.5,1,6.4118922272213235,0.0077620604968107534,0.01205560266514136,0.7915798524306081,0.5555555555555556,2.1242186718754734,81.94898461538462
9,Jose Alvarado_points_over,10.5,1,6.4118922272213235,0.0077620604968107534,0.01205560266514136,0.12932295021037,0.5652173913043479,-3.8559892866005736,81.94898461538462
10,Tim Hardaway Jr._rebounds_under,2.5,1,6.4118922272213235,0.0077620604968107534,0.01205560266514136,0.8794870987836302,0.5348837209302326,3.2212924451513256,81.94898461538462
11,Zaccharie Risacher_points_under,11.5,1,6.4118922272213235,0.0077620604968107534,0.01205560266514136,0.8570657022748486,0.5555555555555556,2.713591320473637,81.94898461538462
12,Trae Young_rebounds_over,3.5,1,6.4118922272213235,0.0077620604968107534,0.01205560266514136,0.7619345012768759,0.46511627906976744,3.1907958887264165,81.94898461538462
13,Tobias Harris_rebounds_over,7.5,1,6.4118922272213235,0.0077620604968107534,0.01205560266514136,0.7415716279769162,0.5,2.4157162797691623,81.94898461538462
14,Wendell Carter Jr._points_over,11.5,2,6.115531793511769,0.006106776423225108,0.00986367490784293,0.17802965642509794,0.5555555555555556,-3.3977330921741182,100.38209230769232
15,Jalen Suggs_points_over,16.5,2,6.115531793511769,0.006106776423225108,0.00986367490784293,0.7915798524306081,0.5555555555555556,2.1242186718754734,100.38209230769232
16,Jose Alvarado_points_over,10.5,2,6.115531793511769,0.006106776423225108,0.00986367490784293,0.12932295021037,0.5652173913043479,-3.8559892866005736,100.38209230769232
17,Tim Hardaway Jr._rebounds_under,2.5,2,6.115531793511769,0.006106776423225108,0.00986367490784293,0.8794870987836302,0.5348837209302326,3.2212924451513256,100.38209230769232
18,Trae Young_rebounds_over,3.5,2,6.115531793511769,0.006106776423225108,0.00986367490784293,0.7619345012768759,0.46511627906976744,3.1907958887264165,100.38209230769232
19,Tobias Harris_rebounds_over,7.5,2,6.115531793511769,0.006106776423225108,0.00986367490784293,0.7415716279769162,0.5,2.4157162797691623,100.38209230769232
20,Anthony Black_assists_over,3.5,2,6.115531793511769,0.006106776423225108,0.00986367490784293,0.6742937169785529,0.45454545454545453,2.4172308867640826,100.38209230769232
21,Wendell Carter Jr._points_over,11.5,3,5.97488947839156,0.00765248831391691,0.012629678982529046,0.17802965642509794,0.5555555555555556,-3.3977330921741182,78.17857622377623
22,Jalen Suggs_points_over,16.5,3,5.97488947839156,0.00765248831391691,0.012629678982529046,0.7915798524306081,0.5555555555555556,2.1242186718754734,78.17857622377623
23,Jose Alvarado_points_over,10.5,3,5.97488947839156,0.00765248831391691,0.012629678982529046,0.12932295021037,0.5652173913043479,-3.8559892866005736,78.17857622377623
24,Tim Hardaway Jr._rebounds_under,2.5,3,5.97488947839156,0.00765248831391691,0.012629678982529046,0.8794870987836302,0.5348837209302326,3.2212924451513256,78.17857622377623
25,Zaccharie Risacher_points_under,11.5,3,5.97488947839156,0.00765248831391691,0.012629678982529046,0.8570657022748486,0.5555555555555556,2.713591320473637,78.17857622377623
26,Trae Young_rebounds_over,3.5,3,5.97488947839156,0.00765248831391691,0.012629678982529046,0.7619345012768759,0.46511627906976744,3.1907958887264165,78.17857622377623
27,Kyrie Irving_fg3m_over,2.5,3,5.97488947839156,0.00765248831391691,0.012629678982529046,0.7311033222888894,0.5238095238095238,1.978713530939399,78.17857622377623
28,Wendell Carter Jr._points_over,11.5,4,5.95376224262403,0.006935746640099282,0.011481526347753675,0.17802965642509794,0.5555555555555556,-3.3977330921741182,86.09643384615386
29,Jalen Suggs_points_over,16.5,4,5.95376224262403,0.006935746640099282,0.011481526347753675,0.7915798524306081,0.5555555555555556,2.1242186718754734,86.09643384615386
30,Jose Alvarado_points_over,10.5,4,5.95376224262403,0.006935746640099282,0.011481526347753675,0.12932295021037,0.5652173913043479,-3.8559892866005736,86.09643384615386
31,Tim Hardaway Jr._rebounds_under,2.5,4,5.95376224262403,0.006935746640099282,0.011481526347753675,0.8794870987836302,0.5348837209302326,3.2212924451513256,86.09643384615386
32,Zaccharie Risacher_points_under,11.5,4,5.95376224262403,0.006935746640099282,0.011481526347753675,0.8570657022748486,0.5555555555555556,2.713591320473637,86.09643384615386
33,Trae Young_rebounds_over,3.5,4,5.95376224262403,0.006935746640099282,0.011481526347753675,0.7619345012768759,0.46511627906976744,3.1907958887264165,86.09643384615386
34,Jordan Hawkins_assists_under,1.5,4,5.95376224262403,0.006935746640099282,0.011481526347753675,0.6626272662068446,0.47619047619047616,1.9575862951718688,86.09643384615386
35,Wendell Carter Jr._points_over,11.5,5,5.79817614997368,0.008048335466161778,0.013628072577985888,0.17802965642509794,0.5555555555555556,-3.3977330921741182,72.37794792899409
36,Jalen Suggs_points_over,16.5,5,5.79817614997368,0.008048335466161778,0.013628072577985888,0.7915798524306081,0.5555555555555556,2.1242186718754734,72.37794792899409
37,Jose Alvarado_points_over,10.5,5,5.79817614997368,0.008048335466161778,0.013628072577985888,0.12932295021037,0.5652173913043479,-3.8559892866005736,72.37794792899409
38,Tim Hardaway Jr._rebounds_under,2.5,5,5.79817614997368,0.008048335466161778,0.013628072577985888,0.8794870987836302,0.5348837209302326,3.2212924451513256,72.37794792899409
39,Zaccharie Risacher_points_under,11.5,5,5.79817614997368,0.008048335466161778,0.013628072577985888,0.8570657022748486,0.5555555555555556,2.713591320473637,72.37794792899409
40,Jaden Ivey_fg3m_over,1.5,5,5.79817614997368,0.008048335466161778,0.013628072577985888,0.7689217620241717,0.5652173913043479,1.802000202521519,72.37794792899409
41,Trae Young_rebounds_over,3.5,5,5.79817614997368,0.008048335466161778,0.013628072577985888,0.7619345012768759,0.46511627906976744,3.1907958887264165,72.37794792899409
42,Wendell Carter Jr._points_over,11.5,6,5.754346892711802,0.007567326398295345,0.01289669122317448,0.17802965642509794,0.5555555555555556,-3.3977330921741182,76.53926822742474
43,Jalen Suggs_points_over,16.5,6,5.754346892711802,0.007567326398295345,0.01289669122317448,0.7915798524306081,0.5555555555555556,2.1242186718754734,76.53926822742474
44,Jose Alvarado_points_over,10.5,6,5.754346892711802,0.007567326398295345,0.01289669122317448,0.12932295021037,0.5652173913043479,-3.8559892866005736,76.53926822742474
45,Tim Hardaway Jr._rebounds_under,2.5,6,5.754346892711802,0.007567326398295345,0.01289669122317448,0.8794870987836302,0.5348837209302326,3.2212924451513256,76.53926822742474
46,Zaccharie Risacher_points_under,11.5,6,5.754346892711802,0.007567326398295345,0.01289669122317448,0.8570657022748486,0.5555555555555556,2.713591320473637,76.53926822742474
47,Trae Young_rebounds_over,3.5,6,5.754346892711802,0.007567326398295345,0.01289669122317448,0.7619345012768759,0.46511627906976744,3.1907958887264165,76.53926822742474
48,Tobias Harris_points_under,13.5,6,5.754346892711802,0.007567326398295345,0.01289669122317448,0.7229671243766128,0.5348837209302326,1.758170945259641,76.53926822742474
