,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Bam Adebayo_rebounds_over,11.5,,,,,,,1.0,,,,,,,
1,Bobby Portis_assists_over,1.5,,,,1.0,,,1.0,,,,,,,
2,Bobby Portis_points_over,12.5,,,,1.0,,,,,,,,,,
3,Brook Lopez_assists_under,1.5,,,,,,,1.0,,,,1.0,,,
4,Brook Lopez_fg3m_under,1.5,,1.0,,1.0,,,,,,,,,,
5,Brook Lopez_points_under,11.5,,,,1.0,,,,,,,,,,
6,Brook Lopez_rebounds_under,4.5,,,,,,,,1.0,,,,,,
7,Caris LeVert_assists_under,4.5,,,1.0,1.0,,,,,,,1.0,,,
8,Caris LeVert_fg3m_over,1.5,,,,,,,,,,,,,1.0,
9,Caris LeVert_points_over,11.5,,,,,,,,,,1.0,1.0,,,
10,Cason Wallace_assists_over,1.5,,,,,,,,,,,1.0,,,
11,Cason Wallace_fg3m_over,0.5,,,,,1.0,1.0,,,1.0,,,,,
12,Cason Wallace_points_over,6.5,,1.0,,,,,,,,,,,,
13,Cason Wallace_rebounds_over,2.5,,,,,,,,,,,,,1.0,
14,Darius Garland_assists_under,6.5,,,1.0,,,,,,,,,,,
15,Donovan Mitchell_assists_over,4.5,,,,,1.0,,1.0,,,,,,,
16,Donovan Mitchell_fg3m_over,3.5,,,1.0,,,,,,,,,,1.0,
17,Duncan Robinson_assists_over,1.5,,,,,,,,,,,,,,1.0
18,Duncan Robinson_fg3m_under,2.5,,,,,,1.0,,,,,,,,
19,Duncan Robinson_points_over,9.5,,,,,,,,,,,,,,1.0
20,Duncan Robinson_rebounds_under,2.5,1.0,,,,,,,,,,,,,1.0
21,Evan Mobley_fg3m_over,0.5,,,,,,,,,1.0,,1.0,,,
22,Evan Mobley_points_over,16.5,,,,,,,,,,,1.0,,,
23,Haywood Highsmith_assists_over,0.5,,,,,,1.0,,,,,,,,
24,Haywood Highsmith_rebounds_over,2.5,,1.0,,,1.0,,,,,,,,,
25,Isaiah Hartenstein_assists_over,3.5,,,1.0,,,,,,,,,,1.0,
26,Isaiah Joe_points_over,6.5,1.0,,,,,,,,1.0,,,,,
27,Isaiah Joe_rebounds_under,2.5,,,,,,1.0,,,,,,,,
28,Jaime Jaquez Jr._fg3m_under,0.5,,,,,,,,,1.0,,,,,
29,Jaime Jaquez Jr._points_over,6.5,,,,,,,,,,1.0,,,,
30,Jaime Jaquez Jr._rebounds_over,2.5,,,,,1.0,,,,,,,,,
31,Jalen Williams_assists_under,4.5,,,,,1.0,,,,1.0,1.0,,,,
32,Jalen Williams_rebounds_under,5.5,,,,,,,,,,,,1.0,1.0,
33,Jimmy Butler_points_over,17.5,,,,,1.0,,,,,1.0,,,,
34,Jimmy Butler_rebounds_over,5.5,,,,,,,,,,,,,,1.0
35,Joel Embiid_fg3m_under,1.5,,,1.0,,,,,1.0,,,,,,1.0
36,Joel Embiid_points_under,26.5,,1.0,,,,,1.0,,,,,,,
37,Josh Green_assists_under,1.5,1.0,,1.0,,,,,,,,,,,
38,Josh Green_rebounds_under,3.5,1.0,,,1.0,,,,,,,,,,
39,Kelly Oubre Jr._assists_over,1.5,,,,,,,,,,1.0,,,,
40,Kelly Oubre Jr._fg3m_over,1.5,,1.0,,,,,,,,,,,,
41,Kelly Oubre Jr._points_over,12.5,,,,,,,1.0,1.0,,,,,1.0,
42,Kelly Oubre Jr._rebounds_over,5.5,,,,,,,,1.0,,,,,,
43,Luguentz Dort_points_over,9.5,,1.0,,,,1.0,,,,,,,,
44,Miles Bridges_points_under,22.5,,,,,,,,,,,,1.0,,
45,Paul George_rebounds_under,5.5,1.0,,,,,,,,,,,,,1.0
46,Shai Gilgeous-Alexander_fg3m_over,1.5,1.0,,,,,,,,,,,1.0,,
47,Shai Gilgeous-Alexander_points_over,29.5,,,,,,,,,,,,1.0,,
48,Taurean Prince_points_under,6.5,,,,,,1.0,,,,,,,,
49,Terry Rozier_fg3m_under,1.5,,,,,,,,,1.0,,,,,
50,Terry Rozier_rebounds_over,3.5,,,,,,,,1.0,,,,,,
51,Tyler Herro_points_over,21.5,,,,,,,,,,,,1.0,,
52,Tyrese Maxey_points_over,25.5,,,,,,,,1.0,,1.0,,,,
53,Tyrese Maxey_rebounds_over,3.5,,,,,,,,,,,,1.0,,
