,PROP_TAG,THRESH,0,1,2,3,4,5,6,742,1727,1919
0,Daniel Gafford_assists_over,0.5,,,,,1.0,,,1.0,1.0,1.0
1,Daniel Gafford_points_over,8.5,,,,,,,1.0,,1.0,
2,Josh Green_points_over,3.5,1.0,,,1.0,,,,1.0,1.0,1.0
3,Josh Green_rebounds_over,1.5,,,1.0,,,,,1.0,1.0,1.0
4,Mike Conley_points_over,10.5,,,,,,,,,,1.0
5,Naz Reid_points_over,10.5,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,
6,Tim Hardaway Jr._assists_over,0.5,,1.0,,1.0,,,,,,
7,Tim Hardaway Jr._fg3m_over,0.5,,,,,,1.0,,,,
8,Tim Hardaway Jr._points_over,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
9,Tim Hardaway Jr._rebounds_over,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
