,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,team_fgm_mad,team_fgm_average,team_fga_mad,team_fga_average,team_fg3m_mad,team_fg3m_average,team_fg3a_mad,team_fg3a_average,team_points_mad,team_points_average,team_rebounds_mad,team_rebounds_average,team_assists_mad,team_assists_average,team_steals_mad,team_steals_average,team_blocks_mad,team_blocks_average,team_to_mad,oppteam_to_average
28,Myles Turner,Pacers,fg3m,1.5,-145,over,0.664507801973037,0.6139452235653131,0.5918367346938775,5.930408874022408,46.52,4.447806655516806,91.36,4.447806655516806,13.24,5.930408874022408,34.84,7.41301109252801,119.6,7.41301109252801,41.92,7.41301109252801,31.08,2.965204437011204,6.44,2.965204437011204,5.6,2.965204437011204,11.0
29,Ben Sheppard,Pacers,steals,0.5,160,over,0.428790936151185,0.5742821699654055,0.3846153846153846,5.930408874022408,46.52,4.447806655516806,91.36,4.447806655516806,13.24,5.930408874022408,34.84,7.41301109252801,119.6,7.41301109252801,41.92,7.41301109252801,31.08,2.965204437011204,6.44,2.965204437011204,5.6,2.965204437011204,11.0
30,Andrew Nembhard,Pacers,fgm,3.5,-150,over,0.6677256775285372,0.5643806460711422,0.6000000000000001,5.930408874022408,46.52,4.447806655516806,91.36,4.447806655516806,13.24,5.930408874022408,34.84,7.41301109252801,119.6,7.41301109252801,41.92,7.41301109252801,31.08,2.965204437011204,6.44,2.965204437011204,5.6,2.965204437011204,11.0
32,Jalen Brunson,Knicks,assists,6.5,-140,over,0.6460032626745446,0.5371708229246686,0.5833333333333333,7.41301109252801,42.04,7.41301109252801,89.04,1.482602218505602,13.2,5.930408874022408,33.68,11.860817748044816,114.0,7.41301109252801,43.24,4.447806655516806,24.8,2.965204437011204,7.12,2.965204437011204,4.76,2.965204437011204,10.4
33,Myles Turner,Pacers,points,15.5,-125,over,0.6102136898763074,0.49192320888676644,0.5555555555555556,5.930408874022408,46.52,4.447806655516806,91.36,4.447806655516806,13.24,5.930408874022408,34.84,7.41301109252801,119.6,7.41301109252801,41.92,7.41301109252801,31.08,2.965204437011204,6.44,2.965204437011204,5.6,2.965204437011204,11.0
34,Isaiah Hartenstein,Knicks,assists,4.5,-160,under,0.6756091966602276,0.4893247228643487,0.6153846153846154,7.41301109252801,42.04,7.41301109252801,89.04,1.482602218505602,13.2,5.930408874022408,33.68,11.860817748044816,114.0,7.41301109252801,43.24,4.447806655516806,24.8,2.965204437011204,7.12,2.965204437011204,4.76,2.965204437011204,10.4
35,Obi Toppin,Pacers,assists,1.5,125,over,0.48789268835204525,0.4887927439605093,0.4444444444444444,5.930408874022408,46.52,4.447806655516806,91.36,4.447806655516806,13.24,5.930408874022408,34.84,7.41301109252801,119.6,7.41301109252801,41.92,7.41301109252801,31.08,2.965204437011204,6.44,2.965204437011204,5.6,2.965204437011204,11.0
37,Donte DiVincenzo,Knicks,fgm,6.5,110,over,0.5200837795439648,0.4608796852116299,0.47619047619047616,7.41301109252801,42.04,7.41301109252801,89.04,1.482602218505602,13.2,5.930408874022408,33.68,11.860817748044816,114.0,7.41301109252801,43.24,4.447806655516806,24.8,2.965204437011204,7.12,2.965204437011204,4.76,2.965204437011204,10.4
41,Aaron Nesmith,Pacers,fgm,3.5,115,over,0.5016645070629165,0.3928934509263531,0.46511627906976744,5.930408874022408,46.52,4.447806655516806,91.36,4.447806655516806,13.24,5.930408874022408,34.84,7.41301109252801,119.6,7.41301109252801,41.92,7.41301109252801,31.08,2.965204437011204,6.44,2.965204437011204,5.6,2.965204437011204,11.0
