,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO_WIN
18,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,6,0.3388237522481105,1.3190208390374805,6.84432783608196
19,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,6,0.3388237522481105,1.3190208390374805,6.84432783608196
20,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,6,0.3388237522481105,1.3190208390374805,6.84432783608196
191,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,60,0.3696094171517247,1.3196177214349625,6.275862068965519
188,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,60,0.3696094171517247,1.3196177214349625,6.275862068965519
189,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,60,0.3696094171517247,1.3196177214349625,6.275862068965519
190,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,60,0.3696094171517247,1.3196177214349625,6.275862068965519
136,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,44,0.36712242453989463,1.27447111295406,6.195402298850575
137,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,44,0.36712242453989463,1.27447111295406,6.195402298850575
92,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,30,0.4138730207451207,1.5641098641565527,6.195402298850575
91,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,30,0.4138730207451207,1.5641098641565527,6.195402298850575
93,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,30,0.4138730207451207,1.5641098641565527,6.195402298850575
138,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,44,0.36712242453989463,1.27447111295406,6.195402298850575
199,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,62,0.39548414252071507,1.423534467572595,6.128019323671499
196,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,62,0.39548414252071507,1.423534467572595,6.128019323671499
198,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,62,0.39548414252071507,1.423534467572595,6.128019323671499
197,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,62,0.39548414252071507,1.423534467572595,6.128019323671499
58,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,18,0.40712364972795173,1.4673145192017705,6.060356652949245
60,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,18,0.40712364972795173,1.4673145192017705,6.060356652949245
59,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,18,0.40712364972795173,1.4673145192017705,6.060356652949245
70,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,22,0.478624488226126,1.8556900155005387,5.966451959205582
