,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO_WIN
140,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,45,0.4408464638018849,0.9496385291196401,4.422488755622188
141,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,45,0.4408464638018849,0.9496385291196401,4.422488755622188
139,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,45,0.4408464638018849,0.9496385291196401,4.422488755622188
24,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,7,0.47507465099746127,1.0518491413045936,4.319003628159395
23,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,7,0.47507465099746127,1.0518491413045936,4.319003628159395
22,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,7,0.47507465099746127,1.0518491413045936,4.319003628159395
45,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,13,0.4540620764844798,0.8697151302698083,4.117752234993614
44,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,13,0.4540620764844798,0.8697151302698083,4.117752234993614
43,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,13,0.4540620764844798,0.8697151302698083,4.117752234993614
84,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,27,0.5336803988414505,1.197563655101666,4.117752234993614
83,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,27,0.5336803988414505,1.197563655101666,4.117752234993614
82,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,27,0.5336803988414505,1.197563655101666,4.117752234993614
77,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,25,0.4025152883539154,0.6561403446750325,4.114478114478114
78,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,25,0.4025152883539154,0.6561403446750325,4.114478114478114
76,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,25,0.4025152883539154,0.6561403446750325,4.114478114478114
179,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,57,0.5027804698445539,1.0388614915075705,4.055172413793104
180,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,57,0.5027804698445539,1.0388614915075705,4.055172413793104
181,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,57,0.5027804698445539,1.0388614915075705,4.055172413793104
48,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,14,0.4277720235726395,0.7346893093842208,4.055172413793104
46,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,14,0.4277720235726395,0.7346893093842208,4.055172413793104
47,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,14,0.4277720235726395,0.7346893093842208,4.055172413793104
66,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,20,0.47320678624373547,0.9168303877554216,4.05072463768116
64,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,20,0.47320678624373547,0.9168303877554216,4.05072463768116
65,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,20,0.47320678624373547,0.9168303877554216,4.05072463768116
207,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,66,0.6146086678598666,1.3638725707337538,3.8461425852730193
208,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,66,0.6146086678598666,1.3638725707337538,3.8461425852730193
209,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,66,0.6146086678598666,1.3638725707337538,3.8461425852730193
173,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,55,0.5434261412429926,1.0495887178979535,3.771604938271605
174,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,55,0.5434261412429926,1.0495887178979535,3.771604938271605
175,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,55,0.5434261412429926,1.0495887178979535,3.771604938271605
4,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,1,0.40936543316146795,0.5217101274071119,3.7172413793103445
3,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,1,0.40936543316146795,0.5217101274071119,3.7172413793103445
5,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,1,0.40936543316146795,0.5217101274071119,3.7172413793103445
17,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,5,0.4222907201523346,0.5100092417568327,3.5757575757575757
16,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,5,0.4222907201523346,0.5100092417568327,3.5757575757575757
15,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,5,0.4222907201523346,0.5100092417568327,3.5757575757575757
161,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,51,0.5134813462118651,0.7324930558113663,3.3740136201491735
162,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,51,0.5134813462118651,0.7324930558113663,3.3740136201491735
160,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,51,0.5134813462118651,0.7324930558113663,3.3740136201491735
122,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,39,0.4583846540703586,0.5024830327861756,3.277777777777778
121,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,39,0.4583846540703586,0.5024830327861756,3.277777777777778
120,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,39,0.4583846540703586,0.5024830327861756,3.277777777777778
10,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,3,0.47745182744597325,0.34141227711011535,2.8095238095238098
9,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,3,0.47745182744597325,0.34141227711011535,2.8095238095238098
11,Jrue Holiday,Celtics,steals,1.5,-195,under,0.7210475511959114,0.4540776308408674,0.6610169491525424,3,0.47745182744597325,0.34141227711011535,2.8095238095238098
110,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,36,0.4908597745936004,0.372253125337219,2.7956112852664576
111,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,36,0.4908597745936004,0.372253125337219,2.7956112852664576
109,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,36,0.4908597745936004,0.372253125337219,2.7956112852664576
12,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,4,0.4871931432976609,0.26670217257391826,2.6
13,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,4,0.4871931432976609,0.26670217257391826,2.6
14,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,4,0.4871931432976609,0.26670217257391826,2.6
