,parlay_tag,props,COMBINED_PROB,COMBINED_EV,TO WIN
1467,2024-05-21_1467_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545,0.47623695742823113,1.9925856153370618,6.283816425120774
1468,2024-05-21_1468_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535,0.4646939791957867,1.9777601899379667,6.408002520478891
32,2024-05-21_32_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583,0.5889788766720968,1.969717247894557,5.042145593869732
1479,2024-05-21_1479_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488,0.42161512960615616,1.9624573219029657,7.026449275362318
1396,2024-05-21_1396_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Jrue Holiday_points_12.5_-120_under_P0.740_EV1.782_HOUSE_PROV0.545,0.5027519395783465,1.9540579803796012,5.875776397515528
90,2024-05-21_90_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545,0.5383120924332049,1.9450513416716082,5.470899470899472
1398,2024-05-21_1398_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Luke Kornet_assists_0.5_-115_over_P0.722_EV1.749_HOUSE_PROV0.535,0.4905662941672664,1.9394234228958425,5.991898460707533
41,2024-05-21_41_,Obi Toppin_points_7.5_-135_over_P0.862_EV2.502_HOUSE_PROV0.574 + Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + T.J. McConnell_fgm_4.5_100_over_P0.687_EV1.873_HOUSE_PROV0.500,0.4985175904325167,1.9325313174101812,5.88250319284802
1408,2024-05-21_1408_,Payton Pritchard_points_9.5_-115_over_P0.837_EV2.822_HOUSE_PROV0.535 + T.J. McConnell_points_9.5_-140_over_P0.812_EV1.960_HOUSE_PROV0.583 + Al Horford_assists_2.5_105_under_P0.655_EV1.714_HOUSE_PROV0.488,0.4450889853440543,1.9243175695462145,6.570186335403726
1101,2024-05-21_1101_,Payton Pritchard_assists_2.5_-145_over_P0.842_EV2.110_HOUSE_PROV0.592 + Jayson Tatum_points_29.5_-120_under_P0.769_EV2.051_HOUSE_PROV0.545 + Obi Toppin_fgm_3.5_130_over_P0.634_EV2.286_HOUSE_PROV0.435,0.41009393608398687,1.9218014515133248,7.124712643678161
