,PLAYER,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,TEAMS,COMBINED EV,COMBINED PROB
3,Michael Porter Jr.,points,12.5,-130,over,0.8747536612557584,2.7382054649547864,{0.5652173913043479},Denver Nuggets,24.525159589651885,0.06991756521226686
61,Nikola Jokic,blocks,0.5,165,under,0.5272924240430487,1.9866246185703949,{0.37735849056603776},,24.525159589651885,0.06991756521226686
22,Kentavious Caldwell-Pope,fg3m,1.5,120,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},,24.525159589651885,0.06991756521226686
53,Aaron Gordon,steals,1.5,-225,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},,24.525159589651885,0.06991756521226686
15,Anthony Edwards,assists,6.5,-115,under,0.657552353460397,1.1466850432167544,{0.5348837209302326},Minnesota Timberwolves,24.525159589651885,0.06991756521226686
45,Rudy Gobert,fgm,4.5,-110,over,0.6266892287178578,0.9820335468522804,{0.5238095238095238},,24.525159589651885,0.06991756521226686
38,Jaden McDaniels,rebounds,2.5,-170,over,0.7437810818054559,0.90649682610215,{0.6296296296296295},,24.525159589651885,0.06991756521226686
