,Unnamed: 0,PLAYER,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,TEAMS,COMBINED EV,COMBINED PROB
0,,,,,,,,,,,,
1,3.0,Michael Porter Jr.,points,12.5,-130.0,over,0.8747536612557584,2.7382054649547864,{0.5652173913043479},Minnesota Timberwolves,,
3,65.0,Karl-Anthony Towns,blocks,0.5,195.0,over,0.4933830076344103,2.277399362607553,{0.3389830508474576},,,
15,22.0,Kentavious Caldwell-Pope,fg3m,1.5,120.0,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},Minnesota Timberwolves,,
16,53.0,Aaron Gordon,steals,1.5,-225.0,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},,,
17,15.0,Anthony Edwards,assists,6.5,-115.0,under,0.657552353460397,1.1466850432167544,{0.5348837209302326},Denver Nuggets,,
22,38.0,Jaden McDaniels,rebounds,2.5,-170.0,over,0.7437810818054559,0.90649682610215,{0.6296296296296295},,,
