,PLAYER,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,TEAMS,COMBINED EV,COMBINED PROB
61,Nikola Jokic,blocks,0.5,165,under,0.5272924240430487,1.9866246185703949,{0.37735849056603776},,23.251123748413427,0.04899715697442613
42,Michael Porter Jr.,fgm,4.5,-130,over,0.7602490179019759,1.725279773748248,{0.5652173913043479},,23.251123748413427,0.04899715697442613
8,Anthony Edwards,points,29.5,-125,under,0.7388958555256077,1.6500626997304693,{0.5555555555555556},Denver Nuggets,23.251123748413427,0.04899715697442613
22,Kentavious Caldwell-Pope,fg3m,1.5,120,over,0.5719076705793775,1.290984376373153,{0.45454545454545453},,23.251123748413427,0.04899715697442613
53,Aaron Gordon,steals,1.5,-225,under,0.8647595754305996,1.24548582255433,{0.6923076923076923},,23.251123748413427,0.04899715697442613
11,Jamal Murray,assists,5.5,-115,over,0.6453269565417072,1.0324041589768287,{0.5348837209302326},Minnesota Timberwolves,23.251123748413427,0.04899715697442613
34,Christian Braun,rebounds,3.5,130,over,0.5182975348876213,0.9604216512076452,{0.4347826086956522},,23.251123748413427,0.04899715697442613
