,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,PARLAY_EV,TO WIN
0,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,0,0.22108164458523255,18.473305864597403,106.17482925204065
1,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,0,0.22108164458523255,18.473305864597403,106.17482925204065
2,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,0,0.22108164458523255,18.473305864597403,106.17482925204065
3,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,0,0.22108164458523255,18.473305864597403,106.17482925204065
4,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,0,0.22108164458523255,18.473305864597403,106.17482925204065
5,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,1,0.5963808607838839,5.516268569666755,17.633477633477636
6,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,1,0.5963808607838839,5.516268569666755,17.633477633477636
7,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,1,0.5963808607838839,5.516268569666755,17.633477633477636
8,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,2,0.4908597745936004,1.8612656266860945,13.978056426332287
9,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,2,0.4908597745936004,1.8612656266860945,13.978056426332287
10,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,2,0.4908597745936004,1.8612656266860945,13.978056426332287
11,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,3,0.34102346100697395,6.0983641657825185,32.54428341384863
12,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,3,0.34102346100697395,6.0983641657825185,32.54428341384863
13,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,3,0.34102346100697395,6.0983641657825185,32.54428341384863
14,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,4,0.439214407644697,5.901341107283297,24.82008995502249
15,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,4,0.439214407644697,5.901341107283297,24.82008995502249
16,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,4,0.439214407644697,5.901341107283297,24.82008995502249
17,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,5,0.36885128156388425,14.889547713618306,53.92294593444019
18,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,5,0.36885128156388425,14.889547713618306,53.92294593444019
19,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,5,0.36885128156388425,14.889547713618306,53.92294593444019
20,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,5,0.36885128156388425,14.889547713618306,53.92294593444019
21,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,6,0.5376747410711112,3.5589040415401403,15.918367346938778
22,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,6,0.5376747410711112,3.5589040415401403,15.918367346938778
23,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,6,0.5376747410711112,3.5589040415401403,15.918367346938778
24,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,7,0.3985096572856849,7.5208076501051835,31.419082125603865
25,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,7,0.3985096572856849,7.5208076501051835,31.419082125603865
26,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,7,0.3985096572856849,7.5208076501051835,31.419082125603865
27,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,8,0.36507746201411184,3.3168290742570683,22.780998389694037
28,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,8,0.36507746201411184,3.3168290742570683,22.780998389694037
29,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,8,0.36507746201411184,3.3168290742570683,22.780998389694037
30,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,9,0.38082843385758763,8.222552455055373,34.72049689440994
31,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,9,0.38082843385758763,8.222552455055373,34.72049689440994
32,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,9,0.38082843385758763,8.222552455055373,34.72049689440994
