,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PARLAY_EV,TO_WIN
31,Andrew Nembhard,Pacers,points,10.5,-130,over,0.6271170949771379,0.547574301720835,0.5652173913043479,7,0.1483886167987088,0.0345110738830482,3.299739188110201,28.976206402293354
30,Jayson Tatum,Celtics,fgm,9.5,-105,under,0.6555694814779521,1.3996068429990558,0.5121951219512195,7,0.1483886167987088,0.0345110738830482,3.299739188110201,28.976206402293354
29,Luke Kornet,Celtics,assists,0.5,-115,over,0.721962699546806,1.7487817566331865,0.5348837209302326,7,0.1483886167987088,0.0345110738830482,3.299739188110201,28.976206402293354
28,Jayson Tatum,Celtics,steals,1.5,-250,under,0.7357588823428847,0.15031217640019268,0.7142857142857143,7,0.1483886167987088,0.0345110738830482,3.299739188110201,28.976206402293354
27,T.J. McConnell,Pacers,points,9.5,-140,over,0.8119961703007408,1.9599671740063505,0.5833333333333333,7,0.1483886167987088,0.0345110738830482,3.299739188110201,28.976206402293354
26,Payton Pritchard,Celtics,points,9.5,-115,over,0.8368140518122709,2.822392223462532,0.5348837209302326,7,0.1483886167987088,0.0345110738830482,3.299739188110201,28.976206402293354
17,Jrue Holiday,Celtics,points,12.5,-120,under,0.7398962216034679,1.782382031365123,0.5454545454545454,5,0.18532973904806974,0.05010510553747804,2.698819452828918,19.958045977011494
20,Al Horford,Celtics,assists,2.5,105,under,0.6550340885996073,1.7140994081459748,0.48780487804878053,5,0.18532973904806974,0.05010510553747804,2.698819452828918,19.958045977011494
19,T.J. McConnell,Pacers,fgm,4.5,100,over,0.6872816501433185,1.872816501433185,0.5,5,0.18532973904806974,0.05010510553747804,2.698819452828918,19.958045977011494
18,Al Horford,Celtics,rebounds,7.5,-145,under,0.7160162577921948,1.0491028675547494,0.5918367346938775,5,0.18532973904806974,0.05010510553747804,2.698819452828918,19.958045977011494
16,Luke Kornet,Celtics,points,3.5,-175,over,0.7770568098504246,1.1054463631104783,0.6363636363636364,5,0.18532973904806974,0.05010510553747804,2.698819452828918,19.958045977011494
11,Payton Pritchard,Celtics,steals,0.5,-155,under,0.618783391806141,0.089992416469868,0.607843137254902,3,0.10278444611299048,0.05783897514502802,0.7770793112302601,17.28937965260546
12,Payton Pritchard,Celtics,fg3m,1.5,-125,over,0.6047127189295851,0.44241447036626624,0.5555555555555556,3,0.10278444611299048,0.05783897514502802,0.7770793112302601,17.28937965260546
10,Luke Kornet,Celtics,fgm,1.5,-130,over,0.6255013190442551,0.5332808992376412,0.5652173913043479,3,0.10278444611299048,0.05783897514502802,0.7770793112302601,17.28937965260546
9,Aaron Nesmith,Pacers,points,9.5,-120,over,0.6551326000263189,1.005382166907924,0.5454545454545454,3,0.10278444611299048,0.05783897514502802,0.7770793112302601,17.28937965260546
8,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.0328804143207542,0.5555555555555556,3,0.10278444611299048,0.05783897514502802,0.7770793112302601,17.28937965260546
25,Myles Turner,Pacers,points,15.5,-125,over,0.6285463439246328,0.6569170953216954,0.5555555555555556,6,0.1927566242186998,0.09274413529732678,1.0783699540757459,10.782352941176473
24,Derrick White,Celtics,rebounds,3.5,-170,over,0.6807710116020809,0.4061227391929956,0.6296296296296295,6,0.1927566242186998,0.09274413529732678,1.0783699540757459,10.782352941176473
23,T.J. McConnell,Pacers,assists,4.5,-135,over,0.6872816501433185,0.981895843839995,0.574468085106383,6,0.1927566242186998,0.09274413529732678,1.0783699540757459,10.782352941176473
22,Jayson Tatum,Celtics,points,29.5,-120,under,0.7691717428514041,2.050740976137872,0.5454545454545454,6,0.1927566242186998,0.09274413529732678,1.0783699540757459,10.782352941176473
21,Andrew Nembhard,Pacers,blocks,0.5,-550,under,0.8521437889662113,0.03539511661852135,0.8461538461538461,6,0.1927566242186998,0.09274413529732678,1.0783699540757459,10.782352941176473
7,Pascal Siakam,Pacers,blocks,0.5,-190,under,0.6703200460356393,0.11560035132461532,0.6551724137931035,2,0.3039212088404511,0.1299392097264438,1.3389491861639393,7.695906432748537
6,Jrue Holiday,Celtics,rebounds,5.5,-140,under,0.6719128086015262,0.7592526451559403,0.5833333333333333,2,0.3039212088404511,0.1299392097264438,1.3389491861639393,7.695906432748537
5,Jayson Tatum,Celtics,rebounds,10.5,-145,under,0.7829049644415078,1.6141971133851527,0.5918367346938775,2,0.3039212088404511,0.1299392097264438,1.3389491861639393,7.695906432748537
4,Obi Toppin,Pacers,points,7.5,-135,over,0.8618999066487378,2.5017214097204965,0.574468085106383,2,0.3039212088404511,0.1299392097264438,1.3389491861639393,7.695906432748537
15,Jaylen Brown,Celtics,rebounds,6.5,-130,under,0.5998781413635349,0.3066143274466553,0.5652173913043479,4,0.37662159874979173,0.18246349923368557,1.064092820380711,5.4805481874447395
14,Payton Pritchard,Celtics,fgm,3.5,-120,over,0.746024827010655,1.8385609142643382,0.5454545454545454,4,0.37662159874979173,0.18246349923368557,1.064092820380711,5.4805481874447395
13,Payton Pritchard,Celtics,assists,2.5,-145,over,0.8415674019597683,2.109793568280802,0.5918367346938775,4,0.37662159874979173,0.18246349923368557,1.064092820380711,5.4805481874447395
1,Obi Toppin,Pacers,fgm,3.5,130,over,0.6335357424203472,2.285661037833992,0.4347826086956522,0,0.42098944366710106,0.2573203194321207,0.6360520793545617,3.886206896551724
