,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_ID,PARLAY_PROB,HOUSE_PARLAY_PROB,PROP_TAG
0,Duncan Robinson,Heat,points,11.5,-110,under,0.8678713452885788,3.2842264777546157,0.5238095238095238,1,0.23646508506243372,0.06397393391991332,Duncan Robinson_points_under
32,Anthony Black,Magic,rebounds,1.5,-190,over,0.7326151184283981,0.591010114321985,0.6551724137931035,1,0.23646508506243372,0.06397393391991332,Anthony Black_rebounds_over
35,Jeremiah Robinson-Earl,Pelicans,points,6.5,-110,over,0.7256232870006536,1.9264041031880574,0.5238095238095238,1,0.23646508506243372,0.06397393391991332,Jeremiah Robinson-Earl_points_over
37,Javonte Green,Pelicans,rebounds,4.5,-170,under,0.7191365816527941,0.7107905013604245,0.6296296296296295,1,0.23646508506243372,0.06397393391991332,Javonte Green_rebounds_under
39,Duncan Robinson,Heat,rebounds,2.5,-130,under,0.712710579278121,1.3047474320756853,0.5652173913043479,1,0.23646508506243372,0.06397393391991332,Duncan Robinson_rebounds_under
0,Duncan Robinson,Heat,points,11.5,-110,under,0.8678713452885788,3.2842264777546157,0.5238095238095238,2,0.34196601418608663,0.042135969532452806,Duncan Robinson_points_under
1,Davion Mitchell,Raptors,assists,3.5,-115,over,0.865770751807885,3.093074419073707,0.5348837209302326,2,0.34196601418608663,0.042135969532452806,Davion Mitchell_assists_over
6,Miles McBride,Knicks,points,8.5,-130,over,0.8405552852284145,2.4356813693282815,0.5652173913043479,2,0.34196601418608663,0.042135969532452806,Miles McBride_points_over
29,Jrue Holiday,Celtics,points,10.5,-120,over,0.7366927192098309,1.7530165927567842,0.5454545454545454,2,0.34196601418608663,0.042135969532452806,Jrue Holiday_points_over
31,Jaime Jaquez Jr.,Heat,rebounds,3.5,105,over,0.7349740847026385,2.5334843682020436,0.48780487804878053,2,0.34196601418608663,0.042135969532452806,Jaime Jaquez Jr._rebounds_over
9,Davion Mitchell,Raptors,points,5.5,-115,over,0.8147947990945447,2.6165600784924825,0.5348837209302326,3,0.26750100823655154,0.04924897570662041,Davion Mitchell_points_over
16,Scottie Barnes,Raptors,points,21.5,-105,under,0.7852183767256204,2.6652270108929614,0.5121951219512195,3,0.26750100823655154,0.04924897570662041,Scottie Barnes_points_under
18,Yves Missi,Pelicans,points,8.5,-110,under,0.7714023712910426,2.3633862714144978,0.5238095238095238,3,0.26750100823655154,0.04924897570662041,Yves Missi_points_under
28,Haywood Highsmith,Heat,points,5.5,-110,over,0.739826483899167,2.0619800735829585,0.5238095238095238,3,0.26750100823655154,0.04924897570662041,Haywood Highsmith_points_over
32,Anthony Black,Magic,rebounds,1.5,-190,over,0.7326151184283981,0.591010114321985,0.6551724137931035,3,0.26750100823655154,0.04924897570662041,Anthony Black_rebounds_over
4,Chris Boucher,Raptors,points,7.5,-110,over,0.8524509017987514,3.1370313353517183,0.5238095238095238,4,0.3400773988196027,0.05939323000245429,Chris Boucher_points_over
5,Jakob Poeltl,Raptors,points,13.5,-135,over,0.8433125112967329,2.3399422279530455,0.574468085106383,4,0.3400773988196027,0.05939323000245429,Jakob Poeltl_points_over
10,Ty Jerome,Cavaliers,points,8.5,-110,over,0.8119587445543959,2.750515288928325,0.5238095238095238,4,0.3400773988196027,0.05939323000245429,Ty Jerome_points_over
13,Ziaire Williams,Nets,fg3m,1.5,-200,under,0.8087921354109989,1.0659410155824918,0.6666666666666666,4,0.3400773988196027,0.05939323000245429,Ziaire Williams_fg3m_under
36,Kentavious Caldwell-Pope,Magic,points,8.5,-130,under,0.7203589711272367,1.372406283048632,0.5652173913043479,4,0.3400773988196027,0.05939323000245429,Kentavious Caldwell-Pope_points_under
1,Davion Mitchell,Raptors,assists,3.5,-115,over,0.865770751807885,3.093074419073707,0.5348837209302326,5,0.24352126642191427,0.06532644837910812,Davion Mitchell_assists_over
30,Kentavious Caldwell-Pope,Magic,fg3m,1.5,-130,under,0.7357588823428847,1.508636266879364,0.5652173913043479,5,0.24352126642191427,0.06532644837910812,Kentavious Caldwell-Pope_fg3m_under
32,Anthony Black,Magic,rebounds,1.5,-190,over,0.7326151184283981,0.591010114321985,0.6551724137931035,5,0.24352126642191427,0.06532644837910812,Anthony Black_rebounds_over
35,Jeremiah Robinson-Earl,Pelicans,points,6.5,-110,over,0.7256232870006536,1.9264041031880574,0.5238095238095238,5,0.24352126642191427,0.06532644837910812,Jeremiah Robinson-Earl_points_over
37,Javonte Green,Pelicans,rebounds,4.5,-170,under,0.7191365816527941,0.7107905013604245,0.6296296296296295,5,0.24352126642191427,0.06532644837910812,Javonte Green_rebounds_under
4,Chris Boucher,Raptors,points,7.5,-110,over,0.8524509017987514,3.1370313353517183,0.5238095238095238,6,0.3351007252461938,0.04975482668417652,Chris Boucher_points_over
7,Ochai Agbaji,Raptors,points,9.5,-105,over,0.8385466923815772,3.185812949439206,0.5121951219512195,6,0.3351007252461938,0.04975482668417652,Ochai Agbaji_points_over
14,Dejounte Murray,Pelicans,assists,6.5,-120,over,0.7992245443304374,2.3262249896956773,0.5454545454545454,6,0.3351007252461938,0.04975482668417652,Dejounte Murray_assists_over
17,Davion Mitchell,Raptors,rebounds,1.5,-145,over,0.7800321450617409,1.5899267427629835,0.5918367346938775,6,0.3351007252461938,0.04975482668417652,Davion Mitchell_rebounds_over
23,Brandon Boston Jr.,Pelicans,assists,2.5,-135,over,0.7519646590318687,1.5448775878699679,0.574468085106383,6,0.3351007252461938,0.04975482668417652,Brandon Boston Jr._assists_over
