,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10
0,Anthony Black_points_over,6.5,,,,,,,1.0,,,
1,Anthony Black_rebounds_over,1.5,1.0,,1.0,,1.0,,,,,
2,Brandon Boston Jr._assists_over,2.5,,,,,,1.0,,,,
3,Brandon Boston Jr._points_over,8.5,,,,,,,,,1.0,
4,Chris Boucher_points_over,7.5,,,,1.0,,1.0,,,,
5,Davion Mitchell_assists_over,3.5,,1.0,,,1.0,,,,,
6,Davion Mitchell_points_over,5.5,,,1.0,,,,,,,
7,Davion Mitchell_rebounds_over,1.5,,,,,,1.0,1.0,,,
8,Dejounte Murray_assists_over,6.5,,,,,,1.0,,,,
9,Dejounte Murray_points_over,19.5,,,,,,,,,,1.0
10,Duncan Robinson_assists_under,2.5,,,,,,,,,,1.0
11,Duncan Robinson_points_under,11.5,1.0,1.0,,,,,,,,
12,Duncan Robinson_rebounds_under,2.5,1.0,,,,,,,,,
13,Franz Wagner_points_under,26.5,,,,,,,,1.0,,
14,Haywood Highsmith_points_over,5.5,,,1.0,,,,,,,
15,Jaime Jaquez Jr._assists_over,1.5,,,,,,,,,,1.0
16,Jaime Jaquez Jr._rebounds_over,3.5,,1.0,,,,,,,,
17,Jakob Poeltl_assists_over,1.5,,,,,,,,,1.0,
18,Jakob Poeltl_points_over,13.5,,,,1.0,,,,1.0,,
19,Jarrett Allen_points_over,11.5,,,,,,,1.0,,,
20,Javonte Green_rebounds_under,4.5,1.0,,,,1.0,,,,,
21,Jeremiah Robinson-Earl_points_over,6.5,1.0,,,,1.0,,,,1.0,
22,Jonathan Isaac_assists_under,0.5,,,,,,,1.0,,,
23,Jrue Holiday_points_over,10.5,,1.0,,,,,,,,
24,Kentavious Caldwell-Pope_fg3m_under,1.5,,,,,1.0,,,1.0,,
25,Kentavious Caldwell-Pope_points_under,8.5,,,,1.0,,,,,,1.0
26,Miles McBride_points_over,8.5,,1.0,,,,,,,,
27,Ochai Agbaji_points_over,9.5,,,,,,1.0,,,,
28,Scottie Barnes_fg3m_under,1.5,,,,,,,,,1.0,
29,Scottie Barnes_points_under,21.5,,,1.0,,,,,,,
30,Terry Rozier_points_over,10.5,,,,,,,,,,1.0
31,Ty Jerome_points_over,8.5,,,,1.0,,,,1.0,,
32,Yves Missi_points_under,8.5,,,1.0,,,,,1.0,1.0,
33,Ziaire Williams_fg3m_under,1.5,,,,1.0,,,1.0,,,
