,PROPS,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,HOUSE_PARLAY_PROB,PROB,EV,TO_WIN
1632,Payton Pritchard-assists-over,2.5,535,3.208497972161111,0.14697070878833518,0.03492236654515105,0.8415674019597683,2.109793568280802,28.634943703116523
1633,Jayson Tatum-points-under,29.5,535,3.208497972161111,0.14697070878833518,0.03492236654515105,0.7691717428514041,2.050740976137872,28.634943703116523
1634,Jrue Holiday-points-under,12.5,535,3.208497972161111,0.14697070878833518,0.03492236654515105,0.7398962216034679,1.782382031365123,28.634943703116523
1635,T.J. McConnell-assists-over,4.5,535,3.208497972161111,0.14697070878833518,0.03492236654515105,0.6872816501433185,0.981895843839995,28.634943703116523
1636,Jrue Holiday-rebounds-under,5.5,535,3.208497972161111,0.14697070878833518,0.03492236654515105,0.6719128086015262,0.7592526451559403,28.634943703116523
1637,Myles Turner-fg3m-over,1.5,535,3.208497972161111,0.14697070878833518,0.03492236654515105,0.664507801973037,0.6139452235653131,28.634943703116523
1066,T.J. McConnell-assists-over,4.5,349,1.545299721848258,0.1236387610629758,0.04857532494176998,0.6872816501433185,0.981895843839995,20.586583850931678
1069,Payton Pritchard-fg3m-over,1.5,349,1.545299721848258,0.1236387610629758,0.04857532494176998,0.6047127189295851,0.44241447036626624,20.586583850931678
1065,Luke Kornet-assists-over,0.5,349,1.545299721848258,0.1236387610629758,0.04857532494176998,0.721962699546806,1.7487817566331865,20.586583850931678
1067,Jayson Tatum-fgm-under,9.5,349,1.545299721848258,0.1236387610629758,0.04857532494176998,0.6555694814779521,1.3996068429990558,20.586583850931678
1068,Myles Turner-points-over,15.5,349,1.545299721848258,0.1236387610629758,0.04857532494176998,0.6285463439246328,0.6569170953216954,20.586583850931678
164,Jrue Holiday-points-under,12.5,54,2.2419575762916764,0.16745933937276272,0.05165377258400514,0.7398962216034679,1.782382031365123,19.359670164917546
163,Luke Kornet-points-over,3.5,54,2.2419575762916764,0.16745933937276272,0.05165377258400514,0.7770568098504246,1.1054463631104783,19.359670164917546
162,Jayson Tatum-rebounds-under,10.5,54,2.2419575762916764,0.16745933937276272,0.05165377258400514,0.7829049644415078,1.6141971133851527,19.359670164917546
161,Andrew Nembhard-blocks-under,0.5,54,2.2419575762916764,0.16745933937276272,0.05165377258400514,0.8521437889662113,0.03539511661852135,19.359670164917546
165,Luke Kornet-assists-over,0.5,54,2.2419575762916764,0.16745933937276272,0.05165377258400514,0.721962699546806,1.7487817566331865,19.359670164917546
166,Payton Pritchard-fg3m-over,1.5,54,2.2419575762916764,0.16745933937276272,0.05165377258400514,0.6047127189295851,0.44241447036626624,19.359670164917546
1179,Obi Toppin-points-over,7.5,384,2.1302285677171464,0.16799722131615483,0.05366931445478246,0.8618999066487378,2.5017214097204965,18.632621082621082
1181,Myles Turner-steals-under,0.5,384,2.1302285677171464,0.16799722131615483,0.05366931445478246,0.6703200460356393,1.0328804143207542,18.632621082621082
1182,Aaron Nesmith-points-over,9.5,384,2.1302285677171464,0.16799722131615483,0.05366931445478246,0.6551326000263189,1.005382166907924,18.632621082621082
1183,Jaylen Brown-rebounds-under,6.5,384,2.1302285677171464,0.16799722131615483,0.05366931445478246,0.5998781413635349,0.3066143274466553,18.632621082621082
1180,Jrue Holiday-points-under,12.5,384,2.1302285677171464,0.16799722131615483,0.05366931445478246,0.7398962216034679,1.782382031365123,18.632621082621082
385,Obi Toppin-points-over,7.5,129,2.1190848068869546,0.17352477019681656,0.055633232483346735,0.8618999066487378,2.5017214097204965,17.974867814832447
386,Jayson Tatum-rebounds-under,10.5,129,2.1190848068869546,0.17352477019681656,0.055633232483346735,0.7829049644415078,1.6141971133851527,17.974867814832447
389,Luke Kornet-fgm-over,1.5,129,2.1190848068869546,0.17352477019681656,0.055633232483346735,0.6255013190442551,0.5332808992376412,17.974867814832447
388,Andrew Nembhard-points-over,10.5,129,2.1190848068869546,0.17352477019681656,0.055633232483346735,0.6271170949771379,0.547574301720835,17.974867814832447
387,Jayson Tatum-fgm-under,9.5,129,2.1190848068869546,0.17352477019681656,0.055633232483346735,0.6555694814779521,1.3996068429990558,17.974867814832447
1099,Payton Pritchard-points-over,9.5,359,1.7355641507116095,0.1541843649663379,0.056362913268266625,0.8368140518122709,2.822392223462532,17.74216310005783
1103,Luke Kornet-fgm-over,1.5,359,1.7355641507116095,0.1541843649663379,0.056362913268266625,0.6255013190442551,0.5332808992376412,17.74216310005783
1102,Jayson Tatum-fgm-under,9.5,359,1.7355641507116095,0.1541843649663379,0.056362913268266625,0.6555694814779521,1.3996068429990558,17.74216310005783
1101,Myles Turner-steals-under,0.5,359,1.7355641507116095,0.1541843649663379,0.056362913268266625,0.6703200460356393,1.0328804143207542,17.74216310005783
1100,Pascal Siakam-blocks-under,0.5,359,1.7355641507116095,0.1541843649663379,0.056362913268266625,0.6703200460356393,0.11560035132461532,17.74216310005783
