,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Bilal Coulibaly_fg3m_under,0.5,,,,,,,,,,,,,,,1.0
1,CJ McCollum_points_over,18.5,,,,,,,,,,,,1.0,,,
2,Cason Wallace_assists_over,1.5,1.0,1.0,,,,,,,,,1.0,,,,
3,Christian Braun_fg3m_under,0.5,,,,,,1.0,,,,,,,,,
4,Daniel Gafford_assists_over,0.5,,,,,,,,,1.0,,,,,,
5,Daniel Gafford_points_over,11.5,,1.0,,1.0,,,,,,,,,,,
6,Daniel Gafford_rebounds_over,6.5,,,1.0,,,,,,,1.0,,,,,
7,Davion Mitchell_rebounds_under,1.5,,,,,,,,,,,1.0,,,1.0,
8,Dejounte Murray_fg3m_under,1.5,,,,,,,,,,,,,,,1.0
9,Dejounte Murray_points_under,18.5,,,,,1.0,,,,,,,,1.0,,
10,Dereck Lively II_assists_over,1.5,,,,,,,,,,,,1.0,,,
11,Dereck Lively II_points_over,8.5,,,,,,,,1.0,,,,,,,
12,Gradey Dick_points_over,13.5,1.0,,,,,,1.0,,,,,,,,
13,Isaiah Hartenstein_assists_over,3.5,,,,,,,,,1.0,1.0,,,,,
14,Isaiah Hartenstein_points_under,10.5,1.0,,,,,,,,,,,,,,
15,Isaiah Joe_assists_over,1.5,,,,,,1.0,,,,,,,,,
16,Jakob Poeltl_assists_under,2.5,,,,,1.0,,,,,,,,,,
17,Jalen Williams_points_over,21.5,,,,,,,,,1.0,,,,,,
18,Jalen Williams_rebounds_over,5.5,,,,,1.0,,,,,,,,,,
19,Javonte Green_assists_over,0.5,,,1.0,,,,,,,,,,,,
20,Javonte Green_fg3m_over,0.5,,,,1.0,,,1.0,,,,,,,,
21,Javonte Green_rebounds_over,2.5,,,,,,,,,,,,,1.0,,
22,Jordan Poole_assists_over,5.5,,,1.0,,,,,,,,,,,,
23,Jordan Poole_points_under,23.5,1.0,,,,,,,,,,1.0,,,,
24,Julian Strawther_assists_under,1.5,,,,,,,,,,,,,,,1.0
25,Julian Strawther_fg3m_under,1.5,,,,,,,,1.0,,,,,,,
26,Julian Strawther_points_under,9.5,,1.0,,,,1.0,,,,,,,,,
27,Klay Thompson_fg3m_under,2.5,,,1.0,,,,,,,1.0,,,,,
28,Klay Thompson_points_under,12.5,,,,,,,,,,,,,1.0,,
29,Kyrie Irving_assists_over,5.5,,,,,,,,,1.0,,,,,,
30,Kyrie Irving_rebounds_over,3.5,,,,,,,,1.0,,,,,,,
31,Luguentz Dort_assists_over,1.5,,,,,,,,,,,,,,1.0,
32,Luguentz Dort_fg3m_under,1.5,,,,,,,,,,,,1.0,,,
33,Luguentz Dort_points_under,8.5,,,,1.0,,,,,,,,,,,
34,Luguentz Dort_rebounds_over,3.5,,,,,,,,,,,,,,,1.0
35,RJ Barrett_fg3m_over,1.5,,,,,,,,,,1.0,,,,,
36,RJ Barrett_points_over,22.5,,,,,,,1.0,,,,,,,1.0,
37,RJ Barrett_rebounds_over,6.5,,,,1.0,,,,,,,,,,,
38,Russell Westbrook_fg3m_over,1.5,,,,,1.0,,,1.0,,,,,,,
39,Scottie Barnes_assists_over,7.5,,,,,,,1.0,,,,,,,,
40,Scottie Barnes_fg3m_over,1.5,,,,,,1.0,,,,,,1.0,,,
41,Scottie Barnes_rebounds_over,7.5,,1.0,,,,,,,,,,,,,
42,Shai Gilgeous-Alexander_assists_over,5.5,,,,,,,,,,,1.0,,,,
43,Shai Gilgeous-Alexander_points_over,30.5,,,,,,,,,,,,,1.0,,
44,Trey Murphy III_rebounds_under,4.5,,,,,,,,,,,,,,1.0,
