,PROP_TAG,THRESH,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Alperen Sengun_assists_over,5.5,,,,,,1.0,,,,,,,,
1,Alperen Sengun_rebounds_under,10.5,,,,,,,1.0,,,,,,,
2,Anthony Edwards_fg3m_over,3.5,,,,,,,,,,,,1.0,,
3,Brandin Podziemski_fg3m_under,1.5,,,,,,,,,,1.0,,,,
4,Brandin Podziemski_points_under,10.5,1.0,,,1.0,,,,,,,,,,
5,Brandin Podziemski_rebounds_under,5.5,,,,1.0,,,,,,,,,,
6,De'Aaron Fox_fg3m_under,2.5,,,,,,,,,,,,,,1.0
7,De'Aaron Fox_points_over,24.5,,1.0,,,,,,,,,,,,
8,De'Aaron Fox_rebounds_over,4.5,,,,,,1.0,,,,,,,,
9,DeMar DeRozan_assists_over,3.5,,,,,,,,1.0,,,,1.0,,
10,DeMar DeRozan_rebounds_over,3.5,1.0,,,,,,,,,,1.0,,,
11,Dillon Brooks_assists_over,1.5,,,,,,1.0,,1.0,,,,,,
12,Domantas Sabonis_assists_over,5.5,,,1.0,,,,,,1.0,,,,,
13,Domantas Sabonis_points_over,19.5,,,1.0,,,,,,,,,,,
14,Donte DiVincenzo_rebounds_over,2.5,,,,,,,,,,,,,,1.0
15,Draymond Green_assists_over,5.5,,,,,,,,,1.0,,,,1.0,
16,Draymond Green_rebounds_over,5.5,,,,,,,1.0,,,,,,,
17,Fred VanVleet_points_over,16.5,,,,,,,,,,,,,1.0,
18,Ivica Zubac_assists_under,2.5,,,1.0,,1.0,,,,,,,,,
19,Jabari Smith Jr._assists_under,1.5,1.0,,,,,,,,,,,,,
20,Jabari Smith Jr._points_under,11.5,,1.0,,,,,1.0,,,,,,,
21,Jabari Smith Jr._rebounds_under,7.5,,,,,,,,,,,,,1.0,1.0
22,Jaden McDaniels_rebounds_over,3.5,1.0,,,,,,,,,,,,,
23,Jalen Green_fg3m_under,2.5,,,,,,,,,,1.0,,,,
24,Jalen Green_rebounds_under,5.5,,,,,,,,,,,1.0,,,
25,Jonathan Kuminga_points_under,17.5,,,1.0,,,,,,,,,,,
26,Julius Randle_rebounds_over,5.5,,,,,,,,,,,1.0,,,
27,Keegan Murray_points_under,13.5,,,,,,,,,,,,1.0,,
28,Keegan Murray_rebounds_over,6.5,,,,,1.0,,,,,,,,,
29,Kevin Huerter_assists_under,2.5,,,,,,,,,1.0,,,1.0,,
30,Kevin Huerter_fg3m_under,1.5,,,,,1.0,,,,,,,,,
31,Kevin Huerter_points_over,7.5,,,,,,,,,,,,,1.0,1.0
32,Malik Monk_assists_under,5.5,,1.0,,1.0,,,,,,,,,,
33,Malik Monk_points_under,17.5,,,,,,,1.0,,,1.0,,,,
34,Mike Conley_fg3m_under,2.5,,,,,,,,,,,1.0,,,
35,Mike Conley_points_under,10.5,,,,,,,,,1.0,,,,,
36,Nickeil Alexander-Walker_points_over,7.5,,,,1.0,,,,,,,,,,
37,Norman Powell_assists_over,1.5,,,,,,,,1.0,,,,,,
38,Norman Powell_points_over,21.5,,,,,,1.0,,,,,,,,
39,Norman Powell_rebounds_under,2.5,,1.0,,,,,,,,,,,,
40,Rudy Gobert_points_over,10.5,,,,,,,,1.0,,,,,,
41,Stephen Curry_fg3m_under,4.5,,,,,,,,,,1.0,,,,
42,Stephen Curry_rebounds_over,4.5,,,,,1.0,,,,,,,,,
