,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,PARLAY_ID,TO_WIN,PROP_TAG
0,Obi Toppin,Pacers,points,8.5,-135,over,0.7984197698786744,1.9492091082032765,0.574468085106383,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Obi Toppin_points_over
1,Jrue Holiday,Celtics,points,13.5,100,under,0.7469217995026641,2.469217995026641,0.5,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Jrue Holiday_points_under
2,Jaylen Brown,Celtics,assists,3.5,-150,under,0.6830262606695402,0.691885505579501,0.6000000000000001,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Jaylen Brown_assists_under
3,Myles Turner,Pacers,fg3m,1.5,-135,over,0.6827480500604242,0.9424367320073952,0.574468085106383,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Myles Turner_fg3m_over
4,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.032880414320754,0.5555555555555556,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Myles Turner_steals_under
5,Jrue Holiday,Celtics,rebounds,5.5,-110,under,0.664959723665485,1.347342816806902,0.5238095238095238,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Jrue Holiday_rebounds_under
6,Jaylen Brown,Celtics,points,25.5,-110,under,0.5973602918747726,0.7020755133501018,0.5238095238095238,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Jaylen Brown_points_under
7,Myles Turner,Pacers,points,16.5,-105,over,0.596178247804336,0.8198352761851853,0.5121951219512195,9.954883361479755,0.04414630018480972,0.007729702531455895,637,128.37108458320577,Myles Turner_points_over
8,Obi Toppin,Pacers,points,8.5,-135,over,0.7984197698786744,1.9492091082032765,0.574468085106383,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Obi Toppin_points_over
9,Jrue Holiday,Celtics,points,13.5,100,under,0.7469217995026641,2.469217995026641,0.5,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Jrue Holiday_points_under
10,Myles Turner,Pacers,fg3m,1.5,-135,over,0.6827480500604242,0.9424367320073952,0.574468085106383,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Myles Turner_fg3m_over
11,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.032880414320754,0.5555555555555556,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Myles Turner_steals_under
12,Jrue Holiday,Celtics,rebounds,5.5,-110,under,0.664959723665485,1.347342816806902,0.5238095238095238,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Jrue Holiday_rebounds_under
13,Aaron Nesmith,Pacers,assists,1.5,-115,over,0.6047127189295851,0.6527493291243827,0.5348837209302326,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Aaron Nesmith_assists_over
14,Jaylen Brown,Celtics,points,25.5,-110,under,0.5973602918747726,0.7020755133501018,0.5238095238095238,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Jaylen Brown_points_under
15,Myles Turner,Pacers,points,16.5,-105,over,0.596178247804336,0.8198352761851853,0.5121951219512195,9.915747185024639,0.03908463078603918,0.006890820086181611,735,144.12060792376997,Myles Turner_points_over
16,Obi Toppin,Pacers,points,8.5,-135,over,0.7984197698786744,1.9492091082032765,0.574468085106383,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Obi Toppin_points_over
17,Jrue Holiday,Celtics,points,13.5,100,under,0.7469217995026641,2.469217995026641,0.5,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Jrue Holiday_points_under
18,Jaylen Brown,Celtics,assists,3.5,-150,under,0.6830262606695402,0.691885505579501,0.6000000000000001,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Jaylen Brown_assists_under
19,Myles Turner,Pacers,fg3m,1.5,-135,over,0.6827480500604242,0.9424367320073952,0.574468085106383,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Myles Turner_fg3m_over
20,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.032880414320754,0.5555555555555556,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Myles Turner_steals_under
21,Jrue Holiday,Celtics,rebounds,5.5,-110,under,0.664959723665485,1.347342816806902,0.5238095238095238,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Jrue Holiday_rebounds_under
22,Aaron Nesmith,Pacers,assists,1.5,-115,over,0.6047127189295851,0.6527493291243827,0.5348837209302326,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Aaron Nesmith_assists_over
23,Myles Turner,Pacers,points,16.5,-105,over,0.596178247804336,0.8198352761851853,0.5121951219512195,9.905557177254039,0.044689661463193316,0.00789312118962621,765,125.69259421916425,Myles Turner_points_over
24,Obi Toppin,Pacers,points,8.5,-135,over,0.7984197698786744,1.9492091082032765,0.574468085106383,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Obi Toppin_points_over
25,Jrue Holiday,Celtics,points,13.5,100,under,0.7469217995026641,2.469217995026641,0.5,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Jrue Holiday_points_under
26,Myles Turner,Pacers,fg3m,1.5,-135,over,0.6827480500604242,0.9424367320073952,0.574468085106383,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Myles Turner_fg3m_over
27,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.032880414320754,0.5555555555555556,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Myles Turner_steals_under
28,Jrue Holiday,Celtics,rebounds,5.5,-110,under,0.664959723665485,1.347342816806902,0.5238095238095238,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Jrue Holiday_rebounds_under
29,Jaylen Brown,Celtics,points,25.5,-110,under,0.5973602918747726,0.7020755133501018,0.5238095238095238,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Jaylen Brown_points_under
30,Myles Turner,Pacers,points,16.5,-105,over,0.596178247804336,0.8198352761851853,0.5121951219512195,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Myles Turner_points_over
31,Aaron Nesmith,Pacers,points,11.5,-110,under,0.5840417693618916,0.5749441620907834,0.5238095238095238,9.83794201799104,0.03774859731665847,0.00674815300365197,961,147.18869688621757,Aaron Nesmith_points_under
32,Obi Toppin,Pacers,points,8.5,-135,over,0.7984197698786744,1.9492091082032765,0.574468085106383,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Obi Toppin_points_over
33,Jrue Holiday,Celtics,points,13.5,100,under,0.7469217995026641,2.469217995026641,0.5,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Jrue Holiday_points_under
34,Jaylen Brown,Celtics,assists,3.5,-150,under,0.6830262606695402,0.691885505579501,0.6000000000000001,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Jaylen Brown_assists_under
35,Myles Turner,Pacers,fg3m,1.5,-135,over,0.6827480500604242,0.9424367320073952,0.574468085106383,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Myles Turner_fg3m_over
36,Myles Turner,Pacers,steals,0.5,-125,under,0.6703200460356393,1.032880414320754,0.5555555555555556,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Myles Turner_steals_under
37,Jrue Holiday,Celtics,rebounds,5.5,-110,under,0.664959723665485,1.347342816806902,0.5238095238095238,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Jrue Holiday_rebounds_under
38,Myles Turner,Pacers,points,16.5,-105,over,0.596178247804336,0.8198352761851853,0.5121951219512195,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Myles Turner_points_over
39,Aaron Nesmith,Pacers,points,11.5,-110,under,0.5840417693618916,0.5749441620907834,0.5238095238095238,9.82775201022044,0.04316203072319802,0.007729702531455895,994,128.37108458320577,Aaron Nesmith_points_under
40,Obi Toppin,Pacers,points,8.5,-135,over,0.7984197698786744,1.9492091082032765,0.574468085106383,9.810691448993172,0.03835824714231559,0.00689082008618161,1048,144.12060792376997,Obi Toppin_points_over
