,PROP_TAG,THRESH,PARLAY_ID,PARLAY_EV,PARLAY_PROB,PARLAY_HOUSE_PROB,PROB,HOUSE_PROB,EV,TO_WIN
0,Obi Toppin_points_over,8.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.7984197698786744,0.574468085106383,1.9492091082032765,128.37108458320577
1,Jrue Holiday_points_under,13.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.7469217995026641,0.5,2.469217995026641,128.37108458320577
2,Jaylen Brown_assists_under,3.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.6830262606695402,0.6000000000000001,0.691885505579501,128.37108458320577
3,Myles Turner_fg3m_over,1.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.6827480500604242,0.574468085106383,0.9424367320073952,128.37108458320577
4,Myles Turner_steals_under,0.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.6703200460356393,0.5555555555555556,1.032880414320754,128.37108458320577
5,Jrue Holiday_rebounds_under,5.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.664959723665485,0.5238095238095238,1.347342816806902,128.37108458320577
6,Jaylen Brown_points_under,25.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.5973602918747726,0.5238095238095238,0.7020755133501018,128.37108458320577
7,Myles Turner_points_over,16.5,637,9.954883361479755,0.04414630018480972,0.007729702531455895,0.596178247804336,0.5121951219512195,0.8198352761851853,128.37108458320577
8,Obi Toppin_points_over,8.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.7984197698786744,0.574468085106383,1.9492091082032765,144.12060792376997
9,Jrue Holiday_points_under,13.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.7469217995026641,0.5,2.469217995026641,144.12060792376997
10,Myles Turner_fg3m_over,1.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.6827480500604242,0.574468085106383,0.9424367320073952,144.12060792376997
11,Myles Turner_steals_under,0.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.6703200460356393,0.5555555555555556,1.032880414320754,144.12060792376997
12,Jrue Holiday_rebounds_under,5.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.664959723665485,0.5238095238095238,1.347342816806902,144.12060792376997
13,Aaron Nesmith_assists_over,1.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.6047127189295851,0.5348837209302326,0.6527493291243827,144.12060792376997
14,Jaylen Brown_points_under,25.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.5973602918747726,0.5238095238095238,0.7020755133501018,144.12060792376997
15,Myles Turner_points_over,16.5,735,9.915747185024639,0.03908463078603918,0.006890820086181611,0.596178247804336,0.5121951219512195,0.8198352761851853,144.12060792376997
16,Obi Toppin_points_over,8.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.7984197698786744,0.574468085106383,1.9492091082032765,125.69259421916425
17,Jrue Holiday_points_under,13.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.7469217995026641,0.5,2.469217995026641,125.69259421916425
18,Jaylen Brown_assists_under,3.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.6830262606695402,0.6000000000000001,0.691885505579501,125.69259421916425
19,Myles Turner_fg3m_over,1.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.6827480500604242,0.574468085106383,0.9424367320073952,125.69259421916425
20,Myles Turner_steals_under,0.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.6703200460356393,0.5555555555555556,1.032880414320754,125.69259421916425
21,Jrue Holiday_rebounds_under,5.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.664959723665485,0.5238095238095238,1.347342816806902,125.69259421916425
22,Aaron Nesmith_assists_over,1.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.6047127189295851,0.5348837209302326,0.6527493291243827,125.69259421916425
23,Myles Turner_points_over,16.5,765,9.905557177254039,0.044689661463193316,0.00789312118962621,0.596178247804336,0.5121951219512195,0.8198352761851853,125.69259421916425
24,Obi Toppin_points_over,8.5,961,9.83794201799104,0.03774859731665847,0.00674815300365197,0.7984197698786744,0.574468085106383,1.9492091082032765,147.18869688621757
